Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,14.51,14.82,14.38,14.56,3295500,12.38
2011-07-28,14.75,14.96,14.65,14.69,4401100,12.49
2011-07-27,14.72,14.73,14.30,14.36,4504200,12.21
2011-07-26,14.96,15.13,14.83,15.06,2851100,12.80
2011-07-25,14.93,15.03,14.87,14.99,5994200,12.74
2011-07-22,15.70,15.71,15.43,15.60,4028800,13.26
2011-07-21,15.34,15.99,15.23,15.81,13852900,13.44
2011-07-20,14.38,14.45,14.17,14.41,7753000,12.25
2011-07-19,13.63,13.97,13.57,13.96,8185200,11.87
2011-07-18,13.98,14.05,13.28,13.48,12704100,11.46
2011-07-15,14.66,14.78,14.41,14.51,6470200,12.33
2011-07-14,14.80,14.95,14.54,14.56,5225300,12.38
2011-07-13,14.58,14.87,14.44,14.69,5447400,12.49
2011-07-12,14.63,14.85,14.57,14.60,7180000,12.41
2011-07-11,15.05,15.12,14.81,14.98,8505700,12.73
2011-07-08,15.86,15.90,15.62,15.80,4465900,13.43
2011-07-07,16.33,16.34,16.14,16.19,2789200,13.76
2011-07-06,16.00,16.18,15.89,16.17,5139900,13.74
2011-07-05,16.93,16.94,16.65,16.74,2760000,14.23
2011-07-01,16.92,17.19,16.83,17.09,4621700,14.53
2011-06-30,16.26,16.59,16.17,16.43,4352400,13.96
2011-06-29,16.02,16.14,15.83,16.13,3534400,13.71
2011-06-28,15.52,15.73,15.48,15.64,2567100,13.29
2011-06-27,15.11,15.45,15.08,15.39,2580700,13.08
2011-06-24,15.46,15.48,15.19,15.33,5885200,13.03
2011-06-23,15.77,15.95,15.55,15.94,6151400,13.55
2011-06-22,16.43,16.53,16.26,16.28,3664200,13.84
2011-06-21,16.67,16.95,16.64,16.92,1897100,14.38
2011-06-20,16.40,16.56,16.39,16.49,1459600,14.02
2011-06-17,16.71,16.80,16.55,16.57,4685200,14.08
2011-06-16,16.40,16.52,16.25,16.42,3876200,13.96
2011-06-15,17.01,17.12,16.48,16.71,4870300,14.20
2011-06-14,17.48,17.63,17.28,17.34,2252800,14.74
2011-06-13,17.04,17.16,16.94,17.12,2065200,14.55
2011-06-10,17.03,17.05,16.64,16.80,2390500,14.28
2011-06-09,17.04,17.23,16.95,17.17,2191300,14.59
2011-06-08,17.40,17.49,17.11,17.23,3543800,14.64
2011-06-07,17.45,17.46,17.23,17.25,3590200,14.66
2011-06-06,17.49,17.52,16.99,17.00,5034100,14.45
2011-06-03,17.24,17.60,17.22,17.49,2470800,14.87
2011-06-02,17.59,17.64,17.38,17.56,1810300,14.93
2011-06-01,17.91,17.94,17.44,17.46,2951900,14.84
2011-05-31,18.36,18.40,18.17,18.39,1545900,15.63
2011-05-27,18.13,18.29,18.05,18.13,1522100,15.41
2011-05-26,17.91,18.01,17.70,17.97,1921300,15.27
2011-05-25,17.57,17.87,17.53,17.74,2574000,15.08
2011-05-24,17.24,17.32,17.14,17.31,3398500,14.71
2011-05-23,17.36,17.46,17.20,17.31,3808600,14.71
2011-05-20,18.03,18.07,17.74,17.78,2534300,15.11
2011-05-19,18.15,18.16,17.91,18.09,2601900,15.38
2011-05-18,17.59,17.69,17.52,17.67,1240600,15.02
2011-05-17,17.72,17.81,17.54,17.81,1810200,15.14
2011-05-16,17.63,17.96,17.58,17.61,1686800,14.97
2011-05-13,17.99,18.06,17.66,17.80,2119000,15.13
2011-05-12,18.19,18.34,18.02,18.26,1736000,15.52
2011-05-11,18.50,18.52,18.05,18.18,1827000,15.45
2011-05-10,18.21,18.34,18.20,18.33,1394000,15.58
2011-05-09,17.89,18.08,17.76,18.01,1930800,15.31
2011-05-06,18.39,18.44,17.90,18.05,3148300,15.34
2011-05-05,18.28,18.35,18.00,18.16,2800300,15.44
2011-05-04,19.10,19.10,18.77,18.84,1624400,15.96
2011-05-03,18.91,19.02,18.74,18.87,1827500,15.98
2011-05-02,19.21,19.23,18.93,18.98,1103800,16.08
2011-04-29,19.02,19.16,18.94,19.05,1611100,16.13
2011-04-28,18.99,19.11,18.82,19.09,2658600,16.17
2011-04-27,19.20,19.39,19.02,19.37,3250000,16.41
2011-04-26,19.85,19.99,19.76,19.92,1519000,16.87
2011-04-25,19.77,19.82,19.61,19.74,1333600,16.72
2011-04-21,19.85,19.88,19.61,19.71,1585200,16.69
2011-04-20,19.29,19.42,19.24,19.38,1842400,16.41
2011-04-19,19.16,19.24,18.99,19.13,1589000,16.20
2011-04-18,18.71,19.14,18.66,19.14,2795900,16.21
2011-04-15,19.77,19.84,19.61,19.68,1739700,16.67
2011-04-14,19.80,19.92,19.63,19.91,1902000,16.86
2011-04-13,20.28,20.31,19.96,20.04,2743600,16.97
2011-04-12,20.00,20.02,19.74,19.86,2215100,16.82
2011-04-11,20.19,20.32,19.85,19.90,3186200,16.85
2011-04-08,19.63,19.64,19.32,19.42,1978700,16.45
2011-04-07,19.56,19.68,19.31,19.43,2232400,16.46
2011-04-06,19.31,19.42,19.18,19.36,3457700,16.40
2011-04-05,18.63,18.87,18.52,18.73,2016200,15.86
2011-04-04,18.90,18.96,18.62,18.71,1290100,15.85
2011-04-01,18.70,18.89,18.55,18.78,3030200,15.91
2011-03-31,18.15,18.24,17.95,18.14,4635800,15.36
2011-03-30,18.37,18.52,18.26,18.45,3036200,15.63
2011-03-29,18.56,18.58,18.37,18.49,1999400,15.66
2011-03-28,18.94,18.95,18.76,18.77,1349300,15.90
2011-03-25,18.70,18.86,18.61,18.67,2334500,15.81
2011-03-24,19.00,19.02,18.83,19.00,2241600,16.09
2011-03-23,18.65,18.91,18.59,18.85,1502000,15.97
2011-03-22,19.10,19.19,18.83,18.95,2230900,16.05
2011-03-21,19.08,19.21,18.96,19.08,3701300,16.16
2011-03-18,18.29,18.51,18.22,18.43,4102400,15.61
2011-03-17,18.51,18.57,18.22,18.31,2826600,15.51
2011-03-16,18.51,18.59,17.76,18.00,6936700,15.25
2011-03-15,18.51,19.07,18.46,19.02,3309700,16.11
2011-03-14,19.23,19.42,19.01,19.33,1856300,16.37
2011-03-11,19.09,19.47,19.08,19.40,1640000,16.43
2011-03-10,19.43,19.59,19.32,19.46,3271700,16.48
2011-03-09,19.83,20.04,19.75,19.94,2161700,16.89
2011-03-08,19.81,20.21,19.62,20.09,2247500,17.02
2011-03-07,20.49,20.60,19.92,19.96,1940800,16.91
2011-03-04,20.61,20.64,20.23,20.47,1839900,17.34
2011-03-03,20.73,20.89,20.57,20.76,1679000,17.58
2011-03-02,20.67,20.89,20.42,20.54,2466600,17.40
2011-03-01,20.83,20.93,20.29,20.32,2789100,17.21
2011-02-28,20.76,21.06,20.70,20.77,2631100,17.59
2011-02-25,20.25,20.47,20.18,20.45,2430500,17.32
2011-02-24,20.52,20.58,20.06,20.27,2464000,17.17
2011-02-23,20.59,20.81,20.38,20.63,2784300,17.47
2011-02-22,20.60,20.99,20.53,20.67,2627100,17.37
2011-02-18,21.29,21.48,21.15,21.40,2314000,17.98
2011-02-17,21.64,21.69,21.50,21.64,2598500,18.19
2011-02-16,21.06,21.38,21.02,21.35,2694000,17.94
2011-02-15,21.22,21.30,21.08,21.23,4995900,17.84
2011-02-14,19.92,20.11,19.86,19.96,2124800,16.77
2011-02-11,19.76,20.26,19.75,20.19,3988700,16.97
2011-02-10,19.93,20.26,19.74,20.21,2466200,16.98
2011-02-09,20.40,20.55,20.17,20.44,3792900,17.18
2011-02-08,20.06,20.33,19.99,20.29,2236100,17.05
2011-02-07,20.01,20.19,19.98,20.14,2295700,16.93
2011-02-04,19.83,19.89,19.70,19.89,2205200,16.72
2011-02-03,19.65,19.70,19.38,19.58,1342500,16.45
2011-02-02,19.57,19.67,19.39,19.52,1666300,16.40
2011-02-01,19.15,19.47,19.12,19.44,2041700,16.34
2011-01-31,18.83,18.94,18.66,18.80,1911900,15.80
2011-01-28,18.93,19.06,18.62,18.69,2105600,15.71
2011-01-27,19.15,19.26,19.09,19.16,1561700,16.10
2011-01-26,18.90,19.02,18.75,18.87,1534200,15.86
2011-01-25,18.84,19.04,18.77,18.98,2634500,15.95
2011-01-24,18.97,19.37,18.96,19.37,2005500,16.28
2011-01-21,19.52,19.61,19.16,19.33,3734500,16.24
2011-01-20,19.18,19.42,19.06,19.30,4127300,16.22
2011-01-19,19.35,19.42,18.94,18.97,4722800,15.94
2011-01-18,19.61,19.77,19.54,19.60,3108500,16.47
2011-01-14,19.35,19.81,19.34,19.77,4218500,16.61
2011-01-13,19.34,19.47,19.22,19.31,3647400,16.23
2011-01-12,18.68,19.14,18.63,19.10,5496200,16.05
2011-01-11,18.20,18.29,17.99,18.23,4571100,15.32
2011-01-10,17.33,17.40,17.19,17.35,3011700,14.58
2011-01-07,17.40,17.46,17.00,17.26,2858300,14.50
2011-01-06,17.57,17.59,17.18,17.26,2836800,14.50
2011-01-05,17.32,17.50,17.29,17.45,3119400,14.66
2011-01-04,17.12,17.14,16.91,17.10,2748700,14.37
2011-01-03,16.71,16.85,16.60,16.77,1877000,14.09
2010-12-31,16.34,16.54,16.34,16.52,1328300,13.88
2010-12-30,16.47,16.57,16.32,16.39,1232800,13.77
2010-12-29,16.53,16.59,16.44,16.50,2305400,13.87
2010-12-28,16.65,16.65,16.44,16.52,1080300,13.88
2010-12-27,16.42,16.53,16.36,16.52,1066200,13.88
2010-12-23,16.67,16.69,16.56,16.63,1420300,13.98
2010-12-22,16.62,16.64,16.54,16.61,1578300,13.96
2010-12-21,16.67,16.78,16.63,16.67,2580300,14.01
2010-12-20,16.38,16.43,16.22,16.23,1764300,13.64
2010-12-17,16.18,16.25,16.10,16.24,2652400,13.65
2010-12-16,16.42,16.59,16.32,16.59,1840700,13.94
2010-12-15,16.63,16.74,16.34,16.39,3585300,13.77
2010-12-14,17.28,17.30,17.08,17.13,1609900,14.40
2010-12-13,17.41,17.47,17.30,17.32,3008800,14.56
2010-12-10,17.38,17.42,17.23,17.38,1755600,14.61
