Date,Open,High,Low,Close,Volume,Adj Close
2012-06-07,39.29,39.29,38.37,38.48,6392700,34.49
2012-06-06,37.54,38.19,37.41,38.19,7129200,34.23
2012-06-05,36.65,36.88,36.48,36.81,4571300,32.99
2012-06-04,37.08,37.11,36.25,36.58,5837900,32.79
2012-06-01,37.13,37.24,36.63,36.76,11403600,32.95
2012-05-31,37.09,37.14,36.25,36.46,10844900,32.68
2012-05-30,37.47,37.53,37.02,37.02,6477400,33.18
2012-05-29,38.20,38.39,37.94,38.11,6356500,34.16
2012-05-25,38.19,38.52,38.16,38.36,5099700,34.38
2012-05-24,38.36,38.65,37.89,38.23,5913100,34.27
2012-05-23,37.48,37.94,37.23,37.92,6859800,33.99
2012-05-22,37.98,38.38,37.68,37.85,8179100,33.93
2012-05-21,37.58,37.79,37.35,37.71,6330000,33.80
2012-05-18,37.77,37.91,37.00,37.10,9616500,33.25
2012-05-17,37.80,38.12,37.50,37.50,10981000,33.61
2012-05-16,38.53,38.78,38.18,38.18,6015700,34.22
2012-05-15,38.69,38.83,38.15,38.18,6842700,34.22
2012-05-14,39.08,39.28,38.85,38.86,3860200,34.83
2012-05-11,39.60,40.29,39.56,39.65,4645500,35.54
2012-05-10,39.81,40.12,39.66,39.78,5784300,35.66
2012-05-09,39.13,39.56,38.83,39.26,11376600,35.19
2012-05-08,41.01,41.06,40.02,40.42,9465000,35.80
2012-05-07,40.99,41.48,40.80,41.33,4114800,36.61
2012-05-04,41.77,41.82,40.95,40.96,6286000,36.28
2012-05-03,42.44,42.54,41.84,42.02,5926700,37.22
2012-05-02,42.08,42.42,42.03,42.36,7384300,37.52
2012-05-01,42.54,43.13,42.29,42.70,9676300,37.82
2012-04-30,43.31,43.49,43.18,43.41,2576400,38.45
2012-04-27,43.58,43.64,43.29,43.53,3971100,38.55
2012-04-26,42.58,43.35,42.41,43.29,6147000,38.34
2012-04-25,42.15,42.22,41.77,42.19,6655500,37.37
2012-04-24,42.40,42.45,41.66,41.91,10420400,37.12
2012-04-23,41.52,42.04,41.34,41.95,5708100,37.15
2012-04-20,42.38,42.53,41.99,41.99,8375900,37.19
2012-04-19,42.83,42.97,42.42,42.50,4643400,37.64
