Date,Open,High,Low,Close,Volume,Adj Close
2010-05-03,4.46,4.48,4.38,4.41,44946200,43.94
2010-04-30,4.55,4.55,4.37,4.37,80341700,43.54
2010-04-29,4.53,4.63,4.50,4.56,71647000,45.44
2010-04-28,4.42,4.56,4.40,4.45,110487000,44.34
2010-04-27,4.55,4.57,4.33,4.34,133979400,43.25
2010-04-26,4.79,4.80,4.60,4.61,124478500,45.94
2010-04-23,4.87,4.95,4.83,4.86,76164000,48.43
2010-04-22,4.85,4.89,4.77,4.87,80864600,48.53
2010-04-21,5.03,5.04,4.82,4.93,98787500,49.12
2010-04-20,5.02,5.06,4.92,4.97,102738500,49.52
2010-04-19,4.65,4.93,4.64,4.88,186006600,48.63
2010-04-16,4.82,4.83,4.41,4.56,186414100,45.44
2010-04-15,4.99,5.07,4.74,4.81,153653600,47.93
2010-04-14,4.72,4.94,4.70,4.93,103954500,49.12
2010-04-13,4.62,4.68,4.59,4.62,59676100,46.04
2010-04-12,4.63,4.64,4.58,4.64,43484900,46.23
2010-04-09,4.54,4.57,4.52,4.55,66446000,45.34
2010-04-08,4.35,4.49,4.31,4.47,55935600,44.54
2010-04-07,4.31,4.40,4.30,4.36,62152800,43.44
2010-04-06,4.27,4.30,4.25,4.29,31812100,42.75
2010-04-05,4.27,4.28,4.23,4.26,34453300,42.45
2010-04-01,4.11,4.18,4.02,4.18,30209100,41.65
2010-03-31,4.08,4.11,4.01,4.05,55035800,40.36
2010-03-30,4.13,4.18,4.05,4.09,62439100,40.75
2010-03-29,4.38,4.41,4.11,4.18,88626800,41.65
2010-03-26,4.34,4.37,4.26,4.31,58727000,42.95
2010-03-25,4.24,4.38,4.23,4.27,97149400,42.55
2010-03-24,4.10,4.19,4.10,4.15,46585300,41.35
2010-03-23,4.09,4.15,4.07,4.13,44335400,41.15
2010-03-22,3.89,4.10,3.88,4.04,50007900,40.26
2010-03-19,3.90,4.05,3.90,3.90,55803000,38.86
2010-03-18,4.09,4.09,4.00,4.02,35021500,40.06
2010-03-17,4.10,4.17,3.99,4.05,68063500,40.36
2010-03-16,3.95,4.07,3.92,4.05,54320500,40.36
2010-03-15,3.88,3.94,3.83,3.89,63482900,38.76
2010-03-12,4.21,4.22,3.94,3.97,127975900,39.56
2010-03-11,3.98,4.18,3.95,4.18,120029900,41.65
2010-03-10,3.96,4.07,3.92,3.96,121205000,39.46
2010-03-09,3.55,3.86,3.54,3.82,110631100,38.06
2010-03-08,3.54,3.60,3.54,3.56,45986400,35.47
2010-03-05,3.47,3.50,3.45,3.50,31907900,34.88
2010-03-04,3.41,3.48,3.39,3.43,31935600,34.18
2010-03-03,3.41,3.43,3.39,3.40,16364900,33.88
2010-03-02,3.41,3.44,3.39,3.40,16428000,33.88
2010-03-01,3.42,3.44,3.34,3.39,15568600,33.78
2010-02-26,3.39,3.45,3.38,3.40,17855700,33.88
2010-02-25,3.39,3.40,3.36,3.39,25996900,33.78
2010-02-24,3.37,3.45,3.37,3.45,29262200,34.38
2010-02-23,3.44,3.48,3.35,3.35,28291700,33.38
2010-02-22,3.44,3.48,3.41,3.46,23360600,34.48
2010-02-19,3.40,3.44,3.39,3.42,27822200,34.08
2010-02-18,3.40,3.47,3.39,3.43,28868700,34.18
2010-02-17,3.38,3.45,3.36,3.41,57569000,33.98
2010-02-16,3.22,3.33,3.21,3.31,33228500,32.98
2010-02-12,3.17,3.21,3.15,3.18,18926900,31.69
2010-02-11,3.19,3.22,3.17,3.21,23685200,31.99
2010-02-10,3.18,3.20,3.14,3.20,25499600,31.89
2010-02-09,3.19,3.23,3.11,3.18,49883800,31.69
2010-02-08,3.23,3.24,3.15,3.15,25620300,31.39
2010-02-05,3.21,3.24,3.15,3.22,46750100,32.09
2010-02-04,3.34,3.35,3.17,3.18,45029900,31.69
2010-02-03,3.39,3.46,3.37,3.37,27200500,33.58
2010-02-02,3.35,3.41,3.32,3.41,33280800,33.98
2010-02-01,3.36,3.37,3.31,3.34,23577600,33.28
2010-01-29,3.27,3.34,3.27,3.32,67942900,33.08
2010-01-28,3.25,3.29,3.20,3.24,51294200,32.28
2010-01-27,3.17,3.23,3.14,3.20,55891300,31.89
2010-01-26,3.22,3.27,3.15,3.15,45890200,31.39
2010-01-25,3.31,3.33,3.21,3.23,49752400,32.18
2010-01-22,3.28,3.39,3.22,3.25,65474100,32.38
2010-01-21,3.45,3.46,3.20,3.27,95968000,32.58
2010-01-20,3.51,3.60,3.45,3.46,47944900,34.48
2010-01-19,3.34,3.56,3.30,3.54,80789300,35.27
2010-01-15,3.49,3.50,3.40,3.42,54017700,34.08
2010-01-14,3.56,3.56,3.50,3.51,27417000,34.97
2010-01-13,3.54,3.59,3.50,3.50,41035100,34.88
2010-01-12,3.59,3.61,3.48,3.52,47011800,35.07
2010-01-11,3.66,3.67,3.60,3.63,47557600,36.17
2010-01-08,3.65,3.67,3.51,3.59,62409700,35.77
2010-01-07,3.69,3.70,3.61,3.65,67245100,36.37
2010-01-06,3.56,3.68,3.51,3.64,67433800,36.27
2010-01-05,3.42,3.55,3.41,3.53,66861700,35.17
2010-01-04,3.36,3.41,3.34,3.40,40679300,33.88
2009-12-31,3.33,3.36,3.31,3.31,19875800,32.98
2009-12-30,3.36,3.36,3.30,3.32,22009500,33.08
2009-12-29,3.39,3.41,3.35,3.37,19084100,33.58
2009-12-28,3.37,3.41,3.31,3.39,33795600,33.78
2009-12-24,3.32,3.35,3.28,3.35,14549800,33.38
2009-12-23,3.36,3.38,3.26,3.29,35752000,32.78
2009-12-22,3.44,3.44,3.34,3.34,49092600,33.28
2009-12-21,3.39,3.42,3.36,3.42,62625000,34.08
2009-12-18,3.26,3.40,3.21,3.40,281369700,33.88
2009-12-17,3.15,3.25,3.13,3.20,377263800,31.89
2009-12-16,3.50,3.58,3.44,3.45,119108100,34.38
2009-12-15,3.67,3.70,3.51,3.56,93423000,35.47
2009-12-14,3.80,3.84,3.66,3.70,83688700,36.87
2009-12-11,3.90,3.95,3.87,3.95,22120200,39.36
2009-12-10,3.88,3.91,3.84,3.87,39824100,38.56
2009-12-09,3.94,3.95,3.79,3.86,39989100,38.46
2009-12-08,4.01,4.04,3.85,3.91,55286600,38.96
2009-12-07,4.09,4.12,4.03,4.03,23200900,40.16
2009-12-04,4.12,4.12,4.05,4.06,31939800,40.46
2009-12-03,4.15,4.21,4.03,4.05,34577400,40.36
2009-12-02,4.08,4.10,4.02,4.10,18922300,40.85
2009-12-01,4.15,4.16,4.05,4.10,24623900,40.85
2009-11-30,4.08,4.16,4.06,4.11,25016900,40.95
2009-11-27,3.98,4.13,3.95,4.06,25806500,40.46
2009-11-25,4.23,4.24,4.14,4.17,20097900,41.55
2009-11-24,4.29,4.30,4.21,4.21,19323400,41.95
2009-11-23,4.26,4.28,4.23,4.28,22623400,42.65
2009-11-20,4.19,4.23,4.19,4.20,12444000,41.85
2009-11-19,4.26,4.27,4.20,4.26,24821400,42.45
2009-11-18,4.24,4.31,4.23,4.29,30598000,42.75
2009-11-17,4.17,4.25,4.16,4.24,20027700,42.25
2009-11-16,4.22,4.25,4.18,4.18,36003600,41.65
2009-11-13,4.10,4.14,4.03,4.05,19618100,40.36
2009-11-12,4.14,4.17,4.05,4.06,20783300,40.46
2009-11-11,4.25,4.28,4.14,4.16,31834100,41.45
2009-11-10,4.15,4.26,4.14,4.18,24568500,41.65
2009-11-09,4.14,4.19,4.10,4.19,23410100,41.75
2009-11-06,3.99,4.06,3.96,4.06,25344400,40.46
2009-11-05,4.05,4.08,4.00,4.06,26644900,40.46
2009-11-04,4.11,4.17,3.96,3.97,48146600,39.56
2009-11-03,3.88,4.05,3.84,4.04,50739000,40.26
2009-11-02,4.10,4.11,3.81,3.99,69051600,39.76
2009-10-30,4.28,4.30,4.02,4.09,53583200,40.75
2009-10-29,4.19,4.35,4.17,4.31,44074000,42.95
2009-10-28,4.23,4.25,4.00,4.08,64507300,40.65
2009-10-27,4.30,4.33,4.23,4.27,33277300,42.55
2009-10-26,4.51,4.53,4.24,4.27,64038500,42.55
2009-10-23,4.54,4.60,4.46,4.46,33523000,44.44
2009-10-22,4.43,4.48,4.39,4.46,30679800,44.44
2009-10-21,4.42,4.56,4.41,4.42,39240200,44.04
2009-10-20,4.59,4.63,4.41,4.43,52459300,44.14
2009-10-19,4.66,4.66,4.51,4.54,30462400,45.24
2009-10-16,4.68,4.69,4.42,4.59,41099000,45.74
2009-10-15,4.80,4.83,4.64,4.75,83405000,47.33
2009-10-14,4.98,5.00,4.90,5.00,58527200,49.82
2009-10-13,4.80,4.88,4.74,4.83,45533900,48.13
2009-10-12,4.67,4.80,4.64,4.77,36251900,47.53
2009-10-09,4.63,4.67,4.59,4.63,28835200,46.13
2009-10-08,4.71,4.72,4.63,4.65,34461800,46.33
2009-10-07,4.64,4.70,4.56,4.64,36917400,46.23
2009-10-06,4.76,4.80,4.64,4.67,47709400,46.53
2009-10-05,4.58,4.68,4.55,4.67,30414200,46.53
2009-10-02,4.40,4.59,4.31,4.52,58853900,45.04
2009-10-01,4.75,4.75,4.52,4.53,48521000,45.14
2009-09-30,4.75,4.84,4.51,4.84,82481600,48.23
2009-09-29,4.76,4.79,4.66,4.70,50099300,46.83
2009-09-28,4.46,4.57,4.44,4.57,31530700,45.54
2009-09-25,4.41,4.51,4.36,4.38,46116500,43.64
2009-09-24,4.62,4.64,4.31,4.43,66450300,44.14
2009-09-23,4.71,4.74,4.52,4.52,59869900,45.04
2009-09-22,4.56,4.68,4.54,4.65,67838100,46.33
2009-09-21,4.24,4.46,4.14,4.43,47905800,44.14
2009-09-18,4.46,4.48,4.26,4.26,125072600,42.45
2009-09-17,4.36,4.56,4.29,4.42,115493400,44.04
2009-09-16,4.27,4.31,4.15,4.20,130674900,41.85
2009-09-15,4.44,4.51,4.11,4.12,131885900,41.05
2009-09-14,4.54,4.57,4.36,4.52,73800800,45.04
2009-09-11,4.74,4.75,4.61,4.61,48006300,45.94
2009-09-10,4.60,4.75,4.53,4.75,116711100,47.33
2009-09-09,4.71,4.76,4.56,4.66,79811100,46.43
2009-09-08,4.98,4.99,4.63,4.68,90059200,46.63
2009-09-04,4.87,4.93,4.80,4.85,57542000,48.33
2009-09-03,4.76,4.82,4.65,4.77,59180800,47.53
2009-09-02,4.42,4.67,4.30,4.56,99545100,45.44
2009-09-01,4.92,5.02,4.52,4.54,126786500,45.24
2009-08-31,5.03,5.11,4.84,5.00,95323100,49.82
2009-08-28,5.29,5.43,5.05,5.23,135999600,52.11
2009-08-27,4.73,5.10,4.66,5.05,121601400,50.32
2009-08-26,4.74,4.75,4.58,4.63,72132900,46.13
2009-08-25,4.88,4.90,4.67,4.75,97316500,47.33
2009-08-24,4.95,5.00,4.76,4.82,120227400,48.03
2009-08-21,4.63,4.86,4.58,4.70,136681800,46.83
2009-08-20,4.19,4.51,4.16,4.48,105945000,44.64
2009-08-19,4.08,4.19,4.05,4.13,59364800,41.15
2009-08-18,4.07,4.15,4.02,4.14,56583600,41.25
2009-08-17,3.87,4.03,3.80,4.00,75873800,39.86
2009-08-14,4.16,4.53,3.91,4.04,112162900,40.26
2009-08-13,4.09,4.14,3.98,4.06,75554200,40.46
2009-08-12,3.77,3.99,3.73,3.98,98883000,39.66
2009-08-11,3.93,3.96,3.57,3.69,91585900,36.77
2009-08-10,4.00,4.11,3.91,3.94,95516100,39.26
2009-08-07,3.98,4.24,3.83,3.85,189881400,38.36
2009-08-06,3.81,3.81,3.59,3.80,128777900,37.86
2009-08-05,3.32,3.61,3.29,3.58,267446300,35.67
2009-08-04,3.14,3.25,3.11,3.25,83574000,32.38
2009-08-03,3.29,3.30,3.14,3.18,64248500,31.69
2009-07-31,3.06,3.18,2.99,3.17,110797800,31.59
2009-07-30,3.30,3.37,3.02,3.14,103950200,31.29
2009-07-29,3.00,3.22,2.95,3.22,107645900,32.09
2009-07-28,2.70,3.05,2.67,2.97,103746800,29.59
2009-07-27,2.72,2.86,2.56,2.69,61937100,26.80
2009-07-24,2.80,2.81,2.67,2.73,17814200,27.20
2009-07-23,2.82,2.88,2.76,2.77,22006000,27.60
2009-07-22,2.67,2.84,2.62,2.80,28412200,27.90
2009-07-21,2.80,2.82,2.63,2.65,36507900,26.41
2009-07-20,3.02,3.04,2.74,2.79,39246600,27.80
2009-07-17,3.18,3.20,2.97,3.02,44758600,30.09
2009-07-16,3.17,3.20,3.01,3.03,33323300,30.19
2009-07-15,3.02,3.21,2.98,3.17,38800900,31.59
2009-07-14,2.90,2.93,2.83,2.92,21927200,29.10
2009-07-13,2.66,2.78,2.61,2.78,22319800,27.70
2009-07-10,2.68,2.68,2.56,2.59,15029100,25.81
2009-07-09,2.67,2.69,2.63,2.69,11436300,26.80
2009-07-08,2.71,2.71,2.55,2.62,21018300,26.11
2009-07-07,2.81,2.81,2.66,2.69,15369700,26.80
