Date,Open,High,Low,Close,Volume,Adj Close
2012-10-16,32.15,32.44,32.08,32.39,391100,32.39
2012-10-15,31.87,31.99,31.70,31.95,489500,31.95
2012-10-12,31.64,31.64,31.20,31.27,340400,31.27
2012-10-11,30.91,31.14,30.82,31.03,718700,31.03
2012-10-10,30.17,30.19,29.81,29.96,667500,29.96
2012-10-09,30.89,31.08,30.48,30.49,430700,30.49
2012-10-08,31.30,31.44,31.14,31.29,215200,31.29
2012-10-05,31.53,31.73,31.33,31.46,664900,31.46
2012-10-04,31.80,32.12,31.72,32.10,682200,32.10
2012-10-03,32.76,32.79,31.57,31.77,1235900,31.77
2012-10-02,33.40,33.51,33.01,33.21,502800,33.21
2012-10-01,32.75,32.90,32.50,32.66,434500,32.66
2012-09-28,32.00,32.10,31.79,32.01,1253700,32.01
2012-09-27,32.93,33.33,32.78,33.23,646600,33.23
2012-09-26,32.92,33.02,32.69,32.92,1128500,32.92
2012-09-25,34.39,34.62,34.08,34.10,368600,34.10
2012-09-24,34.29,34.53,34.27,34.40,726900,34.40
2012-09-21,35.77,35.81,35.47,35.52,351700,35.52
2012-09-20,35.37,35.45,35.21,35.29,212700,35.29
2012-09-19,36.05,36.21,35.97,36.04,366500,36.04
2012-09-18,35.75,35.81,35.57,35.76,357000,35.76
2012-09-17,36.03,36.03,35.12,35.20,518500,35.20
2012-09-14,35.97,36.57,35.87,36.30,1137500,36.30
2012-09-13,34.49,35.26,34.28,35.26,1221400,35.26
2012-09-12,33.85,34.10,33.70,33.98,869500,33.98
2012-09-11,33.09,33.21,32.92,33.16,502400,33.16
2012-09-10,32.61,32.63,32.27,32.30,419700,32.30
2012-09-07,32.84,32.94,32.71,32.93,472000,32.93
2012-09-06,31.82,32.37,31.74,32.33,751000,32.33
2012-09-05,31.48,31.67,31.37,31.62,970900,31.62
2012-09-04,32.67,32.77,32.37,32.57,661800,32.57
2012-08-31,33.36,33.53,33.10,33.29,392400,33.29
2012-08-30,33.79,33.92,33.49,33.50,367700,33.50
2012-08-29,35.00,35.00,34.51,34.72,284800,34.72
2012-08-28,34.28,34.54,34.19,34.51,652200,34.51
2012-08-27,34.63,34.65,34.30,34.33,472700,34.33
2012-08-24,34.45,34.82,34.41,34.78,423200,34.78
2012-08-23,34.58,34.61,34.29,34.39,485700,34.39
2012-08-22,33.94,34.11,33.73,33.92,673000,33.92
2012-08-21,34.69,34.73,34.25,34.33,364400,34.33
2012-08-20,34.94,34.99,34.78,34.90,197200,34.90
2012-08-17,35.00,35.01,34.77,34.81,306700,34.81
2012-08-16,34.76,35.11,34.63,35.11,496600,35.11
2012-08-15,34.10,34.18,33.95,34.05,240700,34.05
2012-08-14,34.10,34.15,33.87,33.94,289000,33.94
2012-08-13,33.89,34.14,33.87,33.94,411900,33.94
2012-08-10,33.93,34.23,33.74,34.17,901900,34.17
2012-08-09,34.71,34.71,34.35,34.43,487600,34.43
2012-08-08,34.77,34.96,34.55,34.69,887900,34.69
2012-08-07,36.01,36.18,35.94,36.01,561800,36.01
2012-08-06,35.65,35.72,35.54,35.57,545800,35.57
2012-08-03,34.89,34.89,34.65,34.80,618900,34.80
2012-08-02,34.23,34.23,33.66,33.91,2059200,33.91
2012-08-01,34.18,34.24,33.60,33.90,994300,33.90
2012-07-31,33.85,33.89,33.36,33.45,1213800,33.45
2012-07-30,33.18,33.54,31.93,33.20,673200,33.20
2012-07-27,32.22,32.68,32.17,32.63,3633200,32.63
2012-07-26,31.87,31.93,31.68,31.82,906600,31.82
2012-07-25,33.96,34.00,31.21,31.66,2232000,31.66
2012-07-24,34.58,34.60,34.06,34.16,511300,34.16
2012-07-23,34.81,35.25,34.73,34.95,1138800,34.95
2012-07-20,36.54,36.57,36.13,36.20,390800,36.20
2012-07-19,37.06,37.28,36.99,37.22,273100,37.22
2012-07-18,36.63,36.93,36.54,36.86,347200,36.86
2012-07-17,36.54,36.62,36.32,36.50,584200,36.50
2012-07-16,37.42,37.52,37.29,37.38,360800,37.38
2012-07-13,37.22,37.67,37.19,37.58,334900,37.58
2012-07-12,37.62,37.73,37.18,37.25,464100,37.25
2012-07-11,38.11,38.15,37.83,38.09,225100,38.09
2012-07-10,38.48,38.49,38.03,38.13,160100,38.13
2012-07-09,38.61,38.61,38.10,38.43,180800,38.43
2012-07-06,39.20,39.20,38.74,38.90,199800,38.90
2012-07-05,39.92,40.00,39.72,39.80,432700,39.80
2012-07-03,39.94,40.27,39.91,40.22,215400,40.22
2012-07-02,39.71,39.85,39.51,39.73,219100,39.73
2012-06-29,39.91,40.00,39.79,39.94,188400,39.94
2012-06-28,39.10,39.10,38.69,39.03,487300,39.03
2012-06-27,38.63,38.95,38.57,38.90,241200,38.90
2012-06-26,38.72,39.01,38.46,38.62,431400,38.62
2012-06-25,39.67,40.24,39.18,39.25,271300,39.25
2012-06-22,40.54,40.75,40.43,40.69,239900,40.69
2012-06-21,41.10,41.19,40.31,40.32,293600,40.32
2012-06-20,40.86,40.95,40.60,40.82,151600,40.82
2012-06-19,40.75,40.87,40.54,40.80,198400,40.80
2012-06-18,40.65,40.81,40.51,40.55,560000,40.55
2012-06-15,40.54,40.83,40.47,40.77,302700,40.77
2012-06-14,40.17,40.53,40.11,40.27,281400,40.27
2012-06-13,40.17,40.50,40.10,40.22,217400,40.22
2012-06-12,40.52,40.75,40.23,40.64,2585400,40.64
2012-06-11,40.38,40.38,39.72,39.78,411100,39.78
2012-06-08,39.44,39.55,39.25,39.53,298000,39.53
2012-06-07,40.20,40.29,39.66,39.74,1196700,39.74
2012-06-06,38.81,39.49,38.37,39.44,353300,39.44
2012-06-05,38.26,38.51,38.21,38.44,665800,38.44
2012-06-04,37.82,38.48,37.82,38.42,921300,38.42
2012-06-01,38.96,38.97,37.86,37.94,911700,37.94
2012-05-31,40.00,40.11,39.73,39.93,406300,39.93
2012-05-30,40.76,40.81,40.43,40.46,326100,40.46
2012-05-29,41.05,41.25,40.51,41.08,265000,41.08
2012-05-25,40.44,40.58,40.32,40.39,282400,40.39
2012-05-24,39.91,40.05,39.47,39.74,357800,39.74
2012-05-23,40.71,40.76,40.29,40.72,363000,40.72
2012-05-22,41.71,41.90,41.49,41.69,413900,41.69
2012-05-21,41.58,42.15,41.58,42.08,257200,42.08
2012-05-18,41.94,41.95,41.30,41.37,182500,41.37
2012-05-17,42.05,42.20,41.83,41.92,441900,41.92
2012-05-16,41.94,42.21,41.82,41.83,154900,41.83
2012-05-15,42.50,42.64,42.07,42.21,353000,42.21
2012-05-14,42.91,43.14,42.77,42.81,180300,42.81
2012-05-11,43.34,43.56,43.25,43.31,202000,43.31
2012-05-10,43.74,43.82,43.40,43.46,231400,43.46
2012-05-09,43.55,43.81,43.29,43.61,199000,43.61
2012-05-08,44.12,44.17,43.81,44.09,157100,44.09
2012-05-07,44.30,44.70,44.29,44.59,303000,44.59
2012-05-04,44.18,44.31,44.07,44.17,265300,44.17
2012-05-03,44.83,44.83,44.47,44.56,152200,44.56
2012-05-02,44.72,44.94,44.59,44.86,239000,44.86
2012-05-01,45.26,45.56,45.26,45.41,248200,45.41
