Date,Open,High,Low,Close,Volume,Adj Close
2012-10-16,44.59,45.13,44.34,45.02,2623800,41.03
2012-10-15,42.68,43.05,42.38,43.05,1431000,39.23
2012-10-12,42.61,42.93,41.90,41.95,1479400,38.23
2012-10-11,42.99,43.03,42.40,42.64,1558700,38.86
2012-10-10,41.42,41.53,40.87,41.17,1008200,37.52
2012-10-09,41.28,41.83,40.69,40.84,1378000,37.22
2012-10-08,41.73,41.87,41.51,41.82,791800,38.11
2012-10-05,42.94,43.16,42.11,42.23,1563800,38.49
2012-10-04,42.28,42.46,42.00,42.33,1688200,38.58
2012-10-03,41.67,41.92,41.11,41.72,2767500,38.02
2012-10-02,41.68,41.75,40.60,40.84,2018000,37.22
2012-10-01,40.38,40.89,40.07,40.21,1573400,36.65
2012-09-28,40.04,40.21,39.45,39.65,1955400,36.14
2012-09-27,39.94,40.73,39.60,40.50,1841700,36.91
2012-09-26,39.81,39.93,39.26,39.58,3324900,36.07
2012-09-25,42.13,42.62,41.43,41.43,2199800,37.76
2012-09-24,42.12,42.62,42.00,42.45,1261600,38.69
2012-09-21,43.52,43.53,42.65,42.65,2124600,38.87
2012-09-20,41.26,42.29,41.11,42.22,2105900,38.48
2012-09-19,42.55,43.12,42.33,42.71,2032200,38.92
2012-09-18,42.71,42.90,42.27,42.46,3554700,38.70
2012-09-17,44.40,44.83,44.15,44.29,2519000,40.36
2012-09-14,43.91,44.96,43.83,44.26,3636000,40.34
2012-09-13,41.70,42.94,41.27,42.87,4991800,39.07
2012-09-12,42.96,43.30,42.19,42.43,3575100,38.67
2012-09-11,41.78,42.79,41.74,42.62,4518900,38.84
2012-09-10,40.97,40.98,40.18,40.18,3216100,36.62
2012-09-07,40.32,40.35,39.73,40.18,5094200,36.62
2012-09-06,35.94,37.75,35.94,37.61,3610900,34.28
2012-09-05,35.11,35.23,34.94,35.13,1667200,32.02
2012-09-04,35.28,35.29,34.65,34.83,1652200,31.74
2012-08-31,35.17,35.97,34.74,35.44,2826100,32.30
2012-08-30,34.30,34.32,33.46,33.86,1120900,30.86
2012-08-29,34.41,34.60,34.22,34.33,872300,31.29
2012-08-28,34.26,34.48,34.09,34.31,1459400,31.27
2012-08-27,35.06,35.10,34.53,34.62,1912000,31.55
2012-08-24,33.73,34.45,33.53,34.05,1195000,31.03
2012-08-23,34.58,34.80,34.07,34.34,2432600,31.30
2012-08-22,34.33,34.70,34.15,34.43,2316700,31.38
2012-08-21,33.83,34.77,33.80,34.07,3400400,31.05
2012-08-20,32.25,32.73,32.06,32.69,1557600,29.79
2012-08-17,32.68,32.99,32.61,32.92,1976700,30.00
2012-08-16,31.43,32.20,31.34,32.01,2306100,29.17
2012-08-15,30.82,30.99,30.71,30.78,1070100,28.05
2012-08-14,30.95,31.07,30.68,30.69,1572100,27.97
2012-08-13,31.30,31.41,30.71,31.01,2309700,28.26
2012-08-10,31.16,31.42,30.93,31.37,934500,28.59
2012-08-09,31.19,31.73,31.15,31.60,1046100,28.80
2012-08-08,31.17,31.69,31.10,31.60,1140100,28.80
2012-08-07,31.41,31.99,31.30,31.62,1607800,28.82
2012-08-06,31.24,31.70,31.09,31.24,1484200,28.47
2012-08-03,30.37,31.36,30.34,31.20,3288200,28.43
2012-08-02,28.44,29.00,28.01,28.35,2747600,25.84
2012-08-01,30.44,30.49,29.79,29.80,1583700,27.16
2012-07-31,30.67,30.90,30.34,30.34,2222600,27.65
2012-07-30,30.43,30.62,30.05,30.28,2175400,27.60
2012-07-27,29.60,31.05,29.42,30.76,5355900,28.03
2012-07-26,28.94,29.19,28.66,28.88,4304100,26.32
2012-07-25,27.03,27.59,27.03,27.34,4222400,24.92
2012-07-24,28.96,29.15,27.76,28.17,6470000,25.67
2012-07-23,28.30,28.93,28.12,28.76,3244200,26.21
2012-07-20,30.16,30.31,29.94,30.05,2185400,27.39
2012-07-19,31.49,31.74,31.33,31.53,1350600,28.73
2012-07-18,30.81,31.62,30.80,31.53,1713900,28.73
2012-07-17,31.08,31.25,30.33,31.25,2001500,28.48
2012-07-16,31.14,31.33,30.77,31.23,1564200,28.46
2012-07-13,31.07,31.69,31.07,31.60,2604700,28.80
2012-07-12,31.72,31.97,31.37,31.85,1376100,29.03
2012-07-11,32.84,33.24,32.41,32.69,1287300,29.79
2012-07-10,33.51,33.68,32.45,32.63,2071400,29.74
2012-07-09,33.65,33.76,33.21,33.45,1453800,30.48
2012-07-06,34.40,34.56,33.45,33.65,3126000,30.67
2012-07-05,35.77,35.84,35.17,35.44,1460700,32.30
2012-07-03,36.89,37.44,36.79,37.21,1186800,33.91
2012-07-02,36.52,36.89,36.14,36.88,1303200,33.61
