Date,Open,High,Low,Close,Volume,Adj Close
2011-04-06,50.36,50.70,50.25,50.41,458700,40.35
2011-04-05,49.83,50.45,49.76,50.27,462700,40.24
2011-04-04,50.62,50.69,50.33,50.47,435600,40.40
2011-04-01,49.52,50.25,49.29,50.09,521900,40.10
2011-03-31,49.37,49.52,49.02,49.13,468700,39.33
2011-03-30,48.87,49.31,48.78,49.22,538300,39.40
2011-03-29,48.69,48.98,48.38,48.95,784500,39.18
2011-03-28,48.80,49.01,48.48,48.48,427500,38.81
2011-03-25,48.98,49.12,48.54,48.68,816500,38.97
2011-03-24,48.48,49.24,48.29,49.23,897200,39.41
2011-03-23,47.78,48.32,47.66,48.22,487200,38.60
2011-03-22,48.64,48.66,48.03,48.20,539500,38.58
2011-03-21,47.67,48.11,47.49,48.11,622700,38.51
2011-03-18,47.97,47.97,47.00,47.07,920900,37.68
2011-03-17,46.91,47.40,46.63,46.92,986100,37.56
2011-03-16,46.79,47.05,45.03,45.38,2013100,36.33
2011-03-15,46.17,47.39,46.05,47.21,1130600,37.79
2011-03-14,48.02,48.14,47.54,48.07,696600,38.48
2011-03-11,48.05,48.73,48.05,48.56,892300,38.87
2011-03-10,48.59,48.77,48.17,48.38,994100,38.73
2011-03-09,49.68,49.82,49.35,49.37,544400,39.52
2011-03-08,49.77,50.06,49.57,49.77,1762100,39.84
2011-03-07,49.82,49.95,48.99,49.22,750200,39.40
2011-03-04,49.66,49.78,48.87,49.31,769900,39.47
2011-03-03,49.14,49.37,48.71,49.22,836100,39.40
2011-03-02,48.06,48.79,48.05,48.38,1049200,38.73
2011-03-01,48.76,48.80,47.97,47.98,1270900,38.41
2011-02-28,49.01,49.21,48.60,48.85,758200,39.10
2011-02-25,48.12,48.48,48.08,48.42,679600,38.76
2011-02-24,47.81,47.96,47.40,47.77,1492900,38.24
2011-02-23,47.14,47.40,46.70,46.93,2913700,37.57
2011-02-22,46.79,47.95,46.49,46.68,1929400,37.37
2011-02-18,49.82,50.30,49.76,50.30,429100,40.27
2011-02-17,49.36,50.12,49.31,50.11,530400,40.11
2011-02-16,49.47,50.11,49.36,50.04,604000,40.06
2011-02-15,49.63,49.81,49.27,49.61,549800,39.71
2011-02-14,49.24,49.66,49.18,49.62,434200,39.72
2011-02-11,49.27,49.78,49.19,49.56,401800,39.67
2011-02-10,49.18,49.89,49.06,49.74,777100,39.82
2011-02-09,49.59,49.87,49.44,49.68,743300,39.77
2011-02-08,49.61,49.90,49.29,49.75,520400,39.82
2011-02-07,48.86,49.31,48.85,49.23,499300,39.41
2011-02-04,49.43,49.70,49.14,49.39,702600,39.54
2011-02-03,48.95,49.43,48.46,49.42,659700,39.56
2011-02-02,49.53,49.94,49.48,49.68,1045200,39.77
2011-02-01,49.00,49.99,48.94,49.98,1108500,40.01
2011-01-31,47.20,47.67,47.18,47.50,1194300,38.02
2011-01-28,48.55,48.61,46.91,47.01,1688300,37.63
2011-01-27,48.59,48.96,48.51,48.82,932600,39.08
2011-01-26,48.26,48.61,48.09,48.53,875000,38.85
2011-01-25,48.05,48.49,47.90,48.45,699400,38.78
2011-01-24,47.95,48.49,47.95,48.46,481700,38.79
2011-01-21,47.87,48.15,47.56,47.95,886300,38.38
2011-01-20,46.75,46.99,46.31,46.93,797400,37.57
2011-01-19,47.62,47.62,46.81,46.97,620800,37.60
2011-01-18,47.03,47.51,46.87,46.99,1077400,37.62
2011-01-14,46.72,47.65,46.70,47.65,958000,38.14
2011-01-13,46.71,46.97,46.42,46.62,1107300,37.32
2011-01-12,45.10,45.57,44.92,45.55,416500,36.46
2011-01-11,44.21,44.44,43.97,44.35,381400,35.50
2011-01-10,43.95,44.05,43.67,44.00,383800,35.22
2011-01-07,44.75,44.78,44.00,44.24,521500,35.41
2011-01-06,45.42,45.49,44.45,44.56,957300,35.67
2011-01-05,43.79,44.57,43.75,44.48,718800,35.61
2011-01-04,44.94,44.98,44.05,44.22,636300,35.40
2011-01-03,43.86,44.14,43.79,43.99,494800,35.21
2010-12-31,43.60,44.09,43.59,43.74,329000,35.01
2010-12-30,43.54,43.76,43.27,43.65,385000,34.94
2010-12-29,43.82,43.87,43.54,43.70,339700,34.98
2010-12-28,43.56,43.59,43.22,43.40,258300,34.74
2010-12-27,43.24,43.50,43.17,43.47,286300,34.80
2010-12-23,43.66,43.80,43.49,43.71,340000,34.99
2010-12-22,43.58,43.68,43.46,43.63,419600,34.93
2010-12-21,43.44,43.57,43.35,43.53,328800,34.85
2010-12-20,43.48,43.52,43.00,43.15,395300,34.54
2010-12-17,43.19,43.24,42.69,43.02,505100,34.44
2010-12-16,43.39,43.61,43.19,43.58,595800,34.89
2010-12-15,43.74,43.97,43.16,43.30,491300,34.66
2010-12-14,44.35,44.58,44.18,44.29,729600,35.45
2010-12-13,43.73,44.03,43.64,43.77,440700,35.04
2010-12-10,42.92,43.12,42.77,43.12,394600,34.52
2010-12-09,42.83,42.98,42.44,42.98,714500,34.41
2010-12-08,42.98,43.27,42.63,42.94,930200,34.37
2010-12-07,43.05,43.11,42.41,42.42,706900,33.96
2010-12-06,42.28,42.29,41.91,42.06,459200,33.67
2010-12-03,42.10,42.39,42.04,42.33,592300,33.89
2010-12-02,40.88,42.03,40.84,41.94,1233400,33.57
2010-12-01,40.97,41.22,40.53,41.08,1095700,32.88
2010-11-30,39.90,40.79,39.81,40.32,1193900,32.28
2010-11-29,40.33,40.62,39.98,40.53,1550700,32.44
2010-11-26,41.31,41.65,41.28,41.49,440400,33.21
2010-11-24,42.05,42.44,42.00,42.22,1208000,33.80
2010-11-23,42.82,42.97,42.33,42.48,1221900,34.01
2010-11-22,44.09,44.29,43.63,44.14,829200,35.33
2010-11-19,44.25,44.77,44.01,44.76,669000,35.83
2010-11-18,44.33,44.57,44.27,44.46,480000,35.59
2010-11-17,43.31,43.72,43.29,43.63,1021500,34.93
2010-11-16,44.14,44.25,43.19,43.45,908300,34.78
2010-11-15,44.65,44.84,44.31,44.31,749200,35.47
2010-11-12,44.54,44.81,43.81,44.09,1039000,35.29
2010-11-11,44.71,45.02,44.39,45.02,984400,36.04
2010-11-10,45.56,45.73,44.74,45.62,990200,36.52
2010-11-09,46.47,46.73,45.48,45.71,776300,36.59
2010-11-08,45.55,45.89,45.27,45.73,698700,36.61
2010-11-05,46.53,46.64,45.93,46.34,676500,37.10
2010-11-04,46.91,47.10,46.75,46.95,723700,37.58
2010-11-03,45.84,46.00,45.27,45.93,744400,36.77
2010-11-02,45.93,46.04,45.59,45.71,638500,36.59
2010-11-01,45.07,45.37,44.50,44.77,996700,35.84
2010-10-29,44.99,45.22,44.79,44.93,547000,35.97
2010-10-28,44.96,45.10,44.75,44.96,884800,35.99
2010-10-27,43.93,44.06,43.21,43.61,1727000,34.91
2010-10-26,44.39,44.64,44.24,44.42,859700,35.56
2010-10-25,45.31,45.53,45.02,45.02,442600,36.04
2010-10-22,45.18,45.29,44.84,45.14,610400,36.13
2010-10-21,45.44,45.76,44.89,45.26,444400,36.23
2010-10-20,44.74,45.52,44.74,45.34,768200,36.29
2010-10-19,44.65,44.80,44.01,44.33,554000,35.49
2010-10-18,45.25,45.78,45.14,45.72,382100,36.60
2010-10-15,45.81,45.82,45.16,45.41,683400,36.35
2010-10-14,45.73,45.85,45.16,45.40,777000,36.34
2010-10-13,44.76,45.29,44.74,45.07,575600,36.08
2010-10-12,44.08,44.47,43.63,44.31,669200,35.47
2010-10-11,45.38,45.48,45.02,45.19,429000,36.17
2010-10-08,45.07,45.32,44.93,45.16,484000,36.15
2010-10-07,45.42,45.45,44.67,44.96,732600,35.99
2010-10-06,44.80,44.99,44.69,44.87,650400,35.92
2010-10-05,44.01,44.40,43.91,44.26,642100,35.43
2010-10-04,43.33,43.53,42.90,43.13,519400,34.53
2010-10-01,44.12,44.23,43.74,44.02,699300,35.24
2010-09-30,43.60,43.85,42.86,43.18,595400,34.57
2010-09-29,43.18,43.62,43.13,43.35,511500,34.70
2010-09-28,42.55,43.23,42.06,43.13,792400,34.53
2010-09-27,42.71,42.78,42.48,42.49,403000,34.01
2010-09-24,42.23,42.66,42.10,42.54,586000,34.05
2010-09-23,41.71,41.99,41.41,41.72,1109600,33.40
2010-09-22,42.61,42.82,42.19,42.33,805100,33.89
2010-09-21,42.35,42.58,41.66,42.27,845400,33.84
2010-09-20,41.12,41.88,41.01,41.76,643000,33.43
2010-09-17,42.36,42.46,41.75,42.05,639100,32.63
2010-09-16,42.59,42.80,42.48,42.77,315600,33.19
2010-09-15,42.36,42.65,42.13,42.58,315600,33.04
2010-09-14,42.22,42.96,41.95,42.78,514100,33.20
2010-09-13,42.32,42.61,42.32,42.58,418600,33.04
2010-09-10,41.95,42.06,41.80,41.82,520900,32.45
2010-09-09,42.01,42.11,41.64,41.77,1108900,32.42
2010-09-08,41.31,41.80,41.29,41.46,429800,32.18
2010-09-07,41.42,41.46,41.06,41.11,332200,31.90
2010-09-03,42.21,42.39,42.03,42.39,465900,32.90
2010-09-02,41.21,41.53,41.16,41.49,391600,32.20
2010-09-01,40.74,41.26,40.69,41.11,444000,31.90
2010-08-31,39.75,40.04,39.46,39.65,440700,30.77
2010-08-30,39.75,39.95,39.30,39.30,326800,30.50
2010-08-27,39.82,40.28,39.03,40.22,585200,31.21
2010-08-26,39.50,39.93,39.19,39.40,532000,30.58
2010-08-25,38.65,39.28,38.47,39.13,1059000,30.37
2010-08-24,39.15,39.41,38.73,39.22,818200,30.44
2010-08-23,39.96,40.37,39.68,39.72,328500,30.82
2010-08-20,39.77,39.86,39.57,39.77,460900,30.86
2010-08-19,41.02,41.16,40.05,40.19,493500,31.19
