Date,Open,High,Low,Close,Volume,Adj Close
2007-06-05,38.52,38.74,38.31,38.68,5262800,16.12
2007-06-04,38.14,38.26,37.93,38.14,3952400,15.89
2007-06-01,37.96,38.26,37.91,38.19,3055800,15.91
2007-05-31,38.19,38.36,37.74,37.98,3637800,15.83
2007-05-30,37.69,38.00,37.59,37.93,3136400,15.81
2007-05-29,38.40,38.45,37.94,38.12,2925200,15.88
2007-05-25,38.33,38.59,38.33,38.47,3535000,16.03
2007-05-24,38.38,38.51,37.78,37.96,5843200,15.82
2007-05-23,38.65,38.75,38.20,38.28,2928800,15.95
2007-05-22,38.35,38.42,38.04,38.14,2208800,15.89
2007-05-21,38.21,38.30,38.04,38.12,3022800,15.88
2007-05-18,38.21,38.51,38.13,38.39,2660600,16.00
2007-05-17,38.20,38.33,37.95,38.22,2027000,15.93
2007-05-16,38.34,38.63,37.98,38.45,2692000,16.02
2007-05-15,38.28,38.56,38.07,38.11,3550000,15.88
2007-05-14,38.37,38.56,38.00,38.20,5723800,15.92
2007-05-11,36.89,37.58,36.80,37.55,3713800,15.65
2007-05-10,37.78,37.78,36.83,36.88,4818000,15.37
2007-05-09,37.75,38.19,37.47,38.12,6217200,15.88
2007-05-08,38.51,38.54,38.08,38.45,4328800,16.02
2007-05-07,39.29,39.47,39.10,39.13,2311800,16.31
2007-05-04,38.48,39.03,38.40,38.90,3377000,16.21
2007-05-03,38.30,38.52,38.25,38.37,4305600,15.99
2007-05-02,38.54,39.03,38.47,38.81,3753600,16.17
2007-05-01,38.22,38.67,38.22,38.59,2241000,16.08
2007-04-30,38.60,38.92,38.10,38.17,2694200,15.91
2007-04-27,38.26,38.61,38.18,38.49,4175200,16.04
2007-04-26,38.64,38.73,38.07,38.54,8085800,16.06
2007-04-25,39.30,40.00,39.21,39.97,5604600,16.66
2007-04-24,39.20,39.23,38.77,38.93,2799800,16.22
2007-04-23,38.04,38.77,37.94,38.60,4841400,16.08
2007-04-20,39.20,39.24,38.50,38.55,5355600,16.06
2007-04-19,39.11,39.85,39.06,39.68,3729000,16.53
2007-04-18,39.09,39.34,38.78,39.13,3101200,16.31
2007-04-17,39.32,39.37,38.92,39.05,1856600,16.27
2007-04-16,39.15,39.51,39.09,39.45,3931200,16.44
2007-04-13,38.30,38.57,38.09,38.53,2423000,16.06
2007-04-12,37.73,38.18,37.65,38.15,2816600,15.90
2007-04-11,38.85,38.90,38.28,38.36,4401200,15.69
2007-04-10,37.97,38.89,37.97,38.84,6439000,15.88
2007-04-09,37.53,37.74,37.47,37.49,1569200,15.33
2007-04-05,37.32,37.60,37.24,37.52,2285800,15.34
2007-04-04,37.00,37.25,36.93,37.24,2137400,15.23
2007-04-03,36.68,37.14,36.66,36.98,4264400,15.12
2007-04-02,36.40,36.70,36.24,36.61,4358200,14.97
2007-03-30,36.89,37.13,36.64,37.09,5333600,15.17
2007-03-29,36.67,36.90,36.45,36.84,3963400,15.06
2007-03-28,36.52,36.69,36.15,36.23,4414200,14.82
2007-03-27,37.09,37.29,36.84,37.16,3447400,15.20
2007-03-26,37.48,37.67,37.06,37.64,3357800,15.39
2007-03-23,38.02,38.21,37.69,37.75,3939400,15.44
2007-03-22,38.01,38.24,37.70,37.82,5067800,15.47
2007-03-21,36.89,38.07,36.67,38.04,10947600,15.56
2007-03-20,35.95,36.63,35.86,36.55,3413200,14.95
2007-03-19,35.97,36.28,35.88,36.22,6045400,14.81
2007-03-16,35.41,35.66,35.16,35.35,5872200,14.46
2007-03-15,34.95,35.51,34.95,35.33,3132000,14.45
2007-03-14,34.84,35.45,34.64,35.28,11358000,14.43
2007-03-13,35.51,35.78,34.76,34.87,5587400,14.26
2007-03-12,35.01,35.66,34.97,35.62,5760200,14.57
2007-03-09,34.93,35.06,34.49,34.71,4094800,14.19
