Date,Open,High,Low,Close,Volume,Adj Close
2011-03-03,20.12,20.30,20.01,20.20,4482900,28.70
2011-03-02,19.63,20.07,19.61,19.90,5442500,28.28
2011-03-01,20.02,20.08,19.62,19.69,3069800,27.98
2011-02-28,20.14,20.16,19.84,19.86,3371900,28.22
2011-02-25,20.32,20.32,19.89,20.14,3398700,28.62
2011-02-24,20.45,20.57,19.96,20.27,3704900,28.80
2011-02-23,20.38,20.65,20.12,20.32,3773900,28.87
2011-02-22,20.80,21.00,20.31,20.36,3694900,28.93
2011-02-18,21.01,21.12,20.85,20.96,3401500,29.78
2011-02-17,21.24,21.26,20.99,21.01,3179900,29.85
2011-02-16,21.90,21.90,21.19,21.19,4214600,30.11
2011-02-15,21.73,21.98,21.61,21.71,4755800,30.85
2011-02-14,21.63,22.09,21.32,21.69,6680000,30.82
2011-02-11,21.93,22.09,20.99,21.31,23723300,30.28
2011-02-10,25.35,25.90,25.18,25.69,3036100,36.50
2011-02-09,25.88,26.04,25.23,25.43,2032900,36.13
2011-02-08,25.33,26.06,25.23,25.98,3064500,36.92
2011-02-07,25.39,25.58,25.18,25.30,1872000,35.95
2011-02-04,25.00,25.47,24.88,25.25,1582800,35.88
2011-02-03,25.35,25.43,24.90,24.98,1488500,35.50
2011-02-02,25.19,25.48,25.09,25.23,1444500,35.85
2011-02-01,25.32,25.74,25.19,25.32,1627400,35.98
2011-01-31,24.98,25.22,24.52,25.16,2063600,35.75
2011-01-28,25.35,25.37,24.78,24.98,2101300,35.50
2011-01-27,25.49,25.80,25.22,25.39,1856800,36.08
2011-01-26,25.75,25.75,25.25,25.34,2333800,36.01
2011-01-25,25.95,25.96,25.46,25.76,1232300,36.60
2011-01-24,26.02,26.10,25.67,25.98,3044100,36.92
2011-01-21,26.58,26.71,25.90,25.98,2799800,36.92
2011-01-20,26.29,26.72,26.02,26.29,1547000,37.36
2011-01-19,26.52,26.77,26.18,26.34,2514700,37.43
2011-01-18,27.29,27.41,26.39,26.69,2609800,37.93
2011-01-14,26.95,27.31,26.65,27.30,2718100,38.79
2011-01-13,26.58,27.91,26.35,27.12,4931100,38.54
2011-01-12,26.46,26.70,26.11,26.65,3462600,37.87
2011-01-11,25.67,26.36,25.48,26.36,4301600,37.46
2011-01-10,25.49,25.56,25.20,25.51,1802800,36.25
2011-01-07,25.21,25.66,25.05,25.62,2192800,36.40
2011-01-06,25.42,25.45,24.80,25.10,2088000,35.67
2011-01-05,24.78,25.85,24.65,25.43,5166500,36.13
2011-01-04,24.99,25.12,24.40,24.42,3970800,34.70
2011-01-03,25.15,25.24,23.76,24.79,5878100,35.23
2010-12-31,25.31,25.33,24.89,25.09,1020200,35.65
2010-12-30,25.53,25.58,24.84,25.28,1389800,35.92
2010-12-29,25.49,25.74,25.45,25.58,1105600,36.35
2010-12-28,25.58,25.78,25.45,25.48,1388900,36.21
2010-12-27,26.24,26.26,25.45,25.57,1762300,36.33
2010-12-23,26.56,26.67,26.06,26.33,1128600,37.41
2010-12-22,27.16,27.27,26.49,26.62,1481100,37.83
2010-12-21,27.03,27.53,27.03,27.19,1926300,38.64
2010-12-20,26.85,27.06,26.32,26.90,2308800,38.22
2010-12-17,26.35,26.84,26.07,26.83,4344500,38.12
2010-12-16,25.87,26.18,25.64,25.98,1541100,36.92
2010-12-15,25.67,26.25,25.48,25.69,2916400,36.50
2010-12-14,26.16,26.24,25.46,25.57,2905400,36.33
2010-12-13,27.59,27.60,26.13,26.13,2948700,37.13
2010-12-10,27.30,27.45,27.01,27.44,1261600,38.99
2010-12-09,27.13,27.21,26.78,27.17,1401500,38.61
2010-12-08,26.88,27.05,26.69,27.01,823500,38.38
2010-12-07,27.45,27.60,26.87,26.93,1263400,38.27
2010-12-06,27.03,27.24,26.89,27.19,1510900,38.64
2010-12-03,26.92,27.36,26.90,27.05,1339700,38.44
2010-12-02,26.82,27.08,26.66,26.96,1651200,38.31
2010-12-01,27.16,27.60,26.75,26.79,2034600,38.07
2010-11-30,26.46,26.57,26.25,26.33,2436000,37.41
2010-11-29,26.10,26.97,26.08,26.78,2623600,38.05
2010-11-26,26.02,26.53,25.94,26.37,1086100,37.47
2010-11-24,25.60,26.30,25.60,26.22,1772300,37.26
2010-11-23,25.63,25.64,25.03,25.36,2138600,36.04
2010-11-22,25.78,26.08,25.40,25.87,2310200,36.76
2010-11-19,26.42,26.56,25.99,26.21,1425400,37.24
2010-11-18,26.30,26.83,26.24,26.45,2159400,37.58
2010-11-17,25.55,26.12,25.45,26.06,1659200,37.03
2010-11-16,25.46,25.88,25.37,25.50,3353600,36.23
2010-11-15,26.86,26.99,25.68,25.82,3054100,36.59
2010-11-12,27.13,27.27,26.36,26.66,1889500,37.78
2010-11-11,27.11,27.44,26.80,27.32,988300,38.72
2010-11-10,27.30,27.51,26.95,27.46,1130600,38.91
2010-11-09,28.19,28.35,27.15,27.35,2415100,38.76
2010-11-08,27.21,28.02,27.06,28.02,3333200,39.71
2010-11-05,27.34,27.82,27.19,27.30,4172300,38.69
2010-11-04,28.95,28.96,26.63,27.17,6803700,38.50
2010-11-03,28.67,28.70,28.17,28.68,2173000,40.64
