Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,61.00,61.00,60.12,60.36,2404200,30.18
2011-07-28,61.34,62.09,60.99,61.40,1822000,30.70
2011-07-27,62.37,63.36,61.36,61.45,2796800,30.73
2011-07-26,61.82,62.06,60.95,61.51,2409000,30.75
2011-07-25,61.55,62.06,61.38,61.79,1533400,30.90
2011-07-22,61.90,62.34,61.72,62.16,1500800,31.08
2011-07-21,60.76,62.15,60.63,62.05,2359800,31.02
2011-07-20,61.24,61.26,60.42,60.50,1898000,30.25
2011-07-19,60.61,61.53,60.27,61.33,2398800,30.67
2011-07-18,61.04,61.21,60.14,60.19,2017000,30.09
2011-07-15,62.91,62.91,61.27,61.37,1889400,30.68
2011-07-14,62.82,63.27,61.90,61.99,1124200,31.00
2011-07-13,62.93,63.53,62.53,62.69,1546600,31.34
2011-07-12,63.60,63.92,62.64,62.66,2267000,31.33
2011-07-11,64.00,64.37,63.55,63.67,1188400,31.83
2011-07-08,64.75,64.95,64.06,64.61,1139000,32.31
2011-07-07,65.02,65.41,64.89,65.22,1791000,32.61
2011-07-06,63.94,64.99,63.80,64.75,1746000,32.38
2011-07-05,63.76,64.14,63.44,64.03,2064200,32.01
2011-07-01,62.77,64.00,62.38,63.74,1479200,31.87
2011-06-30,62.00,62.66,61.56,62.63,1507000,31.32
2011-06-29,61.56,61.99,60.74,61.81,1290400,30.91
2011-06-28,61.41,61.74,61.32,61.70,1518000,30.85
2011-06-27,60.66,61.42,60.55,61.20,1082000,30.60
2011-06-24,61.25,61.45,60.69,60.71,3148200,30.35
2011-06-23,60.84,61.45,60.46,61.31,1950400,30.66
2011-06-22,61.65,61.90,61.32,61.33,1472800,30.67
2011-06-21,61.52,61.83,61.24,61.74,1961000,30.87
2011-06-20,61.17,61.47,61.01,61.35,1854200,30.67
2011-06-17,61.79,61.79,60.81,61.19,3263400,30.59
2011-06-16,61.31,61.51,60.69,61.18,2348400,30.59
2011-06-15,62.16,62.23,61.21,61.24,1520400,30.62
2011-06-14,62.65,62.87,62.14,62.60,1074800,31.30
2011-06-13,62.67,62.67,62.04,62.10,2090000,31.05
2011-06-10,63.04,63.36,62.31,62.31,1744600,31.16
2011-06-09,63.02,63.55,62.96,63.42,1964800,31.71
2011-06-08,63.20,63.33,62.83,62.98,3032000,31.49
2011-06-07,62.55,63.53,62.10,63.40,3387400,31.70
2011-06-06,62.24,62.67,62.06,62.32,2120000,31.16
2011-06-03,62.88,63.24,62.18,62.24,1516600,31.12
2011-06-02,63.72,64.10,63.40,63.66,1516800,31.83
2011-06-01,64.66,64.89,63.54,63.59,3747000,31.80
2011-05-31,63.98,64.52,63.94,64.52,3869600,32.26
2011-05-27,63.17,63.84,63.04,63.46,1451800,31.73
2011-05-26,62.54,63.18,62.35,63.00,1523000,31.50
2011-05-25,62.34,62.77,62.25,62.59,1790400,31.30
2011-05-24,62.55,62.88,62.47,62.53,2028400,31.26
2011-05-23,62.30,62.76,62.11,62.53,1983400,31.26
2011-05-20,63.28,63.58,62.89,63.10,2108000,31.55
2011-05-19,63.33,63.72,63.11,63.33,1885800,31.67
2011-05-18,62.08,63.13,61.76,63.08,1938200,31.54
2011-05-17,61.32,62.15,61.21,62.02,2578800,31.01
2011-05-16,61.84,61.96,61.34,61.59,1757400,30.80
2011-05-13,62.27,62.47,61.69,62.00,1337000,31.00
2011-05-12,61.73,62.61,61.43,62.33,1504000,31.17
2011-05-11,62.35,62.66,61.35,61.75,1790600,30.88
2011-05-10,62.02,62.59,61.87,62.44,1150000,31.22
2011-05-09,61.54,62.13,61.38,61.65,1202800,30.83
2011-05-06,62.21,62.67,61.41,61.61,1273200,30.81
2011-05-05,61.53,62.28,61.19,61.49,1991200,30.75
2011-05-04,62.14,62.66,61.42,61.80,1857200,30.90
2011-05-03,61.88,62.87,61.83,62.26,2387000,31.13
2011-05-02,61.21,62.28,61.12,61.85,2610000,30.92
2011-04-29,61.42,61.89,61.18,61.31,6400000,30.66
2011-04-28,64.07,64.07,61.18,61.47,5400000,30.74
2011-04-27,64.44,64.71,63.93,64.39,2095800,32.19
2011-04-26,64.00,64.43,63.75,64.37,2400000,32.19
2011-04-25,63.83,63.90,63.36,63.60,2648400,31.80
2011-04-21,63.41,63.75,63.18,63.75,1923600,31.88
2011-04-20,63.34,64.13,63.33,63.53,1728400,31.76
2011-04-19,62.16,62.62,62.06,62.60,1902600,31.30
2011-04-18,62.45,62.59,61.86,62.10,1852600,31.05
2011-04-15,62.50,63.38,62.37,63.13,1803000,31.57
2011-04-14,61.96,62.65,61.82,62.48,1473600,31.24
2011-04-13,62.37,62.70,61.89,62.46,1632800,31.23
2011-04-12,62.42,62.95,61.93,61.97,1758200,30.99
2011-04-11,62.47,62.84,62.22,62.67,1829600,31.33
2011-04-08,62.75,62.82,61.97,62.36,1088000,31.18
2011-04-07,62.13,63.00,61.91,62.64,2014200,31.32
2011-04-06,62.00,62.67,61.84,62.39,1077600,31.19
2011-04-05,62.49,62.78,61.38,61.63,2067400,30.82
2011-04-04,62.99,62.99,62.18,62.82,1227800,31.41
2011-04-01,62.95,62.99,62.65,62.88,2828600,31.44
2011-03-31,62.62,63.00,62.51,62.72,1447600,31.36
2011-03-30,62.44,62.94,62.24,62.57,1588600,31.28
2011-03-29,61.14,62.22,61.00,62.14,1282000,31.07
2011-03-28,61.61,61.89,61.20,61.28,1210200,30.64
2011-03-25,61.38,62.04,61.21,61.54,896600,30.77
2011-03-24,60.73,61.33,60.37,61.18,1971600,30.59
2011-03-23,60.53,60.79,60.01,60.51,1507600,30.25
2011-03-22,60.67,60.83,60.38,60.53,1100200,30.26
2011-03-21,60.41,61.24,60.16,60.60,1633000,30.30
2011-03-18,59.46,60.02,59.09,60.02,4524400,30.01
2011-03-17,59.01,59.53,58.56,59.08,1632400,29.54
2011-03-16,58.40,59.05,57.94,58.33,2902000,29.17
2011-03-15,58.50,59.00,58.26,58.55,2899400,29.27
2011-03-14,59.93,60.30,59.43,59.89,1344600,29.94
2011-03-11,59.65,60.65,59.29,60.54,1603200,30.27
2011-03-10,60.41,60.41,59.37,59.52,3185200,29.76
2011-03-09,60.82,61.36,60.21,61.17,2015400,30.58
2011-03-08,60.33,61.48,60.12,61.10,2466400,30.55
2011-03-07,61.87,61.96,60.06,60.17,2458800,30.08
2011-03-04,62.14,62.16,61.13,61.47,2580000,30.74
2011-03-03,62.14,62.57,61.97,62.10,2608800,31.05
2011-03-02,61.84,62.00,61.53,61.75,1727800,30.88
2011-03-01,63.06,63.40,61.80,62.03,1943400,31.01
2011-02-28,62.95,63.31,62.76,63.27,1827400,31.64
2011-02-25,62.16,63.21,62.16,63.00,1875800,31.50
2011-02-24,61.77,62.30,61.21,62.01,1760600,31.00
2011-02-23,62.61,62.62,61.51,61.71,1859200,30.85
2011-02-22,63.01,63.74,62.08,62.68,1780200,31.34
2011-02-18,63.52,63.88,63.05,63.52,1569200,31.76
2011-02-17,62.29,63.57,62.27,63.56,1120800,31.78
2011-02-16,62.45,62.94,62.13,62.59,1416400,31.30
2011-02-15,62.12,62.50,61.86,62.40,1437200,31.20
2011-02-14,62.30,62.56,61.91,62.50,1200000,31.25
2011-02-11,61.68,62.37,61.64,62.34,1795400,31.17
2011-02-10,60.80,62.00,60.80,61.94,2298000,30.97
2011-02-09,61.17,61.42,60.79,60.94,1407800,30.47
2011-02-08,60.43,61.32,60.28,61.23,2223000,30.61
2011-02-07,60.25,60.80,59.85,60.47,3436600,30.24
2011-02-04,60.22,61.35,59.96,60.27,3593200,30.14
2011-02-03,62.31,62.69,61.35,62.31,2728400,31.16
2011-02-02,62.94,63.20,62.38,62.51,1464200,31.25
2011-02-01,62.16,63.67,62.16,63.03,2527000,31.51
2011-01-31,61.43,61.96,61.06,61.77,1413600,30.89
2011-01-28,62.97,63.26,61.02,61.33,1492800,30.67
2011-01-27,62.89,62.97,62.39,62.87,2075000,31.43
2011-01-26,62.91,63.20,62.56,62.89,1136800,31.44
2011-01-25,62.66,62.89,61.87,62.89,1482200,31.44
2011-01-24,61.94,63.27,61.92,62.91,1466400,31.45
2011-01-21,62.20,62.20,61.44,61.98,1766800,30.99
2011-01-20,61.75,62.31,61.47,61.90,1259000,30.95
2011-01-19,62.21,62.38,61.67,62.00,1403400,31.00
2011-01-18,61.94,62.73,61.92,62.50,2041200,31.25
2011-01-14,60.70,62.00,60.52,61.92,1757200,30.96
