Date,Open,High,Low,Close,Volume,Adj Close
2012-08-10,638.59,642.24,636.13,642.00,2866300,321.32
2012-08-09,644.51,646.37,641.52,642.35,2138400,321.50
2012-08-08,639.05,645.87,638.50,642.23,2641700,321.44
2012-08-07,641.79,644.26,636.47,640.54,3959600,320.59
2012-08-06,639.61,649.38,639.22,642.82,3561200,321.73
2012-08-03,640.00,643.72,636.14,641.33,3790400,320.99
2012-08-02,625.51,638.03,623.41,628.75,3951400,314.69
2012-08-01,637.30,639.51,631.38,632.68,3685500,316.66
2012-07-31,628.26,636.50,628.22,632.97,3727400,316.80
2012-07-30,636.05,642.60,629.50,632.30,4369000,316.47
2012-07-27,618.89,635.00,617.50,634.96,7092300,317.80
2012-07-26,615.00,616.87,610.03,613.36,3367000,306.99
2012-07-25,608.32,613.38,605.37,607.99,3642300,304.30
2012-07-24,615.00,617.93,604.34,607.57,4014700,304.09
2012-07-23,600.48,618.35,598.25,615.51,7116200,308.06
2012-07-20,608.76,612.94,598.18,610.82,12914400,305.72
2012-07-19,586.14,598.48,586.00,593.06,9340000,296.83
2012-07-18,576.98,583.69,576.13,580.76,3093300,290.67
2012-07-17,578.43,580.67,568.40,576.73,3356800,288.65
2012-07-16,576.37,579.19,571.78,574.92,2922200,287.75
2012-07-13,572.15,579.15,568.55,576.52,3948000,288.55
2012-07-12,567.12,571.93,562.09,570.48,4614900,285.53
2012-07-11,576.30,577.85,564.94,571.19,6991600,285.88
2012-07-10,590.19,592.43,578.74,581.70,3842300,291.14
2012-07-09,584.95,588.60,581.25,586.01,3426700,293.30
2012-07-06,592.45,593.52,582.82,585.98,4319200,293.28
2012-07-05,588.76,600.06,588.54,595.92,4687100,298.26
2012-07-03,580.01,588.41,578.00,587.83,2376600,294.21
2012-07-02,581.82,583.00,576.50,580.47,3307600,290.53
2012-06-29,574.96,580.13,572.20,580.07,5033900,290.33
2012-06-28,565.90,566.23,557.21,564.31,3837900,282.44
2012-06-27,567.70,573.99,566.02,569.30,3381200,284.93
2012-06-26,562.76,566.60,559.48,564.68,2697600,282.62
2012-06-25,567.33,568.09,557.35,560.70,3160000,280.63
2012-06-22,568.00,571.48,565.82,571.48,4451300,286.03
2012-06-21,579.84,579.84,563.73,565.21,4018500,282.89
2012-06-20,579.81,580.00,573.51,577.51,4688700,289.04
2012-06-19,573.59,584.28,573.12,581.53,4148200,291.06
2012-06-18,562.62,574.21,559.25,570.85,4988800,285.71
2012-06-15,560.34,564.52,557.09,564.51,5996300,282.54
2012-06-14,561.30,565.07,556.52,559.05,4685100,279.80
2012-06-13,561.72,567.00,558.68,561.09,3904400,280.83
2012-06-12,569.77,570.30,558.58,565.10,6441900,282.83
2012-06-11,584.21,585.32,566.69,568.50,5316800,284.53
2012-06-08,575.85,581.00,574.58,580.45,2817900,290.52
2012-06-07,587.60,587.89,577.25,578.23,3513400,289.40
2012-06-06,576.48,581.97,573.61,580.57,4187400,290.58
2012-06-05,575.45,578.13,566.47,570.41,4675100,285.49
2012-06-04,570.22,580.49,570.01,578.59,4860500,289.58
2012-06-01,571.79,572.65,568.35,570.98,6109600,285.78
2012-05-31,588.72,590.00,579.00,580.86,5930600,290.72
2012-05-30,588.16,591.90,583.53,588.23,3809500,294.41
2012-05-29,595.81,599.13,588.32,594.34,5206100,297.47
2012-05-25,601.00,601.73,588.28,591.53,7156600,296.06
2012-05-24,609.16,611.92,598.87,603.66,3778800,302.13
2012-05-23,601.65,609.60,597.12,609.46,6349800,305.04
2012-05-22,613.44,613.81,596.00,600.80,6097600,300.70
2012-05-21,600.51,615.69,600.00,614.11,6144600,307.36
2012-05-18,625.10,632.42,596.70,600.40,11935000,300.50
2012-05-17,633.83,637.85,621.23,623.05,6700800,311.84
2012-05-16,617.96,630.10,615.94,628.93,9660500,314.78
2012-05-15,605.35,615.00,603.75,611.11,4199900,305.86
2012-05-14,600.78,608.50,600.58,604.00,3645100,302.30
2012-05-11,610.35,614.55,604.77,605.23,4194600,302.92
2012-05-10,612.96,616.19,610.23,613.66,3068700,307.14
2012-05-09,606.82,616.38,601.81,609.15,4652900,304.88
2012-05-08,605.53,616.90,600.70,612.79,5349200,306.70
2012-05-07,595.00,610.57,595.00,607.55,3985000,304.08
2012-05-04,605.92,607.89,596.81,596.97,4410300,298.78
2012-05-03,609.62,614.83,608.95,611.02,3732200,305.82
2012-05-02,601.20,608.11,600.61,607.26,3219700,303.93
2012-05-01,603.79,611.60,600.19,604.43,4000500,302.52
2012-04-30,612.99,616.08,600.61,604.85,4809700,302.73
2012-04-27,615.02,616.74,610.60,614.98,3269500,307.80
2012-04-26,610.91,618.00,609.70,615.47,4180800,308.04
