Date,Open,High,Low,Close,Volume,Adj Close
2012-08-10,31.75,32.09,31.68,32.06,212400,31.91
2012-08-09,32.52,32.57,32.39,32.43,135600,32.28
2012-08-08,32.16,32.40,32.15,32.31,229600,32.16
2012-08-07,32.10,32.39,32.10,32.24,326800,32.09
2012-08-06,31.58,31.86,31.58,31.73,254800,31.58
2012-08-03,30.96,31.41,30.83,31.33,814400,31.18
2012-08-02,30.17,30.48,29.86,30.29,685800,30.15
2012-08-01,30.92,31.01,28.50,30.21,6427100,30.07
2012-07-31,32.12,32.15,31.48,31.50,434200,31.35
2012-07-30,31.86,32.07,31.83,32.02,373900,31.87
2012-07-27,31.76,32.50,31.55,32.40,432100,32.25
2012-07-26,30.89,31.21,30.80,31.16,244800,31.01
2012-07-25,30.60,30.62,30.29,30.43,152200,30.29
2012-07-24,30.88,30.89,30.34,30.48,298500,30.34
2012-07-23,30.97,31.10,30.79,31.06,159100,30.91
2012-07-20,31.55,31.61,31.32,31.34,162000,31.19
2012-07-19,31.97,32.07,31.90,31.99,131700,31.84
2012-07-18,31.41,31.78,31.36,31.65,264600,31.50
2012-07-17,31.35,31.49,31.08,31.38,296600,31.23
2012-07-16,31.44,31.69,31.40,31.58,115700,31.43
2012-07-13,31.25,31.74,31.22,31.70,207100,31.55
2012-07-12,31.58,31.72,31.22,31.40,609500,31.25
2012-07-11,32.44,32.53,32.18,32.43,238900,32.28
2012-07-10,32.70,32.77,32.20,32.29,206200,32.14
2012-07-09,32.94,33.01,32.70,32.98,236700,32.82
2012-07-06,33.77,33.84,33.56,33.75,255300,33.59
2012-07-05,34.19,34.32,34.01,34.12,360900,33.96
2012-07-03,34.46,34.66,34.25,34.62,138200,34.46
2012-07-02,34.47,34.54,34.05,34.27,618300,34.11
2012-06-29,34.56,34.67,34.37,34.66,639300,34.50
2012-06-28,33.10,33.30,32.87,33.28,903300,33.12
2012-06-27,32.75,32.96,32.69,32.91,396400,32.75
2012-06-26,32.83,32.86,32.44,32.64,741300,32.48
2012-06-25,32.95,33.07,32.70,32.83,370000,32.67
2012-06-22,33.43,33.48,33.22,33.34,465500,33.18
2012-06-21,33.56,33.71,32.79,32.82,644700,32.66
2012-06-20,32.77,32.90,32.53,32.68,436300,32.52
2012-06-19,32.65,32.86,32.58,32.81,573800,32.65
2012-06-18,32.37,32.49,32.27,32.34,332100,32.19
2012-06-15,32.19,32.47,32.11,32.36,267400,32.21
2012-06-14,31.76,32.12,31.74,32.00,226500,31.85
2012-06-13,31.90,32.05,31.60,31.75,249500,31.60
2012-06-12,31.85,31.96,31.66,31.96,223500,31.81
2012-06-11,31.97,32.05,31.47,31.52,257400,31.37
2012-06-08,31.38,31.66,31.25,31.62,193100,31.47
2012-06-07,32.06,32.23,31.74,31.74,195500,31.59
2012-06-06,31.51,31.95,31.49,31.92,374400,31.77
2012-06-05,30.85,31.09,30.70,31.03,336800,30.88
2012-06-04,30.65,30.71,30.30,30.53,323700,30.38
2012-06-01,31.05,31.27,30.71,30.72,377600,30.57
2012-05-31,31.90,31.99,31.64,31.79,389000,31.64
2012-05-30,32.17,32.18,31.89,31.96,478400,31.81
2012-05-29,32.22,32.37,32.07,32.29,462400,32.14
2012-05-25,31.99,32.06,31.86,31.92,333600,31.77
2012-05-24,32.36,32.37,31.96,32.20,427600,32.05
2012-05-23,32.32,32.49,32.10,32.48,494000,32.33
2012-05-22,32.70,32.95,32.51,32.64,271000,32.48
2012-05-21,32.20,32.65,32.16,32.62,326000,32.46
2012-05-18,32.56,32.61,32.13,32.21,243600,32.06
2012-05-17,32.76,32.89,32.62,32.75,854400,32.59
2012-05-16,32.34,32.67,32.19,32.26,554800,32.11
2012-05-15,33.09,33.23,32.84,32.88,367400,32.72
2012-05-14,33.80,33.87,33.64,33.64,317700,33.48
2012-05-11,34.37,34.68,34.26,34.30,342800,34.14
2012-05-10,34.33,34.40,34.12,34.20,530500,34.04
2012-05-09,33.74,34.33,33.74,34.03,2541200,33.87
2012-05-08,33.68,33.74,33.36,33.67,7276300,33.51
2012-05-07,33.74,33.94,33.68,33.80,7030600,33.64
2012-05-04,34.47,34.47,34.15,34.29,341700,34.13
2012-05-03,34.87,34.93,34.50,34.59,175200,34.43
2012-05-02,34.85,35.12,34.79,34.97,352200,34.80
2012-05-01,35.07,35.38,35.01,35.28,648200,35.11
2012-04-30,36.35,36.39,35.92,36.04,252000,35.87
2012-04-27,36.60,36.88,36.50,36.53,605900,36.36
2012-04-26,35.54,36.10,35.54,35.97,283600,35.80
2012-04-25,35.57,35.61,35.29,35.61,472500,35.44
2012-04-24,35.44,35.66,35.38,35.49,275800,35.32
2012-04-23,35.00,35.04,34.67,35.00,506700,34.83
2012-04-20,35.28,35.41,35.11,35.16,259000,34.99
2012-04-19,35.59,35.84,35.21,35.23,532900,35.06
2012-04-18,35.53,35.74,35.49,35.69,712200,35.52
2012-04-17,35.39,35.64,35.24,35.45,536700,35.28
2012-04-16,35.85,35.88,35.58,35.68,193200,35.51
2012-04-13,35.96,36.05,35.73,35.77,312400,35.60
2012-04-12,36.15,36.56,36.02,36.56,291500,36.39
2012-04-11,35.96,36.12,35.81,36.03,254500,35.86
2012-04-10,36.08,36.22,35.50,35.62,421400,35.45
2012-04-09,36.00,36.50,35.95,36.13,315900,35.96
2012-04-05,36.96,37.24,36.86,37.02,274300,36.84
2012-04-04,37.40,37.40,36.95,37.32,588900,37.14
2012-04-03,38.96,38.96,38.17,38.39,604200,38.21
2012-04-02,38.44,38.92,38.41,38.84,298300,38.66
2012-03-30,38.51,38.51,38.25,38.43,240700,38.25
2012-03-29,38.27,38.32,38.04,38.24,233600,38.06
2012-03-28,38.90,38.96,38.49,38.83,375200,38.65
2012-03-27,38.94,39.25,38.82,38.86,373800,38.68
