Date,Open,High,Low,Close,Volume,Adj Close
2011-07-01,36.55,37.13,36.34,37.05,14854800,34.51
2011-06-30,36.30,37.24,36.23,36.40,27376900,33.90
2011-06-29,35.17,35.60,35.09,35.55,13512600,33.11
2011-06-28,35.07,35.20,34.96,35.09,14237100,32.68
2011-06-27,35.05,35.35,34.91,34.98,15242400,32.58
2011-06-24,35.18,35.21,34.88,34.90,36850600,32.51
2011-06-23,34.82,35.29,34.55,35.23,19498800,32.81
2011-06-22,35.32,35.50,35.11,35.12,12828800,32.71
2011-06-21,35.13,35.65,35.03,35.30,16958800,32.88
2011-06-20,34.79,35.32,34.79,34.99,16631600,32.59
2011-06-17,35.22,35.32,34.94,35.00,39361800,32.60
2011-06-16,34.09,35.11,34.06,34.97,28167700,32.57
2011-06-15,34.53,34.56,33.95,34.26,24950100,31.91
2011-06-14,34.85,35.28,34.64,34.73,20123600,32.35
2011-06-13,35.13,35.18,34.60,34.65,21738800,32.27
2011-06-10,35.51,35.53,35.14,35.25,14320500,32.72
2011-06-09,35.51,35.73,35.36,35.46,11590900,32.91
2011-06-08,35.23,35.75,35.20,35.36,16012500,32.82
2011-06-07,36.13,36.15,35.57,35.57,16894700,33.02
2011-06-06,35.99,36.24,35.91,35.96,15407700,33.38
2011-06-03,36.05,36.38,36.00,36.11,15963800,33.52
2011-06-02,36.58,36.66,36.31,36.43,16659600,33.81
2011-06-01,37.20,37.31,36.50,36.63,19316200,34.00
2011-05-31,37.28,37.52,37.18,37.38,27368000,34.70
2011-05-27,36.74,37.04,36.72,36.96,20623500,34.31
2011-05-26,35.99,36.74,35.96,36.55,27179800,33.93
2011-05-25,35.68,36.15,35.68,36.01,25474500,33.42
2011-05-24,35.62,36.16,35.58,35.97,27329900,33.39
2011-05-23,35.58,36.00,35.44,35.81,26492700,33.24
2011-05-20,36.01,36.35,35.91,35.98,23005900,33.40
2011-05-19,36.43,36.67,36.00,36.13,31116600,33.54
2011-05-18,36.63,36.64,35.99,36.49,44644200,33.87
2011-05-17,37.57,37.66,36.04,36.91,100424200,34.26
2011-05-16,40.20,40.34,39.66,39.80,18262200,36.94
