Date,Open,High,Low,Close,Volume,Adj Close
2012-10-16,49.22,49.42,49.15,49.28,2092000,45.45
2012-10-15,48.23,48.60,48.09,48.51,1474700,44.74
2012-10-12,47.96,48.20,47.70,47.92,1347900,44.20
2012-10-11,48.06,48.17,47.75,47.78,1124600,44.07
2012-10-10,47.52,47.55,47.08,47.21,870200,43.54
2012-10-09,47.59,47.71,47.20,47.30,1020900,43.63
2012-10-08,47.83,47.95,47.70,47.85,937900,44.13
2012-10-05,48.67,48.95,48.14,48.27,1437200,44.52
2012-10-04,47.78,48.07,47.57,48.03,1249200,44.30
2012-10-03,47.44,47.45,47.16,47.28,923700,43.61
2012-10-02,47.55,47.56,46.83,46.99,920700,43.34
2012-10-01,47.32,47.86,47.15,47.25,1442700,43.58
2012-09-28,46.83,46.88,46.30,46.46,1446400,42.85
2012-09-27,47.17,47.29,46.79,47.22,1558400,43.55
2012-09-26,46.47,46.56,46.13,46.46,1606000,42.85
2012-09-25,47.44,47.73,46.79,46.82,1210900,43.18
2012-09-24,47.16,47.73,47.10,47.53,1433200,43.84
2012-09-21,47.72,47.75,47.45,47.61,1363300,43.91
2012-09-20,47.21,47.66,47.03,47.65,1290000,43.95
2012-09-19,47.55,47.80,47.26,47.65,1717600,43.95
2012-09-18,46.62,47.09,46.56,47.07,1259000,43.42
2012-09-17,47.60,47.64,47.20,47.31,1124500,43.64
2012-09-14,47.24,47.64,47.22,47.42,1966600,43.74
2012-09-13,45.42,46.67,45.22,46.51,2620900,42.90
2012-09-12,45.98,46.27,45.71,45.80,1993600,42.24
2012-09-11,45.25,45.55,45.25,45.39,1778100,41.87
2012-09-10,45.05,45.27,44.87,44.89,1269500,41.40
2012-09-07,45.03,45.27,44.90,45.10,2167300,41.60
2012-09-06,43.49,44.45,43.48,44.26,2412400,40.82
2012-09-05,43.03,43.20,42.85,43.08,1502700,39.74
2012-09-04,43.48,43.52,43.17,43.32,850600,39.96
2012-08-31,43.75,43.88,43.32,43.63,1469800,40.24
2012-08-30,43.58,43.68,43.17,43.50,1451400,40.12
2012-08-29,43.97,44.12,43.86,43.99,585100,40.57
2012-08-28,43.86,44.31,43.84,44.18,779200,40.75
2012-08-27,44.07,44.17,43.94,43.94,697900,40.53
2012-08-24,43.82,44.22,43.67,44.05,1128700,40.63
2012-08-23,44.47,44.65,44.22,44.27,1073100,40.83
2012-08-22,44.36,44.68,44.21,44.45,1081900,41.00
2012-08-21,44.61,45.09,44.50,44.62,1470200,41.16
2012-08-20,44.34,44.51,44.09,44.40,1266400,40.95
2012-08-17,44.72,44.83,44.49,44.76,890000,41.28
2012-08-16,44.43,44.65,44.20,44.49,1302200,41.04
2012-08-15,44.17,44.49,44.12,44.13,1620600,40.70
2012-08-14,44.48,44.73,44.45,44.56,1205000,40.69
2012-08-13,44.46,44.56,44.29,44.48,995300,40.61
2012-08-10,44.19,44.57,44.09,44.50,1561300,40.63
2012-08-09,44.17,44.38,44.05,44.27,1100000,40.42
2012-08-08,43.66,44.17,43.65,44.06,1401500,40.23
2012-08-07,43.62,44.13,43.60,43.73,1391100,39.93
2012-08-06,43.60,43.98,43.47,43.52,2235100,39.74
2012-08-03,43.20,44.08,43.13,43.68,2222000,39.88
2012-08-02,41.83,42.34,41.53,41.87,2110400,38.23
2012-08-01,42.17,42.42,41.99,42.07,1851200,38.41
2012-07-31,41.84,42.06,41.61,41.80,1753900,38.17
2012-07-30,42.48,42.94,42.31,42.73,2208700,39.01
2012-07-27,41.46,42.36,41.33,42.12,5113200,38.46
2012-07-26,41.66,41.78,41.14,41.22,3919600,37.64
2012-07-25,40.05,40.31,39.84,40.11,1657800,36.62
2012-07-24,40.29,40.30,39.38,39.69,3085000,36.24
2012-07-23,39.99,40.40,39.87,40.31,3783900,36.80
2012-07-20,42.21,42.22,41.50,41.71,4245600,38.08
2012-07-19,42.91,43.38,42.84,43.11,2072100,39.36
2012-07-18,42.33,42.84,42.30,42.73,3411300,39.01
2012-07-17,43.13,43.31,42.50,43.28,2181200,39.52
2012-07-16,43.45,43.71,43.19,43.48,1072200,39.70
2012-07-13,43.08,43.74,43.07,43.61,1343000,39.82
2012-07-12,42.95,43.16,42.56,42.98,1528400,39.24
2012-07-11,44.21,44.42,43.84,44.12,1519000,40.28
2012-07-10,44.00,44.12,43.60,43.74,1354200,39.94
2012-07-09,43.66,43.78,43.30,43.76,2131300,39.95
2012-07-06,43.92,44.10,43.68,43.89,1408700,40.07
2012-07-05,43.98,44.18,43.69,44.07,1534700,40.24
2012-07-03,44.69,44.87,44.57,44.82,821700,40.92
2012-07-02,44.44,44.95,44.30,44.91,1598200,41.00
2012-06-29,44.54,44.65,43.98,44.13,2081300,40.29
2012-06-28,42.85,43.71,42.63,43.69,3203700,39.89
2012-06-27,44.28,44.75,44.10,44.58,1912100,40.70
2012-06-26,43.83,43.95,43.47,43.86,1479200,40.05
2012-06-25,43.54,43.58,43.16,43.31,2007700,39.54
2012-06-22,44.05,44.12,43.74,43.89,1635300,40.07
2012-06-21,44.29,44.34,43.25,43.30,1824700,39.53
2012-06-20,44.63,44.77,44.10,44.39,2225600,40.53
2012-06-19,43.76,44.35,43.64,44.09,2667400,40.26
2012-06-18,42.75,43.07,42.62,42.93,1654100,39.20
2012-06-15,43.07,43.21,42.76,43.08,2362700,39.33
2012-06-14,42.30,42.67,42.14,42.55,2382400,38.85
2012-06-13,42.14,42.54,41.88,42.13,2249800,38.47
2012-06-12,41.69,42.19,41.42,42.13,2254800,38.47
2012-06-11,42.03,42.04,41.00,41.03,2069000,37.46
2012-06-08,40.91,41.40,40.68,41.33,2094700,37.74
2012-06-07,42.09,42.13,41.43,41.50,2898700,37.89
2012-06-06,40.21,41.26,40.16,41.05,4158300,37.48
2012-06-05,38.82,39.45,38.82,39.41,1900200,35.98
2012-06-04,38.93,39.09,38.61,39.06,2102500,35.66
2012-06-01,39.07,39.20,38.56,38.69,2068300,35.33
2012-05-31,39.24,39.77,38.76,39.50,2634000,36.07
2012-05-30,39.35,39.40,39.06,39.12,3074700,35.72
2012-05-29,40.28,40.48,40.01,40.40,2086500,36.89
2012-05-25,40.24,40.41,40.09,40.23,1464500,36.73
2012-05-24,40.51,40.76,40.13,40.52,2837400,37.00
