Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,180.26,183.43,179.73,181.85,6665600,171.01
2011-07-28,181.06,183.27,180.88,181.80,4478800,170.97
2011-07-27,182.01,182.91,180.93,181.35,5806800,170.54
2011-07-26,182.94,184.05,182.65,182.93,4356200,172.03
2011-07-25,183.89,184.96,183.28,183.70,4987000,172.75
2011-07-22,184.64,185.63,184.26,185.18,4516100,174.15
2011-07-21,183.59,185.50,182.90,184.90,4958400,173.88
2011-07-20,183.84,184.42,183.00,183.65,5901100,172.71
2011-07-19,178.74,185.21,178.65,185.21,13245600,174.17
2011-07-18,174.73,176.46,173.58,175.28,8879700,164.84
2011-07-15,175.08,175.94,174.07,175.54,5347100,165.08
2011-07-14,174.40,176.10,173.84,174.23,4613100,163.85
2011-07-13,174.90,176.32,174.00,174.32,4074800,163.93
2011-07-12,174.93,175.37,173.89,174.05,5036800,163.68
2011-07-11,174.90,176.15,174.61,174.99,4766500,164.56
2011-07-08,175.49,176.49,175.01,176.49,4399900,165.97
2011-07-07,176.78,177.27,176.12,176.48,5905600,165.96
2011-07-06,175.19,177.77,175.09,177.71,5885900,167.12
2011-07-05,173.52,175.43,173.52,175.43,4586500,164.98
2011-07-01,171.61,174.65,171.49,174.54,5181700,164.14
2011-06-30,171.11,172.45,170.75,171.55,5105200,161.33
2011-06-29,170.61,170.86,169.82,170.54,3817100,160.38
2011-06-28,168.33,170.70,168.01,170.01,4850000,159.88
2011-06-27,165.74,168.24,165.21,167.62,4446700,157.63
2011-06-24,165.85,165.94,164.57,165.07,4402600,155.23
2011-06-23,164.06,166.73,163.80,166.12,5271500,156.22
2011-06-22,165.59,166.81,165.10,165.68,3960500,155.81
2011-06-21,165.20,166.75,164.00,166.22,5387300,156.31
2011-06-20,163.70,165.61,163.59,165.02,3956100,155.19
2011-06-17,164.24,165.10,163.58,164.44,7149700,154.64
2011-06-16,162.06,163.63,161.78,162.67,4861100,152.98
2011-06-15,162.75,163.41,161.52,162.33,5225600,152.66
2011-06-14,163.87,164.57,163.65,164.12,7050000,154.34
2011-06-13,164.44,164.46,162.73,163.17,5099200,153.45
2011-06-10,164.57,164.84,162.87,163.18,4683300,153.46
2011-06-09,165.01,165.96,164.76,164.84,4299800,155.02
2011-06-08,163.27,164.85,163.26,164.34,3850800,154.55
2011-06-07,165.11,165.24,163.61,163.69,4187000,153.94
2011-06-06,164.76,165.58,164.27,164.75,3619700,154.93
2011-06-03,164.30,165.89,164.13,165.05,5230500,155.21
2011-06-02,166.44,167.10,165.71,166.09,3854100,156.19
2011-06-01,168.90,169.58,166.50,166.56,5134600,156.63
2011-05-31,168.44,169.89,167.82,168.93,9123400,158.86
2011-05-27,167.91,168.47,167.00,167.50,3277600,157.52
2011-05-26,167.46,167.50,165.90,167.18,5771300,157.22
2011-05-25,167.63,168.40,167.51,167.75,3882100,157.75
2011-05-24,168.50,168.67,167.51,167.99,4643600,157.98
2011-05-23,168.58,168.69,167.07,168.26,5144000,158.23
2011-05-20,170.40,171.15,169.38,170.16,4869900,160.02
2011-05-19,170.86,171.40,169.32,170.59,3538300,160.42
2011-05-18,170.10,171.19,169.46,170.44,4154300,160.28
2011-05-17,167.85,171.41,166.53,170.50,8773200,160.34
