Date,Open,High,Low,Close,Volume,Adj Close
2012-10-16,21.99,22.47,21.95,22.35,80707000,20.75
2012-10-15,21.53,21.90,21.50,21.73,49513800,20.18
2012-10-12,21.58,21.85,21.40,21.48,46274000,19.95
2012-10-11,21.87,21.88,21.52,21.68,36817700,20.13
2012-10-10,21.90,22.00,21.70,21.76,47188900,20.21
2012-10-09,22.16,22.19,21.85,21.90,66317400,20.34
2012-10-08,22.62,22.62,22.40,22.51,29698200,20.90
2012-10-05,22.66,22.90,22.58,22.68,38344600,21.06
2012-10-04,22.58,22.62,22.27,22.47,52980100,20.87
2012-10-03,22.86,22.97,22.49,22.55,49772700,20.94
2012-10-02,22.89,23.00,22.66,22.84,36381100,21.21
2012-10-01,22.75,23.17,22.68,22.76,55261300,21.14
2012-09-28,23.06,23.06,22.59,22.66,47920800,21.04
2012-09-27,22.76,23.14,22.65,23.09,43872200,21.44
2012-09-26,22.57,22.75,22.48,22.65,49734700,21.03
2012-09-25,22.95,22.97,22.51,22.54,49535100,20.93
2012-09-24,22.93,22.95,22.52,22.80,48846500,21.17
2012-09-21,23.22,23.27,23.01,23.13,56246600,21.48
2012-09-20,23.09,23.18,22.99,23.18,33083000,21.53
2012-09-19,23.50,23.51,23.14,23.15,39459800,21.50
2012-09-18,23.31,23.52,23.14,23.37,41948200,21.70
2012-09-17,23.29,23.44,23.16,23.31,36169000,21.65
2012-09-14,23.45,23.54,23.23,23.37,47983700,21.70
2012-09-13,23.01,23.41,22.83,23.36,52998300,21.69
2012-09-12,23.39,23.58,23.06,23.19,44862700,21.53
2012-09-11,23.30,23.65,23.20,23.34,54237700,21.67
2012-09-10,23.95,24.60,23.17,23.26,80584600,21.60
2012-09-07,24.13,24.70,24.01,24.19,86282100,22.46
2012-09-06,24.47,25.10,24.46,25.10,40187600,23.31
2012-09-05,24.40,24.78,24.19,24.39,38595800,22.65
2012-09-04,25.03,25.06,24.27,24.42,40688000,22.68
2012-08-31,24.50,25.00,24.48,24.83,43447800,23.06
2012-08-30,24.57,24.64,24.15,24.27,37182200,22.54
2012-08-29,24.93,24.96,24.54,24.67,60462600,22.91
2012-08-28,24.79,25.01,24.68,25.00,33119500,23.22
2012-08-27,24.86,24.94,24.75,24.84,34424700,23.07
2012-08-24,25.05,25.07,24.70,24.91,45187500,23.13
2012-08-23,25.58,25.59,24.93,25.04,51397600,23.25
2012-08-22,25.89,26.01,25.66,25.73,33619400,23.89
2012-08-21,26.33,26.34,25.99,26.11,31661300,24.25
2012-08-20,26.22,26.33,26.10,26.23,25600800,24.36
2012-08-17,26.57,26.63,26.21,26.33,30376900,24.45
2012-08-16,26.44,26.65,26.34,26.59,25699700,24.69
2012-08-15,26.23,26.47,26.19,26.27,26081000,24.39
2012-08-14,26.80,26.81,26.38,26.48,27470400,24.59
2012-08-13,26.76,26.83,26.41,26.69,23619700,24.79
2012-08-10,26.70,26.90,26.53,26.88,24930300,24.96
2012-08-09,26.64,26.89,26.57,26.70,26465300,24.79
2012-08-08,26.48,26.74,26.30,26.60,27034400,24.70
2012-08-07,26.46,26.64,26.35,26.50,27077800,24.61
2012-08-06,26.22,26.56,26.20,26.31,24613200,24.43
2012-08-03,26.25,26.35,25.98,26.23,30692600,24.36
2012-08-02,25.74,26.26,25.68,25.91,34309900,23.85
2012-08-01,25.83,26.00,25.67,25.93,29207700,23.87
2012-07-31,25.76,26.04,25.70,25.70,26616900,23.66
2012-07-30,25.98,26.20,25.68,25.76,25878100,23.71
2012-07-27,25.68,26.07,25.47,26.02,33344000,23.95
2012-07-26,25.59,25.84,25.34,25.50,37808200,23.47
2012-07-25,25.02,25.53,25.00,25.13,34407600,23.13
2012-07-24,25.19,25.22,24.79,25.01,33637600,23.02
