Date,Open,High,Low,Close,Volume,Adj Close
2012-08-10,59.06,59.27,58.74,59.03,1279600,57.80
2012-08-09,59.67,59.75,58.96,59.10,2258400,57.87
2012-08-08,59.86,60.20,59.11,59.62,1664000,58.37
2012-08-07,59.95,60.30,59.72,59.77,2034100,58.52
2012-08-06,59.15,59.88,58.93,59.62,1346000,58.37
2012-08-03,57.67,59.16,57.09,59.07,1753900,57.84
2012-08-02,57.52,58.17,57.17,57.79,1158600,56.58
2012-08-01,58.12,58.39,57.83,57.93,1498800,56.72
2012-07-31,58.45,58.71,57.88,58.02,1280800,56.81
2012-07-30,58.88,59.14,58.25,58.51,1071600,57.29
2012-07-27,57.75,59.08,57.73,58.88,1627400,57.65
2012-07-26,57.51,58.25,56.90,57.31,2005000,56.11
2012-07-25,56.80,57.41,56.31,56.52,1863100,55.34
2012-07-24,57.01,57.09,56.45,56.76,2627400,55.57
2012-07-23,57.54,57.54,56.61,57.09,2360600,55.90
2012-07-20,59.59,59.75,58.49,58.69,2341700,57.46
2012-07-19,59.69,60.00,59.44,59.62,2618100,58.37
2012-07-18,57.96,59.78,57.96,59.76,1725600,58.51
2012-07-17,57.56,58.37,56.74,58.17,1493900,56.95
2012-07-16,57.20,57.53,56.58,57.13,718600,55.94
2012-07-13,56.65,57.45,56.52,57.22,987200,56.02
2012-07-12,56.84,56.97,55.85,56.62,1346300,55.44
2012-07-11,57.45,57.74,56.78,57.34,1221700,56.14
2012-07-10,57.90,58.21,56.92,57.45,1227400,56.25
2012-07-09,57.99,58.18,56.81,57.44,1364500,56.24
2012-07-06,59.47,59.77,57.38,57.90,2038600,56.69
2012-07-05,59.07,60.06,59.03,59.92,1755500,58.52
2012-07-03,59.62,60.21,59.59,60.15,941300,58.75
2012-07-02,59.29,59.91,59.15,59.68,1372000,58.29
2012-06-29,57.73,59.36,57.73,59.35,2044800,57.96
2012-06-28,57.32,57.35,56.19,57.00,1302900,55.67
2012-06-27,57.40,57.85,57.09,57.52,696700,56.18
2012-06-26,56.67,57.27,56.44,57.01,1191400,55.68
2012-06-25,57.01,57.25,56.20,56.35,1245200,55.03
2012-06-22,57.11,57.76,56.84,57.66,1666800,56.31
2012-06-21,58.82,58.92,56.84,56.89,1987800,55.56
2012-06-20,59.00,59.17,58.36,58.83,1392200,57.46
2012-06-19,59.00,59.00,58.49,58.97,1819200,57.59
2012-06-18,58.07,58.89,57.77,58.70,1360800,57.33
2012-06-15,57.34,58.39,57.16,58.32,1947400,56.96
2012-06-14,56.61,57.52,56.24,57.37,2111900,56.03
2012-06-13,56.57,57.32,56.39,56.47,2064800,55.15
2012-06-12,55.76,56.77,55.46,56.77,1855900,55.45
2012-06-11,57.12,57.38,55.37,55.43,2445200,54.14
2012-06-08,56.92,57.11,56.50,57.00,2776400,55.67
2012-06-07,58.09,58.20,56.94,56.94,2094400,55.61
2012-06-06,56.00,57.72,55.72,57.70,1919600,56.35
2012-06-05,54.70,55.73,54.69,55.66,1225700,54.36
2012-06-04,55.28,55.60,54.30,54.92,1776700,53.64
2012-06-01,55.14,55.59,54.77,54.80,2378800,53.52
2012-05-31,56.38,56.72,55.76,56.23,2321500,54.92
2012-05-30,56.25,56.41,55.62,56.20,2442900,54.89
2012-05-29,56.50,57.20,56.26,56.63,1635500,55.31
2012-05-25,56.50,56.76,56.13,56.45,1337700,55.13
2012-05-24,56.52,56.52,55.81,56.39,1930200,55.07
2012-05-23,55.75,56.63,55.24,56.47,1900000,55.15
2012-05-22,55.39,56.36,55.07,55.99,2010400,54.68
2012-05-21,54.55,55.39,53.49,55.25,3706200,53.96
2012-05-18,54.52,56.90,53.38,54.51,5900200,53.24
2012-05-17,55.00,55.29,54.21,54.41,2952400,53.14
2012-05-16,55.66,56.11,55.10,55.10,2052700,53.81
2012-05-15,55.40,56.47,55.31,55.49,1765100,54.19
2012-05-14,55.28,55.84,55.06,55.35,1240200,54.06
2012-05-11,55.40,56.23,55.13,55.83,1648300,54.53
2012-05-10,56.82,56.91,55.12,55.43,2189200,54.14
2012-05-09,55.87,56.93,55.41,56.52,2030900,55.20
2012-05-08,56.24,56.48,55.46,56.28,2212900,54.97
2012-05-07,56.42,56.83,56.13,56.58,2099900,55.26
2012-05-04,57.67,57.90,56.70,56.90,2453400,55.57
2012-05-03,58.79,59.00,58.18,58.39,2255800,57.03
2012-05-02,57.83,58.71,57.24,58.64,1756500,57.27
2012-05-01,58.12,58.87,57.80,58.25,1597000,56.89
2012-04-30,57.92,58.18,57.55,57.97,2084300,56.62
2012-04-27,57.66,58.22,57.65,57.98,1749200,56.63
