Date,Open,High,Low,Close,Volume,Adj Close
2010-05-03,42.97,43.73,42.89,43.53,31230900,39.35
2010-04-30,44.02,44.05,42.23,42.58,54121100,38.49
2010-04-29,43.89,44.33,43.60,44.00,36520300,39.78
2010-04-28,42.84,43.71,42.78,43.46,48578900,39.29
2010-04-27,43.48,44.37,42.30,42.41,66296100,38.34
2010-04-26,44.78,44.81,43.73,43.89,42889300,39.68
2010-04-23,44.73,45.07,44.25,44.94,32483800,40.63
2010-04-22,44.91,45.12,44.03,44.74,63176900,40.45
2010-04-21,46.04,46.39,45.00,45.35,46320600,41.00
2010-04-20,45.77,46.15,45.56,45.88,39310700,41.48
2010-04-19,45.23,45.70,44.59,45.39,72136600,41.03
2010-04-16,47.67,47.75,45.14,45.55,121203900,41.18
2010-04-15,47.65,48.20,47.49,47.81,45412100,43.22
2010-04-14,47.40,47.93,46.78,47.73,72533100,43.15
2010-04-13,46.04,46.38,45.85,45.87,27988900,41.47
2010-04-12,46.03,46.47,45.90,46.14,24645900,41.71
2010-04-09,45.88,46.22,45.45,45.98,22881200,41.57
2010-04-08,45.16,45.97,44.81,45.76,28869900,41.37
2010-04-07,45.83,46.05,45.02,45.32,28890100,40.97
2010-04-06,45.23,45.94,45.15,45.84,28192100,41.44
2010-04-05,45.28,45.40,44.79,45.34,21342400,40.99
2010-04-01,45.03,45.31,44.99,45.18,23894600,40.84
2010-03-31,44.31,45.00,44.25,44.75,39043000,40.41
2010-03-30,44.90,45.05,44.36,44.58,30296300,40.26
2010-03-29,45.25,45.38,44.46,44.86,30628400,40.51
2010-03-26,45.04,45.89,44.79,45.02,39727000,40.65
2010-03-25,44.98,46.05,44.89,44.94,45019400,40.58
2010-03-24,44.44,44.97,44.20,44.94,35849200,40.58
2010-03-23,43.85,44.74,43.78,44.58,33735700,40.26
2010-03-22,43.07,43.79,43.04,43.74,23257200,39.50
2010-03-19,43.45,43.89,43.13,43.45,37014400,39.24
2010-03-18,43.75,43.79,43.15,43.64,26012000,39.41
2010-03-17,43.31,44.11,43.27,43.79,32918800,39.54
2010-03-16,43.35,43.38,42.69,43.24,28553800,39.05
2010-03-15,42.92,43.21,42.60,43.07,29142000,38.89
2010-03-12,43.34,43.54,42.85,43.15,31367300,38.96
2010-03-11,42.91,43.20,42.80,43.18,30119600,38.99
2010-03-10,42.87,43.49,42.81,42.93,40903700,38.77
2010-03-09,42.39,42.82,42.05,42.42,37107100,38.31
2010-03-08,42.85,43.03,42.47,42.59,28524900,38.46
2010-03-05,42.32,42.87,42.19,42.81,34790800,38.66
2010-03-04,41.91,42.08,41.66,41.92,25450700,37.85
2010-03-03,41.65,42.06,41.34,41.53,27562500,37.50
2010-03-02,41.98,42.40,41.36,41.62,33891600,37.58
2010-03-01,42.03,42.18,41.41,41.83,34606800,37.77
2010-02-26,40.69,42.31,40.60,41.97,67699100,37.90
2010-02-25,40.16,40.69,39.70,40.64,46718100,36.70
2010-02-24,40.05,40.97,40.00,40.85,44645000,36.89
2010-02-23,40.90,41.25,39.76,39.88,52233100,36.01
