Date,Open,High,Low,Close,Volume,Adj Close
2012-10-16,38.18,38.22,37.44,37.90,25811800,36.03
2012-10-15,38.09,38.25,38.01,38.13,13785100,36.25
2012-10-12,38.26,38.39,38.11,38.23,12059700,36.35
2012-10-11,38.20,38.28,38.02,38.11,10843800,36.23
2012-10-10,38.65,38.73,38.05,38.09,13754500,36.21
2012-10-09,38.50,38.83,38.46,38.56,13078700,36.66
2012-10-08,38.54,38.68,38.44,38.58,9434600,36.68
2012-10-05,38.49,38.60,38.25,38.58,12287900,36.68
2012-10-04,38.46,38.55,38.19,38.33,9654500,36.44
2012-10-03,38.32,38.52,38.14,38.24,13637100,36.35
2012-10-02,38.56,38.69,38.11,38.34,10276000,36.45
2012-10-01,38.16,38.60,38.15,38.38,16671400,36.49
2012-09-28,38.17,38.22,37.90,37.93,22721200,36.06
2012-09-27,38.06,38.35,37.90,38.31,15176100,36.42
2012-09-26,37.78,38.19,37.74,37.76,16677400,35.90
2012-09-25,38.21,38.27,37.66,37.68,20299200,35.82
2012-09-24,37.81,38.24,37.81,38.12,21902000,36.24
2012-09-21,38.73,38.74,37.88,38.03,98967500,36.16
2012-09-20,38.39,38.87,38.38,38.64,26953000,36.74
2012-09-19,38.66,38.81,38.41,38.52,26276800,36.62
2012-09-18,38.38,39.00,38.30,38.62,24373700,36.72
2012-09-17,38.16,38.38,38.03,38.35,23594400,36.46
2012-09-14,38.55,38.55,38.01,38.12,25087400,36.24
2012-09-13,37.73,38.49,37.61,38.35,23803400,36.46
2012-09-12,37.79,37.83,37.51,37.55,14632200,35.70
2012-09-11,37.63,37.83,37.56,37.77,16505000,35.67
2012-09-10,37.96,37.98,37.59,37.66,18216900,35.56
2012-09-07,38.38,38.50,37.74,37.90,16391700,35.79
2012-09-06,37.78,38.30,37.70,38.15,19851400,36.02
2012-09-05,37.36,37.62,37.11,37.51,20839200,35.42
2012-09-04,37.52,37.59,37.22,37.28,17293400,35.20
2012-08-31,37.41,37.58,37.15,37.40,20710300,35.32
2012-08-30,37.38,37.63,37.13,37.14,17041800,35.07
2012-08-29,38.05,38.05,37.38,37.46,23435400,35.37
2012-08-28,38.14,38.32,37.77,38.00,16148800,35.88
2012-08-27,38.56,38.56,38.12,38.17,9589400,36.04
2012-08-24,38.07,38.55,38.07,38.47,9317800,36.33
2012-08-23,38.81,38.84,38.02,38.11,14973300,35.99
2012-08-22,39.14,39.25,38.69,38.77,13479200,36.61
2012-08-21,39.41,39.69,39.23,39.26,8329000,37.07
2012-08-20,39.54,39.59,39.26,39.47,9211800,37.27
2012-08-17,39.66,39.73,39.27,39.53,10541000,37.33
2012-08-16,39.40,39.63,39.31,39.55,8824100,37.35
2012-08-15,39.42,39.55,39.23,39.35,7692500,37.16
2012-08-14,39.60,39.67,39.25,39.38,10841200,37.19
2012-08-13,39.31,39.39,39.05,39.30,8898200,37.11
2012-08-10,79.16,79.21,78.61,78.79,40577600,37.20
2012-08-09,79.47,79.78,78.83,79.24,9583400,37.41
2012-08-08,79.71,80.00,79.36,79.56,8790200,37.56
2012-08-07,80.84,80.98,79.75,79.77,12782800,37.66
2012-08-06,81.01,81.25,80.62,80.64,9179400,38.07
2012-08-03,80.19,80.99,80.01,80.83,11834200,38.16
2012-08-02,80.73,81.00,79.52,79.75,13393200,37.65
2012-08-01,80.97,81.25,80.59,81.01,12954600,38.25
2012-07-31,80.70,81.33,80.39,80.80,16333600,38.15
2012-07-30,79.77,81.17,79.57,81.12,15947800,38.30
2012-07-27,79.05,80.24,78.90,80.01,17825000,37.78
2012-07-26,77.70,78.91,77.70,78.85,14144600,37.23
2012-07-25,76.95,77.22,76.73,77.02,9020400,36.36
2012-07-24,76.90,76.95,76.10,76.66,10445800,36.19
2012-07-23,76.55,77.00,76.37,76.88,10655800,36.30
2012-07-20,77.27,77.35,76.79,77.03,16436000,36.37
2012-07-19,77.52,77.60,76.50,77.55,18050400,36.61
2012-07-18,77.64,77.68,76.82,77.44,13852000,36.56
2012-07-17,78.06,78.66,76.76,77.69,21209600,36.68
2012-07-16,77.10,77.40,76.20,76.48,17575600,36.11
2012-07-13,76.63,77.59,76.34,77.28,13307400,36.49
2012-07-12,77.03,77.27,76.52,76.64,19104000,36.19
2012-07-11,77.90,77.95,77.15,77.46,13645600,36.57
2012-07-10,78.53,78.54,77.82,77.98,11583400,36.82
2012-07-09,78.06,78.21,77.71,77.98,8615600,36.82
2012-07-06,78.02,78.29,77.84,78.15,10036000,36.90
2012-07-05,79.02,79.14,78.20,78.45,10546400,37.04
2012-07-03,78.89,79.36,78.71,79.16,7335000,37.37
2012-07-02,78.10,79.00,78.01,78.92,13350200,37.26
2012-06-29,77.13,78.19,77.08,78.19,18519800,36.92
2012-06-28,76.10,76.67,75.69,76.57,10891200,36.15
2012-06-27,75.24,76.48,75.24,76.34,13644400,36.04
2012-06-26,74.99,75.36,74.20,75.08,11859400,35.45
2012-06-25,74.46,74.84,74.17,74.77,9734200,35.30
2012-06-22,74.95,75.30,74.86,74.94,15252800,35.38
2012-06-21,75.79,75.99,74.62,74.67,12804000,35.25
2012-06-20,75.69,75.74,74.84,75.56,14706800,35.68
2012-06-19,76.25,76.25,75.66,75.74,11115400,35.76
2012-06-18,75.96,76.42,75.77,75.98,10457200,35.87
2012-06-15,76.12,76.20,75.42,76.09,19748800,35.93
2012-06-14,74.79,76.00,74.70,75.74,13945400,35.76
2012-06-13,74.61,75.13,74.47,74.69,9376200,35.26
2012-06-12,74.98,75.25,74.34,75.20,11911200,35.26
2012-06-11,75.72,75.78,74.62,74.66,10657200,35.01
2012-06-08,74.16,75.37,74.15,75.24,11594200,35.28
2012-06-07,74.99,75.06,74.20,74.28,14342800,34.83
2012-06-06,73.39,74.61,73.30,74.61,12496400,34.99
2012-06-05,73.33,73.64,73.05,73.24,12275200,34.35
2012-06-04,73.03,73.74,72.56,73.64,13397200,34.53
2012-06-01,73.99,74.45,73.01,73.09,20843400,34.27
2012-05-31,74.96,75.22,74.66,74.73,15147600,35.04
2012-05-30,75.07,75.25,74.82,75.06,13884600,35.20
2012-05-29,75.73,75.73,75.06,75.46,10533800,35.39
2012-05-25,75.62,75.69,75.01,75.23,8999600,35.28
2012-05-24,74.79,75.85,74.60,75.56,20204600,35.43
2012-05-23,74.00,74.57,73.82,74.55,18000000,34.96
2012-05-22,74.58,74.58,73.91,74.19,15260600,34.79
2012-05-21,74.21,74.60,74.13,74.51,13488800,34.94
2012-05-18,75.25,75.29,73.47,74.05,31913000,34.73
2012-05-17,76.17,76.30,74.99,75.12,22310800,35.23
2012-05-16,76.66,76.84,75.92,76.33,17804400,35.79
2012-05-15,76.56,77.15,76.26,76.57,16397800,35.91
2012-05-14,77.12,77.25,76.62,76.87,15411800,36.05
2012-05-11,77.20,77.74,77.20,77.47,10604000,36.33
2012-05-10,77.21,77.70,77.20,77.41,12659200,36.30
2012-05-09,76.59,77.19,76.49,76.78,14070800,36.01
2012-05-08,77.01,77.28,76.62,77.14,10561600,36.17
2012-05-07,76.97,77.45,76.85,77.28,8965400,36.24
2012-05-04,77.31,77.60,76.96,77.00,13160800,36.11
2012-05-03,77.36,77.64,77.20,77.44,15612000,36.31
2012-05-02,76.74,77.25,76.64,77.16,16558600,36.18
2012-05-01,76.54,77.00,76.28,76.93,13841000,36.08
2012-04-30,76.42,76.90,75.93,76.32,26517600,35.79
2012-04-27,75.96,77.82,75.92,76.63,25103000,35.93
2012-04-26,74.95,75.97,74.82,75.71,16782000,35.50
2012-04-25,74.54,75.05,74.31,74.93,18596000,35.14
2012-04-24,73.92,74.35,73.71,74.12,10288000,34.76
2012-04-23,73.98,74.07,73.33,73.69,10472200,34.56
2012-04-20,73.96,74.35,73.74,74.13,13461000,34.76
2012-04-19,74.29,74.34,73.42,73.82,10731200,34.62
2012-04-18,73.82,74.35,73.73,74.17,11779800,34.78
2012-04-17,73.18,74.48,73.18,73.95,22614400,34.68
2012-04-16,72.22,72.79,72.14,72.44,14147600,33.97
2012-04-13,72.22,72.60,71.94,71.94,10525600,33.74
2012-04-12,72.15,72.26,71.82,72.22,10640600,33.87
2012-04-11,72.43,72.47,71.84,72.12,12026600,33.82
2012-04-10,72.58,72.62,71.95,72.02,17290600,33.77
2012-04-09,72.96,73.11,72.74,72.87,9806800,34.17
2012-04-05,73.28,73.52,73.07,73.47,11531400,34.45
2012-04-04,73.29,73.60,73.21,73.46,12487400,34.45
2012-04-03,73.67,74.08,73.46,73.76,12989200,34.59
2012-04-02,73.83,74.20,73.64,74.14,14579000,34.77
2012-03-30,73.62,74.14,73.31,74.01,26555800,34.71
2012-03-29,72.35,74.39,72.27,73.81,41063600,34.61
2012-03-28,71.96,72.82,71.90,72.66,26260600,34.07
2012-03-27,71.82,71.98,71.65,71.87,11430400,33.70
2012-03-26,71.74,71.90,71.59,71.90,11536400,33.72
2012-03-23,71.40,71.60,71.29,71.49,16206600,33.52
2012-03-22,71.01,71.58,70.94,71.42,14252800,33.49
2012-03-21,70.48,71.40,70.35,71.12,19870800,33.35
2012-03-20,70.03,70.77,69.93,70.59,10180400,33.10
2012-03-19,70.21,70.53,70.00,70.40,10652400,33.01
2012-03-16,70.38,70.46,69.88,70.16,22898800,32.90
2012-03-15,70.27,70.34,69.78,70.33,17991400,32.98
2012-03-14,70.26,70.62,70.10,70.22,12918000,32.93
2012-03-13,69.51,70.29,69.51,70.25,18068000,32.94
2012-03-12,69.48,70.34,69.34,70.15,18143600,32.66
2012-03-09,69.43,69.74,69.31,69.51,36742600,32.36
2012-03-08,69.18,69.50,69.10,69.27,33754800,32.25
2012-03-07,68.75,68.94,68.50,68.79,10933800,32.02
2012-03-06,68.82,69.09,68.64,68.76,13161200,32.01
2012-03-05,69.02,69.34,69.00,69.23,10338600,32.23
2012-03-02,69.41,69.60,68.97,69.18,11995800,32.21
2012-03-01,69.87,69.96,69.39,69.60,15294200,32.40
2012-02-29,68.90,69.98,68.90,69.86,23464400,32.52
2012-02-28,68.95,69.10,68.80,68.85,9049000,32.05
2012-02-27,68.69,69.00,68.52,68.83,12086200,32.04
2012-02-24,69.35,69.50,68.83,69.00,12485400,32.12
2012-02-23,69.09,69.30,68.92,69.18,11120000,32.21
2012-02-22,68.60,69.34,68.60,69.25,13766400,32.24
2012-02-21,68.88,69.05,68.50,68.82,13424800,32.04
2012-02-17,69.07,69.17,68.60,69.05,14841800,32.15
2012-02-16,68.61,68.99,68.42,68.86,11752000,32.06
2012-02-15,69.23,69.25,68.23,68.40,14776800,31.84
2012-02-14,68.47,68.93,68.10,68.90,12596000,32.08
2012-02-13,68.42,68.60,68.09,68.44,11091000,31.86
2012-02-10,67.53,67.94,67.42,67.94,10994600,31.63
2012-02-09,68.36,68.39,67.77,67.97,16311400,31.64
2012-02-08,68.84,68.85,68.20,68.33,16428400,31.81
2012-02-07,68.09,69.45,67.63,68.55,24269600,31.91
2012-02-06,67.84,68.23,67.70,68.03,14586400,31.67
2012-02-03,68.26,68.49,67.84,68.08,16555800,31.69
2012-02-02,68.07,68.24,67.75,67.83,13150000,31.58
2012-02-01,67.88,68.34,67.80,67.85,14915000,31.59
2012-01-31,67.98,67.98,67.18,67.53,13543400,31.44
2012-01-30,67.29,67.57,67.03,67.46,10591600,31.40
2012-01-27,67.91,68.14,67.23,67.44,16825000,31.40
2012-01-26,68.62,68.62,67.76,68.01,14721000,31.66
2012-01-25,67.91,68.50,67.54,68.43,14476000,31.86
2012-01-24,68.16,68.50,67.71,67.90,14751200,31.61
2012-01-23,68.00,68.62,67.91,68.53,13803200,31.90
2012-01-20,67.54,68.12,67.40,68.09,19158600,31.70
2012-01-19,67.65,67.74,67.26,67.45,13544800,31.40
2012-01-18,67.46,67.82,67.18,67.59,13282200,31.47
2012-01-17,67.74,67.88,67.32,67.35,15577000,31.35
2012-01-13,67.34,67.43,66.57,66.99,19991800,31.19
2012-01-12,68.42,68.50,67.35,67.57,15237000,31.46
