Date,Open,High,Low,Close,Volume,Adj Close
2012-10-16,12.90,13.20,12.90,13.16,648800,13.16
2012-10-15,12.27,12.37,12.23,12.36,193400,12.36
2012-10-12,12.22,12.29,12.20,12.25,220400,12.25
2012-10-11,12.28,12.34,12.19,12.24,451300,12.24
2012-10-10,12.01,12.05,11.89,11.91,302000,11.91
2012-10-09,12.04,12.04,11.78,11.79,497600,11.79
2012-10-08,11.96,12.07,11.90,12.01,546500,12.01
2012-10-05,12.17,12.34,12.15,12.23,632300,12.23
2012-10-04,12.66,12.68,12.57,12.60,429200,12.60
2012-10-03,12.80,12.85,12.70,12.76,217400,12.76
2012-10-02,12.89,12.93,12.72,12.76,242500,12.76
2012-10-01,12.73,12.89,12.65,12.78,423000,12.78
2012-09-28,12.68,12.70,12.57,12.57,332500,12.57
2012-09-27,12.44,12.59,12.42,12.50,675300,12.50
2012-09-26,12.42,12.45,12.33,12.36,390800,12.36
2012-09-25,12.74,12.78,12.44,12.44,1085500,12.44
2012-09-24,12.88,12.99,12.84,12.96,394700,12.96
2012-09-21,12.77,12.98,12.77,12.87,858900,12.87
2012-09-20,13.08,13.13,13.00,13.13,337100,13.13
2012-09-19,13.27,13.40,13.23,13.31,667000,13.31
2012-09-18,12.96,13.12,12.92,12.98,1642200,12.98
2012-09-17,12.89,13.05,12.81,12.98,1641600,12.98
2012-09-14,12.80,13.19,12.79,13.02,1304400,13.02
2012-09-13,11.98,12.39,11.92,12.39,586800,12.39
2012-09-12,12.30,12.37,12.20,12.26,407100,12.26
2012-09-11,12.17,12.25,12.15,12.19,448300,12.19
2012-09-10,12.23,12.32,12.22,12.25,617200,12.25
2012-09-07,12.27,12.36,12.27,12.35,334000,12.35
2012-09-06,11.99,12.28,11.94,12.26,506100,12.26
2012-09-05,11.84,11.89,11.80,11.89,237000,11.89
2012-09-04,11.74,11.85,11.69,11.80,383600,11.80
2012-08-31,11.53,11.82,11.50,11.76,681600,11.76
2012-08-30,11.52,11.58,11.46,11.50,358900,11.50
2012-08-29,11.83,11.86,11.74,11.75,262700,11.75
2012-08-28,11.78,11.90,11.77,11.87,515500,11.87
2012-08-27,11.83,11.86,11.77,11.83,262400,11.83
2012-08-24,11.37,11.48,11.33,11.44,327100,11.44
2012-08-23,11.68,11.69,11.59,11.63,351700,11.63
2012-08-22,11.82,11.98,11.81,11.95,342700,11.95
2012-08-21,11.80,11.90,11.73,11.78,216800,11.78
2012-08-20,11.80,11.87,11.78,11.83,248200,11.83
2012-08-17,11.90,11.92,11.83,11.91,645300,11.91
2012-08-16,11.60,11.74,11.57,11.70,253600,11.70
2012-08-15,11.57,11.60,11.49,11.56,125000,11.56
2012-08-14,11.65,11.67,11.55,11.57,194100,11.57
2012-08-13,11.43,11.50,11.38,11.41,167200,11.41
2012-08-10,11.49,11.57,11.42,11.57,260800,11.57
2012-08-09,11.16,11.31,11.16,11.25,384000,11.25
2012-08-08,10.91,11.05,10.90,10.99,434500,10.99
2012-08-07,10.96,11.14,10.93,11.11,464600,11.11
2012-08-06,11.17,11.20,11.13,11.18,377200,11.18
2012-08-03,11.05,11.23,11.05,11.16,708800,11.16
2012-08-02,10.45,10.55,10.39,10.44,401000,10.44
2012-08-01,10.75,10.76,10.61,10.66,577000,10.66
2012-07-31,10.74,10.82,10.69,10.69,336600,10.69
2012-07-30,10.43,10.50,10.41,10.41,442300,10.41
2012-07-27,10.28,10.60,10.26,10.52,602400,10.52
2012-07-26,9.58,9.93,9.56,9.89,1133900,9.89
2012-07-25,9.21,9.25,9.06,9.08,679000,9.08
2012-07-24,9.59,9.60,9.39,9.47,299500,9.47
2012-07-23,9.37,9.39,9.27,9.38,194400,9.38
2012-07-20,9.55,9.61,9.51,9.59,387000,9.59
2012-07-19,9.38,9.51,9.35,9.49,511000,9.49
2012-07-18,9.50,9.57,9.46,9.55,587900,9.55
2012-07-17,9.88,9.93,9.77,9.88,545200,9.88
2012-07-16,9.85,9.86,9.75,9.77,289600,9.77
2012-07-13,9.86,10.08,9.86,10.05,430200,10.05
2012-07-12,9.67,9.72,9.57,9.66,842400,9.66
2012-07-11,9.85,9.89,9.71,9.79,298200,9.79
2012-07-10,10.02,10.03,9.79,9.87,442700,9.87
2012-07-09,10.05,10.05,9.93,9.98,281800,9.98
2012-07-06,10.20,10.28,10.07,10.15,892600,10.15
2012-07-05,10.19,10.25,10.14,10.19,581300,10.19
2012-07-03,9.60,9.90,9.60,9.87,317400,9.87
2012-07-02,9.50,9.50,9.43,9.45,398400,9.45
2012-06-29,9.31,9.46,9.27,9.45,564300,9.45
2012-06-28,9.06,9.13,9.00,9.04,493200,9.04
2012-06-27,9.10,9.17,9.09,9.15,205400,9.15
2012-06-26,9.12,9.16,9.04,9.12,407600,9.12
2012-06-25,9.20,9.21,9.07,9.10,331100,9.10
2012-06-22,9.54,9.60,9.47,9.60,348200,9.60
2012-06-21,9.78,9.78,9.53,9.55,710800,9.55
2012-06-20,9.85,9.92,9.79,9.86,506500,9.86
2012-06-19,9.60,9.71,9.59,9.65,186000,9.65
2012-06-18,9.52,9.60,9.47,9.57,215700,9.57
2012-06-15,9.53,9.59,9.50,9.55,294500,9.55
2012-06-14,9.58,9.58,9.42,9.52,636100,9.52
2012-06-13,9.66,9.76,9.57,9.63,508800,9.63
2012-06-12,9.67,9.75,9.62,9.73,753500,9.73
2012-06-11,9.74,9.79,9.52,9.55,815100,9.55
2012-06-08,9.23,9.30,9.20,9.29,493700,9.29
2012-06-07,9.41,9.49,9.25,9.25,919800,9.25
2012-06-06,8.76,8.95,8.76,8.94,561500,8.94
2012-06-05,8.57,8.70,8.56,8.70,377000,8.70
2012-06-04,8.54,8.56,8.41,8.52,555200,8.52
2012-06-01,8.63,8.81,8.63,8.74,566500,8.74
2012-05-31,8.85,8.87,8.74,8.79,636100,8.79
2012-05-30,8.97,8.99,8.88,8.88,399000,8.88
2012-05-29,8.84,9.02,8.84,9.00,737300,9.00
2012-05-25,8.44,8.53,8.42,8.52,323000,8.52
