Date,Open,High,Low,Close,Volume,Adj Close
2011-04-01,25.53,25.53,25.31,25.48,63114200,23.23
2011-03-31,25.60,25.68,25.34,25.39,63233700,23.15
2011-03-30,25.60,25.72,25.50,25.61,41999300,23.35
2011-03-29,25.34,25.52,25.30,25.49,40763500,23.24
2011-03-28,25.66,25.72,25.38,25.41,48973200,23.16
2011-03-25,25.93,25.95,25.59,25.62,57029800,23.36
2011-03-24,25.60,25.87,25.50,25.81,38696700,23.53
2011-03-23,25.23,25.61,25.18,25.54,43969000,23.28
2011-03-22,25.30,25.46,25.23,25.30,30895600,23.06
2011-03-21,25.18,25.58,25.15,25.33,46878100,23.09
2011-03-18,25.06,25.18,24.80,24.80,85486700,22.61
2011-03-17,25.06,25.22,24.75,24.78,62497000,22.59
2011-03-16,25.22,25.28,24.68,24.79,100725400,22.60
2011-03-15,25.08,25.47,25.00,25.39,76067300,23.15
2011-03-14,25.49,25.76,25.35,25.69,54473400,23.42
2011-03-11,25.41,25.85,25.36,25.68,49905800,23.41
2011-03-10,25.62,25.71,25.35,25.41,66549500,23.16
2011-03-09,25.81,25.98,25.66,25.89,39789100,23.60
2011-03-08,25.77,26.02,25.65,25.91,50549800,23.62
2011-03-07,26.13,26.27,25.55,25.72,64980400,23.45
2011-03-04,26.22,26.24,25.80,25.95,70437200,23.66
2011-03-03,26.26,26.40,26.18,26.20,68271500,23.88
2011-03-02,26.11,26.37,26.04,26.08,48658200,23.78
2011-03-01,26.60,26.78,26.15,26.16,60055000,23.85
2011-02-28,26.69,26.86,26.51,26.58,51379900,24.23
2011-02-25,26.91,26.95,26.50,26.55,53006300,24.20
2011-02-24,26.64,27.06,26.50,26.77,64494200,24.40
2011-02-23,26.53,26.86,26.43,26.59,60234100,24.24
2011-02-22,26.78,27.10,26.52,26.59,60889000,24.24
2011-02-18,27.13,27.21,26.99,27.06,68667800,24.67
2011-02-17,26.97,27.37,26.91,27.21,57207300,24.81
2011-02-16,27.05,27.07,26.60,27.02,70817900,24.63
2011-02-15,27.04,27.33,26.95,26.96,44116500,24.58
2011-02-14,27.21,27.27,26.95,27.23,56766200,24.68
2011-02-11,27.76,27.81,27.07,27.25,83939700,24.70
2011-02-10,27.93,27.94,27.29,27.50,76672400,24.92
2011-02-09,28.19,28.26,27.91,27.97,52905100,25.35
2011-02-08,28.10,28.34,28.05,28.28,34904200,25.63
2011-02-07,27.80,28.34,27.79,28.20,68980900,25.56
2011-02-04,27.70,27.84,27.51,27.77,40412200,25.17
2011-02-03,27.97,27.97,27.54,27.65,60340100,25.06
2011-02-02,27.93,28.11,27.88,27.94,45824000,25.32
2011-02-01,27.80,28.06,27.61,27.99,62810700,25.37
2011-01-31,27.77,27.90,27.42,27.73,65029000,25.13
2011-01-28,28.90,28.93,27.45,27.75,141249400,25.15
2011-01-27,28.75,29.46,28.49,28.87,146938600,26.16
2011-01-26,28.51,28.99,28.50,28.78,74628800,26.08
2011-01-25,28.14,28.45,28.12,28.45,42436600,25.78
2011-01-24,28.02,28.56,27.99,28.38,52047800,25.72
2011-01-21,28.40,28.43,28.02,28.02,58080300,25.39
2011-01-20,28.50,28.55,28.13,28.35,58613600,25.69
2011-01-19,28.46,28.68,28.27,28.47,50005900,25.80
2011-01-18,28.16,28.74,28.14,28.66,53322700,25.97
2011-01-14,28.08,28.38,27.91,28.30,62688400,25.65
2011-01-13,28.33,28.39,28.01,28.19,67077600,25.55
2011-01-12,28.12,28.59,28.07,28.55,52631100,25.87
2011-01-11,28.20,28.25,28.05,28.11,50298900,25.48
2011-01-10,28.26,28.40,28.04,28.22,57573600,25.57
2011-01-07,28.64,28.74,28.25,28.60,73762000,25.92
2011-01-06,28.04,28.85,27.86,28.82,88026300,26.12
2011-01-05,27.90,28.01,27.77,28.00,58998700,25.38
2011-01-04,27.94,28.17,27.85,28.09,54405600,25.46
2011-01-03,28.05,28.18,27.92,27.98,53443800,25.36
2010-12-31,27.80,27.92,27.63,27.91,24752000,25.29
2010-12-30,27.92,28.00,27.78,27.85,20786100,25.24
2010-12-29,27.94,28.12,27.88,27.97,19502500,25.35
2010-12-28,27.97,28.17,27.96,28.01,23042200,25.38
2010-12-27,28.12,28.20,27.88,28.07,21652800,25.44
2010-12-23,27.97,28.32,27.96,28.30,24902500,25.65
2010-12-22,28.01,28.40,27.98,28.19,42252300,25.55
2010-12-21,27.85,28.14,27.76,28.07,38153000,25.44
2010-12-20,27.95,27.99,27.68,27.81,52811000,25.20
2010-12-17,27.92,28.09,27.75,27.90,87456500,25.28
2010-12-16,27.76,27.99,27.66,27.99,57680200,25.37
2010-12-15,27.53,27.99,27.53,27.85,69634200,25.24
2010-12-14,27.31,27.75,27.26,27.62,64070500,25.03
