Date,Open,High,Low,Close,Volume,Adj Close
2012-06-15,47.60,48.88,47.44,48.70,3226500,46.87
2012-06-14,47.38,47.61,46.75,47.35,2498100,45.57
2012-06-13,47.58,48.04,47.05,47.40,2288900,45.62
2012-06-12,47.86,48.17,47.29,48.03,2593600,46.01
2012-06-11,48.88,49.00,47.37,47.43,2675200,45.44
2012-06-08,48.11,48.72,48.09,48.60,2263400,46.56
2012-06-07,49.44,49.59,48.18,48.23,1962500,46.20
2012-06-06,48.16,49.19,48.16,49.19,1785400,47.12
2012-06-05,46.82,48.12,46.62,47.98,1912300,45.96
2012-06-04,46.93,47.24,46.48,46.84,1682400,44.87
2012-06-01,47.24,47.45,46.94,46.96,2152700,44.99
2012-05-31,47.69,48.45,47.34,48.08,3229600,46.06
2012-05-30,48.29,48.42,47.60,47.81,2043300,45.80
2012-05-29,48.17,48.86,48.02,48.83,1790800,46.78
2012-05-25,47.83,48.12,47.74,48.02,1343700,46.00
2012-05-24,48.23,48.25,47.39,47.72,3463400,45.71
2012-05-23,47.51,48.32,47.09,48.24,1900000,46.21
2012-05-22,47.97,48.20,47.59,47.88,2240200,45.87
2012-05-21,47.00,48.06,46.95,47.93,1891800,45.92
2012-05-18,47.95,48.13,46.87,46.97,2928700,45.00
2012-05-17,48.87,48.87,47.87,47.87,2185700,45.86
2012-05-16,49.20,49.43,48.76,48.76,1693200,46.71
2012-05-15,48.74,49.47,48.28,49.10,1631000,47.04
2012-05-14,49.52,49.58,48.83,48.85,3179500,46.80
2012-05-11,49.46,50.11,49.45,49.83,2658500,47.74
2012-05-10,49.85,49.96,49.48,49.54,2690700,47.46
2012-05-09,50.07,50.45,49.63,49.71,2946500,47.62
2012-05-08,50.28,51.05,49.81,50.92,1991400,48.78
2012-05-07,50.30,50.99,50.23,50.88,1676900,48.74
2012-05-04,50.58,50.76,50.27,50.61,1627600,48.48
2012-05-03,51.24,51.29,50.78,50.80,1609000,48.67
2012-05-02,51.20,51.60,51.00,51.33,1900100,49.17
2012-05-01,51.14,52.06,51.04,51.46,1774600,49.30
2012-04-30,50.61,51.03,50.52,51.03,4708800,48.89
2012-04-27,51.15,51.28,50.61,50.75,2370900,48.62
2012-04-26,51.25,51.29,50.77,51.02,4175400,48.88
2012-04-25,49.32,51.85,49.32,51.32,6265600,49.16
