Date,Open,High,Low,Close,Volume,Adj Close
2011-04-06,4.38,4.40,4.36,4.40,3208000,4.40
2011-04-05,4.50,4.52,4.48,4.51,1823900,4.51
2011-04-04,4.61,4.62,4.55,4.57,5995200,4.57
2011-04-01,4.61,4.66,4.60,4.63,5774500,4.63
2011-03-31,4.61,4.62,4.58,4.60,1572500,4.60
2011-03-30,4.52,4.55,4.50,4.54,5266300,4.54
2011-03-29,4.59,4.63,4.57,4.61,3602700,4.61
2011-03-28,4.76,4.79,4.67,4.75,4183600,4.75
2011-03-25,4.79,4.86,4.78,4.85,5859200,4.85
2011-03-24,4.85,4.90,4.81,4.86,2566900,4.86
2011-03-23,4.90,4.98,4.89,4.97,4276200,4.97
2011-03-22,4.93,4.95,4.78,4.88,8382100,4.88
2011-03-21,4.80,4.88,4.67,4.79,7302900,4.79
2011-03-18,4.60,4.75,4.59,4.75,4031200,4.75
2011-03-17,4.64,4.68,4.60,4.66,6064300,4.66
2011-03-16,4.71,4.71,4.46,4.53,10789100,4.53
2011-03-15,4.56,4.86,4.44,4.83,12575400,4.83
2011-03-14,4.77,4.91,4.75,4.88,5004700,4.88
2011-03-11,5.16,5.20,5.05,5.10,5757100,5.10
2011-03-10,5.29,5.30,5.22,5.24,3387500,5.24
2011-03-09,5.35,5.40,5.35,5.38,1601500,5.38
2011-03-08,5.33,5.38,5.31,5.37,2771600,5.37
2011-03-07,5.45,5.49,5.34,5.37,2166400,5.37
2011-03-04,5.47,5.49,5.39,5.46,1778000,5.46
2011-03-03,5.49,5.54,5.49,5.52,9112400,5.52
2011-03-02,5.52,5.55,5.49,5.50,1603000,5.50
2011-03-01,5.64,5.68,5.59,5.60,5509200,5.60
2011-02-28,5.50,5.55,5.49,5.53,1431000,5.53
2011-02-25,5.43,5.53,5.43,5.50,3649400,5.50
2011-02-24,5.40,5.43,5.36,5.42,3105700,5.42
2011-02-23,5.37,5.42,5.32,5.39,2132800,5.39
2011-02-22,5.42,5.47,5.38,5.42,2099400,5.42
2011-02-18,5.58,5.64,5.58,5.61,3370800,5.61
2011-02-17,5.61,5.66,5.61,5.64,8210600,5.64
2011-02-16,5.60,5.64,5.57,5.59,6806400,5.59
2011-02-15,5.53,5.57,5.51,5.52,3241000,5.52
2011-02-14,5.57,5.63,5.53,5.57,3786300,5.57
2011-02-11,5.46,5.48,5.41,5.46,3053900,5.46
2011-02-10,5.48,5.50,5.41,5.43,2605500,5.43
2011-02-09,5.52,5.52,5.46,5.49,2122000,5.49
2011-02-08,5.51,5.53,5.49,5.52,3212000,5.52
2011-02-07,5.41,5.46,5.39,5.45,1454100,5.45
2011-02-04,5.43,5.43,5.32,5.37,1981500,5.37
2011-02-03,5.40,5.40,5.32,5.40,5357500,5.40
2011-02-02,5.43,5.43,5.27,5.36,8715700,5.36
2011-02-01,5.21,5.26,5.19,5.20,6498900,5.20
2011-01-31,5.19,5.21,5.18,5.20,1423800,5.20
2011-01-28,5.30,5.30,5.19,5.20,2709200,5.20
2011-01-27,5.36,5.44,5.35,5.40,5767000,5.40
2011-01-26,5.42,5.47,5.41,5.42,2008800,5.42
2011-01-25,5.45,5.49,5.40,5.49,2796000,5.49
2011-01-24,5.33,5.36,5.32,5.34,5121800,5.34
2011-01-21,5.35,5.41,5.33,5.35,2467200,5.35
2011-01-20,5.47,5.51,5.43,5.47,5281500,5.47
2011-01-19,5.56,5.61,5.54,5.54,2886000,5.54
2011-01-18,5.55,5.57,5.51,5.53,2596300,5.53
2011-01-14,5.52,5.56,5.49,5.55,5022700,5.55
2011-01-13,5.60,5.63,5.54,5.55,2995400,5.55
2011-01-12,5.49,5.62,5.47,5.55,5200100,5.55
2011-01-11,5.30,5.33,5.28,5.33,2193400,5.33
2011-01-10,5.35,5.35,5.24,5.32,1951800,5.32
2011-01-07,5.35,5.35,5.26,5.31,2277300,5.31
2011-01-06,5.37,5.37,5.28,5.34,3155400,5.34
2011-01-05,5.29,5.32,5.26,5.30,3365500,5.30
2011-01-04,5.43,5.44,5.41,5.43,1361300,5.43
2011-01-03,5.43,5.50,5.41,5.48,2745900,5.48
2010-12-31,5.35,5.41,5.34,5.41,500100,5.41
2010-12-30,5.38,5.42,5.36,5.36,1192100,5.36
2010-12-29,5.38,5.42,5.38,5.42,1529500,5.42
2010-12-28,5.38,5.38,5.33,5.34,1568300,5.34
2010-12-27,5.24,5.32,5.24,5.30,985500,5.30
2010-12-23,5.31,5.31,5.27,5.30,1514000,5.30
2010-12-22,5.25,5.32,5.25,5.28,1982200,5.28
2010-12-21,5.20,5.24,5.19,5.24,2035300,5.24
2010-12-20,5.21,5.23,5.17,5.20,2012200,5.20
2010-12-17,5.19,5.20,5.15,5.17,3706400,5.17
2010-12-16,5.12,5.15,5.10,5.15,3375700,5.15
2010-12-15,5.10,5.10,5.02,5.06,4146000,5.06
2010-12-14,5.16,5.19,5.12,5.13,4748500,5.13
2010-12-13,5.15,5.16,5.11,5.14,4007700,5.14
2010-12-10,4.97,5.01,4.97,5.00,1536300,5.00
2010-12-09,4.96,4.99,4.94,4.99,1914000,4.99
2010-12-08,4.79,4.85,4.76,4.81,6878900,4.81
2010-12-07,4.85,4.87,4.81,4.81,2723300,4.81
2010-12-06,4.81,4.87,4.81,4.86,1169000,4.86
2010-12-03,4.81,4.87,4.79,4.87,1177000,4.87
2010-12-02,4.75,4.84,4.75,4.82,1940900,4.82
2010-12-01,4.75,4.79,4.74,4.77,2530900,4.77
2010-11-30,4.67,4.72,4.66,4.71,3562000,4.71
2010-11-29,4.75,4.76,4.68,4.74,1960600,4.74
2010-11-26,4.74,4.79,4.73,4.74,881600,4.74
2010-11-24,4.84,4.90,4.83,4.85,2146700,4.85
2010-11-23,4.85,4.88,4.80,4.84,2112100,4.84
2010-11-22,4.90,4.94,4.86,4.90,818800,4.90
2010-11-19,4.93,4.99,4.91,4.97,2211000,4.97
2010-11-18,4.98,4.98,4.90,4.95,3687100,4.95
2010-11-17,4.70,4.79,4.69,4.76,2692500,4.76
2010-11-16,4.72,4.72,4.61,4.64,2198400,4.64
2010-11-15,4.70,4.76,4.70,4.72,1332300,4.72
2010-11-12,4.79,4.82,4.68,4.70,2554600,4.70
2010-11-11,4.83,4.83,4.77,4.80,1538500,4.80
2010-11-10,4.76,4.85,4.76,4.84,2732800,4.84
2010-11-09,4.66,4.69,4.60,4.60,997200,4.60
2010-11-08,4.60,4.66,4.54,4.64,1085900,4.64
2010-11-05,4.68,4.70,4.63,4.66,1528100,4.66
2010-11-04,4.60,4.73,4.59,4.68,1652800,4.68
2010-11-03,4.53,4.59,4.50,4.58,1173400,4.58
2010-11-02,4.57,4.58,4.50,4.53,1190900,4.53
2010-11-01,4.57,4.61,4.51,4.53,1368500,4.53
2010-10-29,4.62,4.67,4.61,4.66,1516200,4.66
2010-10-28,4.59,4.60,4.55,4.60,2438400,4.60
2010-10-27,4.59,4.61,4.53,4.56,953800,4.56
2010-10-26,4.66,4.70,4.62,4.64,4111500,4.64
2010-10-25,4.73,4.76,4.70,4.71,1200500,4.71
2010-10-22,4.71,4.73,4.67,4.71,809900,4.71
2010-10-21,4.75,4.77,4.67,4.70,1498600,4.70
2010-10-20,4.80,4.82,4.76,4.78,2572200,4.78
2010-10-19,4.70,4.72,4.66,4.71,2997500,4.71
2010-10-18,4.67,4.74,4.67,4.72,1673200,4.72
2010-10-15,4.75,4.75,4.58,4.63,8944100,4.63
2010-10-14,4.89,4.89,4.76,4.82,2012900,4.82
2010-10-13,4.90,4.91,4.85,4.87,1228500,4.87
2010-10-12,4.92,4.99,4.91,4.95,952900,4.95
2010-10-11,4.95,5.00,4.94,4.98,1851700,4.98
2010-10-08,4.92,5.00,4.91,4.97,1323200,4.97
2010-10-07,4.90,4.94,4.88,4.92,1434000,4.92
2010-10-06,4.81,4.90,4.78,4.89,3787100,4.89
2010-10-05,4.69,4.75,4.67,4.70,3652400,4.70
2010-10-04,4.60,4.65,4.55,4.58,1467400,4.58
2010-10-01,4.70,4.73,4.69,4.73,1893200,4.73
2010-09-30,4.69,4.73,4.62,4.63,3076400,4.63
2010-09-29,4.79,4.85,4.79,4.83,1284500,4.83
2010-09-28,4.77,4.82,4.75,4.80,1739200,4.80
2010-09-27,4.77,4.80,4.73,4.77,2454500,4.77
2010-09-24,4.80,4.82,4.77,4.82,1357000,4.82
2010-09-23,4.71,4.75,4.68,4.74,2320200,4.74
2010-09-22,4.78,4.80,4.70,4.72,2378500,4.72
2010-09-21,4.84,4.86,4.80,4.82,1648600,4.82
2010-09-20,4.79,4.92,4.79,4.92,3818100,4.92
2010-09-17,4.81,4.83,4.77,4.81,789400,4.81
2010-09-16,4.83,4.85,4.79,4.85,1028700,4.85
2010-09-15,4.88,4.91,4.86,4.91,1880800,4.91
2010-09-14,4.95,5.00,4.93,4.98,1417200,4.98
2010-09-13,4.89,4.94,4.87,4.94,1275100,4.94
2010-09-10,4.77,4.80,4.77,4.77,1423900,4.77
2010-09-09,4.83,4.85,4.75,4.79,2070900,4.79
2010-09-08,4.84,4.84,4.78,4.81,1612100,4.81
2010-09-07,4.81,4.87,4.79,4.84,4597300,4.84
2010-09-03,4.83,4.84,4.78,4.80,1457100,4.80
2010-09-02,4.76,4.80,4.73,4.80,1532400,4.80
2010-09-01,4.80,4.84,4.77,4.84,1747500,4.84
2010-08-31,4.75,4.77,4.72,4.75,2733100,4.75
2010-08-30,4.80,4.81,4.77,4.78,1561100,4.78
2010-08-27,4.81,4.85,4.77,4.84,1388200,4.84
2010-08-26,4.81,4.85,4.79,4.84,2826700,4.84
2010-08-25,4.79,4.83,4.77,4.80,2858400,4.80
2010-08-24,4.81,4.86,4.81,4.84,3349200,4.84
2010-08-23,4.87,4.94,4.84,4.85,2814100,4.85
2010-08-20,4.87,4.91,4.84,4.89,3488600,4.89
2010-08-19,4.98,5.01,4.89,4.95,3349500,4.95
2010-08-18,4.93,4.99,4.92,4.96,1714600,4.96
2010-08-17,4.90,4.93,4.85,4.87,1368800,4.87
2010-08-16,4.84,4.87,4.82,4.84,1056500,4.84
2010-08-13,4.82,4.82,4.78,4.81,505200,4.81
2010-08-12,4.80,4.83,4.79,4.82,1584600,4.82
2010-08-11,4.92,4.92,4.86,4.87,1034000,4.87
2010-08-10,4.98,5.01,4.96,5.00,2585600,5.00
2010-08-09,5.06,5.06,5.02,5.04,1162400,5.04
2010-08-06,5.01,5.06,4.99,5.04,1704900,5.04
2010-08-05,5.02,5.04,4.98,5.02,1009500,5.02
2010-08-04,4.98,5.03,4.98,5.00,712500,5.00
2010-08-03,4.97,4.99,4.91,4.93,3320700,4.93
2010-08-02,5.00,5.03,4.97,5.02,1668700,5.02
2010-07-30,4.91,5.03,4.91,4.98,2096000,4.98
2010-07-29,5.00,5.05,4.94,4.94,2293600,4.94
2010-07-28,4.95,4.99,4.94,4.98,3647300,4.98
2010-07-27,4.81,4.89,4.80,4.83,3361300,4.83
2010-07-26,4.66,4.72,4.66,4.72,1413200,4.72
2010-07-23,4.66,4.69,4.63,4.66,899200,4.66
2010-07-22,4.66,4.69,4.63,4.66,1183500,4.66
2010-07-21,4.60,4.61,4.55,4.58,2018000,4.58
2010-07-20,4.54,4.63,4.52,4.59,2917100,4.59
2010-07-19,4.58,4.65,4.57,4.65,1291600,4.65
2010-07-16,4.70,4.70,4.53,4.53,2182500,4.53
2010-07-15,4.71,4.76,4.65,4.76,2174900,4.76
2010-07-14,4.79,4.79,4.74,4.76,1946000,4.76
2010-07-13,4.78,4.84,4.78,4.81,1614600,4.81
2010-07-12,4.70,4.74,4.70,4.70,1570300,4.70
2010-07-09,4.82,4.86,4.80,4.83,550200,4.83
2010-07-08,4.84,4.87,4.81,4.87,1235500,4.87
2010-07-07,4.72,4.84,4.72,4.81,2108700,4.81
2010-07-06,4.79,4.81,4.72,4.75,2439000,4.75
2010-07-02,4.54,4.59,4.54,4.56,739500,4.56
2010-07-01,4.53,4.62,4.53,4.57,1572300,4.57
2010-06-30,4.55,4.61,4.53,4.56,1937000,4.56
2010-06-29,4.51,4.59,4.49,4.51,1372100,4.51
2010-06-28,4.64,4.66,4.58,4.58,556700,4.58
2010-06-25,4.69,4.73,4.65,4.72,1482200,4.72
2010-06-24,4.70,4.70,4.62,4.65,1092600,4.65
2010-06-23,4.71,4.77,4.70,4.74,1276800,4.74
2010-06-22,4.73,4.79,4.71,4.72,1671900,4.72
2010-06-21,4.71,4.74,4.69,4.69,1948700,4.69
2010-06-18,4.68,4.68,4.61,4.66,2597300,4.66
2010-06-17,4.72,4.72,4.63,4.65,1940200,4.65
2010-06-16,4.70,4.76,4.68,4.75,1170900,4.75
2010-06-15,4.72,4.78,4.68,4.77,1711400,4.77
2010-06-14,4.74,4.75,4.66,4.71,1863300,4.71
2010-06-11,4.64,4.72,4.62,4.68,1007700,4.68
2010-06-10,4.55,4.67,4.55,4.65,2096800,4.65
2010-06-09,4.58,4.60,4.50,4.50,2000400,4.50
2010-06-08,4.51,4.59,4.48,4.56,3484900,4.56
2010-06-07,4.60,4.68,4.60,4.63,5844200,4.63
2010-06-04,4.79,4.80,4.66,4.70,6076000,4.70
2010-06-03,4.93,4.93,4.78,4.84,3187100,4.84
2010-06-02,4.87,4.90,4.79,4.87,4199600,4.87
2010-06-01,4.86,4.91,4.81,4.84,3687500,4.84
2010-05-28,4.92,4.93,4.82,4.84,2380500,4.84
2010-05-27,4.93,5.01,4.90,5.01,1810700,5.01
2010-05-26,4.96,4.96,4.83,4.84,2086600,4.84
2010-05-25,4.82,4.90,4.76,4.90,3322600,4.90
2010-05-24,4.92,4.95,4.89,4.90,1765000,4.90
2010-05-21,4.87,5.03,4.87,5.01,3441800,5.01
2010-05-20,4.87,4.94,4.86,4.92,3864600,4.92
2010-05-19,4.84,4.95,4.84,4.93,3985500,4.93
2010-05-18,4.93,4.95,4.77,4.85,2700300,4.85
2010-05-17,4.92,4.93,4.84,4.91,2988400,4.91
2010-05-14,4.94,4.95,4.84,4.90,4411000,4.90
2010-05-13,4.95,4.96,4.91,4.95,2317000,4.95
2010-05-12,4.90,4.90,4.85,4.89,6920500,4.89
2010-05-11,5.04,5.06,4.95,5.02,4206800,5.02
2010-05-10,5.11,5.20,5.09,5.12,6036700,5.12
2010-05-07,5.00,5.02,4.87,4.98,3662700,4.98
