Date,Open,High,Low,Close,Volume,Adj Close
2012-07-06,1.96,1.97,1.92,1.92,37669900,1.80
2012-07-05,2.04,2.05,2.00,2.02,38199300,1.90
2012-07-03,2.11,2.14,2.10,2.13,10782500,2.00
2012-07-02,2.11,2.14,2.08,2.14,18455700,2.01
2012-06-29,2.19,2.20,2.04,2.07,71784000,1.94
2012-06-28,2.14,2.16,2.08,2.11,35619300,1.98
2012-06-27,2.21,2.23,2.14,2.19,27608500,2.06
2012-06-26,2.11,2.20,2.09,2.16,43258700,2.03
2012-06-25,2.24,2.25,2.14,2.19,48839600,2.06
2012-06-22,2.41,2.43,2.37,2.38,19536800,2.23
2012-06-21,2.49,2.49,2.36,2.38,25872600,2.23
2012-06-20,2.51,2.53,2.46,2.50,39457500,2.35
2012-06-19,2.52,2.58,2.50,2.54,28892100,2.38
2012-06-18,2.48,2.55,2.46,2.51,27449600,2.36
2012-06-15,2.37,2.49,2.36,2.48,49555100,2.33
2012-06-14,2.44,2.51,2.30,2.35,112143400,2.21
2012-06-13,2.79,2.84,2.78,2.79,19180400,2.62
2012-06-12,2.83,2.88,2.80,2.87,19208500,2.69
2012-06-11,2.95,2.96,2.76,2.77,45818400,2.60
2012-06-08,2.96,3.03,2.86,3.02,80199100,2.83
2012-06-07,2.88,2.90,2.82,2.83,25110900,2.66
2012-06-06,2.81,2.88,2.80,2.88,33616000,2.70
2012-06-05,2.65,2.76,2.64,2.76,36041200,2.59
2012-06-04,2.67,2.69,2.61,2.61,18145100,2.45
2012-06-01,2.65,2.68,2.61,2.64,20433900,2.48
2012-05-31,2.69,2.71,2.63,2.67,28793700,2.51
2012-05-30,2.80,2.81,2.73,2.74,35374100,2.57
2012-05-29,2.90,2.95,2.88,2.95,33680200,2.77
2012-05-25,2.72,2.84,2.71,2.82,27397100,2.65
2012-05-24,2.74,2.75,2.70,2.74,29338500,2.57
2012-05-23,2.80,2.81,2.68,2.73,57215600,2.56
2012-05-22,2.91,2.93,2.87,2.88,41727300,2.70
2012-05-21,2.87,3.03,2.87,3.02,35494500,2.83
2012-05-18,2.82,2.88,2.82,2.85,33635900,2.68
2012-05-17,2.82,2.86,2.79,2.80,25961600,2.63
2012-05-16,2.90,2.92,2.80,2.80,33014500,2.63
2012-05-15,2.96,2.98,2.88,2.89,40987200,2.71
2012-05-14,3.05,3.08,3.01,3.05,44314500,2.86
2012-05-11,3.22,3.38,3.18,3.20,60732700,3.00
2012-05-10,3.21,3.31,3.19,3.24,46651900,3.04
2012-05-09,3.18,3.23,3.13,3.15,39730700,2.96
2012-05-08,3.27,3.31,3.19,3.29,36578700,3.09
2012-05-07,3.13,3.24,3.13,3.21,27889800,3.01
2012-05-04,3.29,3.30,3.12,3.15,51132200,2.96
2012-05-03,3.59,3.62,3.54,3.54,25056100,3.08
2012-05-02,3.57,3.67,3.55,3.58,41455600,3.11
2012-05-01,3.69,3.75,3.64,3.68,15839900,3.20
2012-04-30,3.66,3.67,3.60,3.65,21748900,3.17
2012-04-27,3.69,3.73,3.65,3.67,24434000,3.19
2012-04-26,3.70,3.74,3.65,3.66,34046000,3.18
2012-04-25,3.75,3.82,3.72,3.75,38118500,3.26
2012-04-24,3.54,3.69,3.54,3.63,47282800,3.15
2012-04-23,3.63,3.67,3.60,3.65,48308500,3.17
2012-04-20,3.73,3.77,3.69,3.70,62660400,3.22
2012-04-19,3.83,3.93,3.79,3.82,60924900,3.32
2012-04-18,3.99,4.05,3.95,3.97,40028000,3.45
2012-04-17,4.08,4.16,4.04,4.06,56178700,3.53
2012-04-16,3.94,4.18,3.90,4.09,62016700,3.55
2012-04-13,4.12,4.13,4.01,4.02,62102700,3.49
2012-04-12,4.12,4.24,4.01,4.23,84145400,3.68
2012-04-11,4.36,4.41,4.20,4.24,195321000,3.68
2012-04-10,5.12,5.18,5.01,5.03,36895800,4.37
2012-04-09,5.12,5.16,5.02,5.14,23641300,4.47
2012-04-05,5.09,5.17,5.08,5.11,26177600,4.44
