Date,Open,High,Low,Close,Volume,Adj Close
2010-05-03,17.25,17.50,17.25,17.37,51900,17.08
2010-04-30,17.35,17.43,17.20,17.33,48400,17.04
2010-04-29,17.02,17.40,17.02,17.33,86600,17.04
2010-04-28,17.09,17.22,17.00,17.01,61700,16.72
2010-04-27,17.45,17.55,17.15,17.15,51000,16.86
2010-04-26,17.47,17.47,17.34,17.35,63100,17.06
2010-04-23,16.97,17.24,16.85,17.24,150900,16.95
2010-04-22,17.20,17.20,16.95,17.08,238600,16.79
2010-04-21,17.20,17.30,17.15,17.25,54300,16.96
2010-04-20,16.93,17.04,16.90,16.99,95300,16.70
2010-04-19,16.80,16.99,16.70,16.93,131500,16.64
2010-04-16,17.20,17.24,16.94,17.09,399000,16.80
2010-04-15,17.40,17.42,17.30,17.35,227000,17.06
2010-04-14,17.35,17.55,17.33,17.53,277800,17.23
2010-04-13,17.38,17.50,17.20,17.44,193700,17.15
2010-04-12,17.40,17.53,17.33,17.35,98100,17.06
2010-04-09,17.43,17.53,17.43,17.53,45000,17.23
2010-04-08,17.45,17.60,17.40,17.55,74200,17.25
2010-04-07,17.55,17.65,17.41,17.45,99700,17.16
2010-04-06,17.60,17.67,17.54,17.65,178500,17.35
2010-04-05,17.60,17.68,17.50,17.68,595800,17.38
2010-04-01,17.20,17.63,17.20,17.50,457500,17.21
2010-03-31,17.05,17.30,17.05,17.20,92200,16.91
2010-03-30,17.17,17.25,17.10,17.17,67800,16.88
2010-03-29,16.85,17.05,16.85,16.91,72200,16.63
2010-03-26,16.65,16.90,16.50,16.90,129600,16.62
2010-03-25,16.75,16.90,16.65,16.65,129700,16.37
2010-03-24,16.74,17.00,16.74,16.92,96700,16.63
2010-03-23,16.90,17.15,16.90,17.15,44400,16.86
2010-03-22,16.75,16.99,16.75,16.99,83800,16.70
2010-03-19,16.90,16.90,16.68,16.85,71500,16.57
2010-03-18,16.90,17.02,16.88,17.02,79600,16.73
2010-03-17,16.95,17.17,16.95,17.01,63100,16.72
2010-03-16,16.66,16.85,16.66,16.77,59100,16.49
2010-03-15,16.90,16.99,16.85,16.93,44000,16.64
2010-03-12,16.86,17.00,16.86,16.92,42300,16.63
2010-03-11,16.36,16.70,16.36,16.70,116400,16.42
2010-03-10,16.40,16.44,16.30,16.37,199800,16.09
2010-03-09,16.35,16.50,16.35,16.44,49800,16.16
2010-03-08,16.20,16.35,16.05,16.31,124200,16.04
2010-03-05,15.70,15.97,15.55,15.85,240800,15.58
2010-03-04,15.78,15.79,15.57,15.65,99400,15.39
2010-03-03,15.90,16.05,15.83,15.90,150400,15.63
2010-03-02,15.80,16.03,15.80,16.00,124900,15.73
2010-03-01,15.75,15.95,15.75,15.87,69000,15.60
2010-02-26,15.69,15.90,15.69,15.78,101000,15.51
2010-02-25,15.85,15.93,15.69,15.86,39800,15.59
2010-02-24,16.10,16.15,16.01,16.05,94400,15.78
2010-02-23,16.27,16.34,16.16,16.24,69200,15.97
2010-02-22,16.35,16.55,16.35,16.43,50700,16.15
2010-02-19,16.10,16.45,16.10,16.30,199700,16.03
2010-02-18,16.35,16.75,16.35,16.75,182900,16.47
2010-02-17,16.35,16.55,16.35,16.47,106500,16.19
2010-02-16,16.02,16.32,16.02,16.21,95200,15.94
2010-02-12,16.22,16.23,15.96,16.04,355200,15.77
2010-02-11,16.60,16.75,16.45,16.70,339000,16.42
2010-02-10,16.55,16.80,16.55,16.74,72700,16.46
2010-02-09,16.27,17.10,16.27,17.00,258000,16.71
2010-02-08,15.85,16.10,15.80,15.80,75800,15.53
2010-02-05,16.50,16.59,16.30,16.39,239100,16.11
2010-02-04,16.90,16.96,16.60,16.67,499800,16.39
2010-02-03,16.60,16.90,16.60,16.86,720800,16.58
2010-02-02,16.30,16.82,16.30,16.75,183600,16.47
2010-02-01,15.95,16.22,15.95,16.22,164500,15.95
2010-01-29,16.30,16.56,16.27,16.34,859200,16.06
2010-01-28,16.22,16.25,16.05,16.22,251700,15.95
2010-01-27,16.00,16.04,15.75,16.00,108800,15.73
2010-01-26,16.20,16.35,16.08,16.11,104800,15.84
2010-01-25,16.30,16.50,16.30,16.34,64100,16.06
2010-01-22,16.45,16.57,16.30,16.30,114100,16.03
2010-01-21,16.60,16.68,16.40,16.50,46400,16.22
2010-01-20,16.50,16.53,16.27,16.53,139100,16.25
2010-01-19,16.77,17.07,16.77,16.98,96400,16.69
2010-01-15,17.54,17.54,17.31,17.33,37100,17.04
2010-01-14,17.50,17.69,17.48,17.56,308800,17.26
2010-01-13,17.70,17.70,17.50,17.70,65200,17.40
2010-01-12,17.85,17.89,17.69,17.72,707300,17.42
2010-01-11,17.55,17.60,17.46,17.60,56600,17.30
2010-01-08,17.30,17.55,17.25,17.55,101500,17.25
2010-01-07,17.10,17.20,16.95,17.16,60500,16.87
2010-01-06,17.44,17.49,17.31,17.31,82400,17.02
2010-01-05,17.60,17.70,17.45,17.60,75500,17.30
2010-01-04,17.65,17.95,17.65,17.89,69800,17.59
2009-12-31,17.65,17.70,17.55,17.63,30800,17.33
2009-12-30,17.50,17.72,17.50,17.71,100100,17.41
