Date,Open,High,Low,Close,Volume,Adj Close
2012-06-15,27.11,27.76,26.99,27.70,40136400,26.99
2012-06-14,27.09,27.35,26.51,26.91,34311700,26.22
2012-06-13,26.88,27.38,26.79,27.02,19638800,26.32
2012-06-12,27.00,27.15,26.73,27.03,26186900,26.33
2012-06-11,27.38,27.42,26.77,26.81,20470800,26.12
2012-06-08,27.04,27.27,26.80,27.16,22343200,26.46
2012-06-07,27.75,27.76,27.18,27.18,32896100,26.48
2012-06-06,26.99,27.57,26.88,27.53,27639000,26.82
2012-06-05,26.07,26.94,26.07,26.71,28412000,26.02
2012-06-04,26.04,26.34,25.84,26.20,28945200,25.53
2012-06-01,25.98,26.28,25.90,26.00,30739700,25.33
2012-05-31,26.22,26.72,26.17,26.47,32192300,25.79
2012-05-30,26.19,26.34,25.98,26.17,21538300,25.50
2012-05-29,26.41,26.78,26.16,26.46,24139900,25.78
2012-05-25,26.18,26.33,26.04,26.14,18642900,25.47
2012-05-24,26.62,26.65,25.90,26.12,34232000,25.45
2012-05-23,26.12,26.85,26.04,26.68,33179600,25.99
2012-05-22,26.33,26.49,26.07,26.36,22122800,25.68
2012-05-21,25.54,26.46,25.53,26.26,30712700,25.58
2012-05-18,26.29,26.29,25.33,25.61,68182500,24.95
2012-05-17,26.70,26.72,26.25,26.25,29440600,25.57
2012-05-16,27.16,27.41,26.68,26.72,29672800,26.03
2012-05-15,27.02,27.53,26.94,27.06,26392900,26.36
2012-05-14,26.73,27.31,26.66,26.96,22485200,26.27
2012-05-11,26.97,27.31,26.77,27.00,25588900,26.30
2012-05-10,27.70,27.75,26.74,27.02,52653300,26.32
2012-05-09,27.62,27.91,27.41,27.78,25521100,27.06
2012-05-08,27.71,28.02,27.53,27.93,24660200,27.21
2012-05-07,28.34,28.45,27.85,27.92,33670500,27.20
2012-05-04,29.10,29.15,28.41,28.41,33934300,27.68
2012-05-03,29.74,29.82,29.34,29.38,19175800,28.62
2012-05-02,29.42,29.79,29.19,29.71,22579000,28.94
2012-05-01,29.45,29.78,29.29,29.57,19965400,28.81
2012-04-30,29.23,29.42,29.20,29.40,18568500,28.64
2012-04-27,29.06,29.44,29.06,29.24,16847800,28.49
2012-04-26,28.84,29.22,28.74,29.02,20548300,28.27
2012-04-25,28.68,28.99,28.60,28.87,26902800,28.13
2012-04-24,28.53,28.85,28.52,28.69,20486900,27.95
2012-04-23,28.60,28.66,28.26,28.48,23045500,27.75
2012-04-20,29.12,29.53,28.88,28.88,35727900,28.14
2012-04-19,28.99,29.46,28.67,29.01,26462100,28.26
2012-04-18,29.13,29.35,29.10,29.13,21151400,28.38
2012-04-17,28.72,29.44,28.70,29.28,24985300,28.53
2012-04-16,28.58,28.77,28.31,28.64,21476800,27.90
2012-04-13,28.70,28.77,28.49,28.56,16685800,27.82
2012-04-12,28.32,28.72,28.16,28.70,29414300,27.96
2012-04-11,28.49,28.55,28.04,28.14,30390100,27.42
2012-04-10,28.88,28.96,28.08,28.35,41175000,27.62
2012-04-09,29.10,29.25,29.00,29.01,21528500,28.26
2012-04-05,29.15,29.63,29.13,29.56,43273500,28.74
2012-04-04,29.19,29.48,28.93,29.16,31154000,28.35
2012-04-03,29.61,29.70,29.12,29.39,29995400,28.57
2012-04-02,29.12,29.68,29.00,29.53,28525300,28.71
2012-03-30,29.46,29.49,29.04,29.16,32006100,28.35
2012-03-29,29.21,29.58,29.10,29.30,34035400,28.49
2012-03-28,29.38,29.55,29.14,29.36,29405300,28.55
2012-03-27,29.17,29.52,29.00,29.35,31710000,28.54
2012-03-26,28.78,29.19,28.65,29.16,30044300,28.35
2012-03-23,28.69,28.89,28.52,28.55,36696300,27.76
2012-03-22,29.33,29.33,28.56,28.63,59763200,27.84
2012-03-21,30.87,31.15,29.34,29.41,94678000,28.59
2012-03-20,29.70,30.14,29.55,30.10,46126400,29.27
2012-03-19,29.59,29.89,29.43,29.76,32519400,28.93
2012-03-16,30.11,30.16,29.58,29.74,38651200,28.92
2012-03-15,29.96,30.13,29.74,30.06,35528500,29.23
2012-03-14,30.00,30.16,29.69,29.84,30994400,29.01
2012-03-13,29.99,30.23,29.91,30.13,32329200,29.29
2012-03-12,29.72,29.92,29.20,29.71,40933900,28.89
2012-03-09,30.05,30.29,29.90,30.13,30056300,29.29
2012-03-08,30.40,30.44,29.85,30.07,30927300,29.24
2012-03-07,30.05,30.28,29.83,30.22,23691100,29.38
2012-03-06,29.94,30.40,29.71,29.94,28971600,29.11
2012-03-05,30.24,30.42,29.92,30.24,33786600,29.40
2012-03-02,29.85,30.25,29.76,29.96,28177200,29.13
2012-03-01,29.40,29.97,29.23,29.83,32909600,29.00
2012-02-29,29.40,29.44,29.02,29.25,33160700,28.44
2012-02-28,29.24,29.39,29.00,29.39,29889400,28.57
2012-02-27,29.00,29.38,28.76,29.26,30419400,28.45
2012-02-24,29.06,29.54,28.84,29.25,24952400,28.44
2012-02-23,28.61,28.88,28.32,28.81,25319100,28.01
2012-02-22,28.72,29.08,28.50,28.55,25207600,27.76
2012-02-21,28.80,28.98,28.49,28.74,20612200,27.94
2012-02-17,29.03,29.03,28.64,28.79,34061000,27.99
2012-02-16,28.16,29.00,28.13,28.95,36380600,28.15
2012-02-15,28.10,28.35,27.92,27.98,34620600,27.20
2012-02-14,28.32,28.45,28.03,28.24,30267900,27.46
2012-02-13,28.59,28.67,28.35,28.43,20015200,27.64
2012-02-10,28.55,28.64,28.28,28.50,30232000,27.71
2012-02-09,28.85,28.90,28.35,28.89,31795300,28.09
2012-02-08,28.92,28.99,28.38,28.73,29842600,27.93
2012-02-07,28.91,29.00,28.75,28.95,20291700,28.15
2012-02-06,29.03,29.07,28.81,29.00,16582600,28.20
2012-02-03,29.13,29.22,28.78,29.11,26277200,28.30
2012-02-02,28.87,29.25,28.71,28.81,27334400,28.01
2012-02-01,28.48,28.94,28.11,28.88,38240800,28.08
2012-01-31,28.73,28.74,28.05,28.21,32744000,27.43
