Date,Open,High,Low,Close,Volume,Adj Close
2012-10-16,24.52,24.79,24.49,24.75,571200,23.07
2012-10-15,24.28,24.31,24.10,24.31,717100,22.66
2012-10-12,24.37,24.46,24.07,24.13,469000,22.49
2012-10-11,24.19,24.30,24.01,24.02,569500,22.39
2012-10-10,23.80,23.88,23.58,23.64,428200,22.03
2012-10-09,24.01,24.10,23.61,23.66,546600,22.05
2012-10-08,24.22,24.26,24.12,24.24,408200,22.59
2012-10-05,24.11,24.46,24.11,24.20,519900,22.55
2012-10-04,23.81,23.94,23.75,23.92,463800,22.29
2012-10-03,23.51,23.61,23.44,23.55,376900,21.95
2012-10-02,23.68,23.72,23.44,23.55,322300,21.95
2012-10-01,23.62,23.81,23.49,23.52,490700,21.92
2012-09-28,23.81,23.81,23.24,23.45,1592900,21.85
2012-09-27,24.34,24.50,24.21,24.44,1529400,22.78
2012-09-26,24.08,24.10,23.86,23.99,902200,22.36
2012-09-25,24.48,24.65,24.08,24.11,903400,22.47
2012-09-24,24.01,24.26,23.94,24.22,530300,22.57
2012-09-21,24.75,24.75,24.41,24.47,529400,22.81
2012-09-20,24.26,24.52,24.09,24.49,463900,22.82
2012-09-19,24.44,24.67,24.29,24.54,363000,22.87
2012-09-18,24.64,24.76,24.46,24.57,514500,22.90
2012-09-17,24.82,24.95,24.63,24.68,745500,23.00
2012-09-14,24.74,24.99,24.69,24.74,769300,23.06
2012-09-13,23.96,24.70,23.89,24.57,1772700,22.90
2012-09-12,24.21,24.23,23.98,24.09,596500,22.45
2012-09-11,24.24,24.47,24.23,24.35,456100,22.69
2012-09-10,24.25,24.37,23.98,24.04,971300,22.40
2012-09-07,24.75,24.93,24.68,24.89,1179100,23.20
2012-09-06,23.44,24.18,23.42,24.11,1021800,22.47
2012-09-05,23.14,23.24,23.02,23.05,408400,21.48
2012-09-04,23.07,23.10,22.81,22.99,367600,21.43
2012-08-31,22.96,23.03,22.75,22.87,470600,21.31
2012-08-30,22.78,22.82,22.46,22.58,778700,21.04
2012-08-29,23.12,23.21,23.04,23.15,269900,21.57
2012-08-28,23.02,23.16,23.01,23.06,701800,21.49
2012-08-27,23.02,23.13,22.96,23.00,525900,21.44
2012-08-24,22.71,22.93,22.65,22.80,1029800,21.25
2012-08-23,23.21,23.27,23.05,23.10,415900,21.53
2012-08-22,23.04,23.21,22.94,23.16,593400,21.58
2012-08-21,23.38,23.48,23.17,23.21,895100,21.63
2012-08-20,23.18,23.26,23.11,23.26,230400,21.68
2012-08-17,23.21,23.31,23.13,23.30,388200,21.71
2012-08-16,22.78,23.12,22.74,23.01,314900,21.44
2012-08-15,22.58,22.99,22.57,22.89,337500,21.33
2012-08-14,22.76,22.76,22.58,22.67,418500,21.13
2012-08-13,22.66,22.77,22.43,22.53,472500,21.00
2012-08-10,22.57,22.85,22.49,22.84,363800,21.29
2012-08-09,22.69,22.85,22.61,22.72,322200,21.17
2012-08-08,22.69,22.86,22.60,22.84,579600,21.29
2012-08-07,22.94,23.15,22.89,23.02,685700,21.45
2012-08-06,22.68,22.78,22.56,22.59,539100,21.05
2012-08-03,22.42,22.75,22.38,22.56,792400,21.03
2012-08-02,21.87,22.24,21.77,22.00,640100,20.50
2012-08-01,22.29,22.38,22.13,22.18,646500,20.67
2012-07-31,21.97,22.16,21.95,22.01,489300,20.51
2012-07-30,21.74,22.02,21.72,21.96,504700,20.47
2012-07-27,21.96,22.24,21.87,22.11,600700,20.61
2012-07-26,21.95,22.04,21.79,21.94,1054400,20.45
2012-07-25,21.35,21.38,21.08,21.17,877900,19.73
2012-07-24,20.66,20.68,20.28,20.48,679500,19.09
2012-07-23,20.51,20.76,20.25,20.70,1518800,19.29
2012-07-20,19.72,19.98,19.63,19.63,732100,18.29
2012-07-19,20.11,20.25,20.05,20.17,657900,18.80
2012-07-18,19.90,20.01,19.87,19.98,783600,18.62
2012-07-17,20.01,20.07,19.64,19.99,477000,18.63
2012-07-16,19.80,19.97,19.70,19.91,355800,18.56
2012-07-13,19.61,19.78,19.59,19.74,388500,18.40
2012-07-12,19.65,19.72,19.45,19.63,550300,18.29
2012-07-11,19.39,19.61,19.37,19.55,1010600,18.22
2012-07-10,19.52,19.60,19.14,19.22,420800,17.91
2012-07-09,19.22,19.28,19.10,19.28,262300,17.97
2012-07-06,19.25,19.30,19.01,19.11,332400,17.81
2012-07-05,19.49,19.55,19.35,19.43,471100,18.11
2012-07-03,19.38,19.62,19.36,19.61,453600,18.28
2012-07-02,19.79,19.94,19.65,19.91,628400,18.56
2012-06-29,19.52,19.74,19.48,19.67,881600,18.33
2012-06-28,18.36,18.79,18.32,18.75,462000,17.47
2012-06-27,18.34,18.67,18.28,18.61,538200,17.34
2012-06-26,18.56,18.60,18.32,18.45,806800,17.19
2012-06-25,18.83,18.90,18.66,18.78,827400,17.50
2012-06-22,19.08,19.14,18.87,19.05,995500,17.75
2012-06-21,19.34,19.42,18.70,18.71,963900,17.44
2012-06-20,19.13,19.52,19.07,19.38,1128900,18.06
2012-06-19,18.57,19.02,18.57,18.86,741700,17.58
2012-06-18,18.61,18.71,18.48,18.57,651800,17.31
2012-06-15,18.66,19.02,18.64,19.02,845400,17.73
2012-06-14,17.87,18.25,17.83,18.16,819700,16.92
2012-06-13,17.79,18.06,17.72,17.87,778600,16.65
2012-06-12,18.10,18.17,17.80,18.14,683400,16.91
2012-06-11,18.35,18.36,17.87,17.89,611800,16.67
2012-06-08,17.86,18.15,17.79,18.11,420500,16.88
2012-06-07,18.42,18.45,18.11,18.14,998800,16.91
2012-06-06,17.70,18.28,17.70,18.28,1214200,17.04
2012-06-05,17.26,17.41,17.16,17.41,1227300,16.23
2012-06-04,17.50,17.58,17.27,17.41,766700,16.23
2012-06-01,17.47,17.60,17.18,17.32,1116400,16.14
2012-05-31,17.72,17.90,17.49,17.80,1565000,16.59
2012-05-30,17.86,17.87,17.63,17.68,787800,16.48
2012-05-29,18.19,18.33,17.98,18.17,682400,16.93
2012-05-25,17.77,17.93,17.73,17.84,713600,16.63
2012-05-24,17.96,18.09,17.80,17.95,1543700,16.73
2012-05-23,18.44,18.47,18.01,18.37,1537900,17.12
2012-05-22,19.33,19.52,19.10,19.24,905700,17.93
2012-05-21,18.94,19.23,18.86,19.23,986500,17.92
2012-05-18,18.60,18.61,18.39,18.49,755700,17.23
2012-05-17,18.55,18.59,18.29,18.34,802600,17.09
2012-05-16,18.77,19.03,18.64,18.66,1117500,17.39
2012-05-15,18.60,18.83,18.55,18.62,724200,17.35
2012-05-14,18.58,18.86,18.47,18.58,927100,17.32
2012-05-11,18.79,19.14,18.78,18.84,949400,17.56
2012-05-10,18.97,19.05,18.81,18.88,1064900,17.60
2012-05-09,18.29,18.63,18.16,18.51,820200,17.25
2012-05-08,18.58,18.64,18.34,18.60,809500,17.33
2012-05-07,18.58,18.83,18.55,18.74,996900,17.47
2012-05-04,18.60,18.66,18.24,18.39,1586400,17.14
2012-05-03,18.95,18.99,18.69,18.76,1175900,17.48
2012-05-02,18.75,18.86,18.56,18.74,1176900,17.47
2012-05-01,19.92,20.20,19.86,20.00,1012000,17.71
2012-04-30,20.06,20.10,19.83,19.99,1056800,17.70
2012-04-27,20.32,20.34,20.12,20.23,1058600,17.91
2012-04-26,20.15,20.47,20.12,20.26,1424700,17.94
2012-04-25,20.35,20.38,20.14,20.22,7710700,17.90
2012-04-24,19.51,19.89,19.49,19.64,1223000,17.39
2012-04-23,19.67,19.77,19.38,19.44,2535800,17.21
2012-04-20,18.70,19.02,18.69,18.79,1077500,16.64
2012-04-19,18.71,18.82,18.34,18.46,1093800,16.35
2012-04-18,18.31,18.64,18.30,18.34,841300,16.24
2012-04-17,18.56,18.83,18.46,18.77,909900,16.62
2012-04-16,18.32,18.39,18.01,18.27,1106900,16.18
2012-04-13,18.52,18.53,18.08,18.09,909800,16.02
2012-04-12,18.21,18.66,18.21,18.57,2463800,16.44
2012-04-11,18.28,18.31,18.02,18.08,1127400,16.01
2012-04-10,18.41,18.52,17.95,17.98,2484800,15.92
2012-04-09,18.62,18.98,18.62,18.91,454200,16.74
2012-04-05,18.81,19.08,18.80,18.97,1152900,16.80
2012-04-04,19.24,19.36,18.97,19.14,3524600,16.95
2012-04-03,20.07,20.16,19.60,19.73,1611400,17.47
2012-04-02,19.97,20.25,19.89,20.14,2351100,17.83
2012-03-30,20.31,20.40,20.17,20.35,1755800,18.02
2012-03-29,20.13,20.22,19.96,20.08,2016000,17.78
2012-03-28,20.77,20.78,20.29,20.47,1555000,18.13
2012-03-27,20.79,20.84,20.66,20.66,1555900,18.29
2012-03-26,20.54,20.60,20.40,20.56,1566100,18.21
2012-03-23,20.43,20.50,20.15,20.18,1938100,17.87
2012-03-22,20.39,20.41,20.17,20.33,1260600,18.00
2012-03-21,20.67,20.69,20.41,20.54,1866400,18.19
2012-03-20,21.19,21.30,21.04,21.19,1670700,18.76
2012-03-19,21.33,21.62,21.30,21.51,1437700,19.05
2012-03-16,21.22,21.40,21.15,21.35,1223100,18.90
2012-03-15,20.87,21.07,20.78,21.03,2190600,18.62
2012-03-14,20.71,20.82,20.60,20.70,766300,18.33
2012-03-13,20.48,20.69,20.44,20.65,685300,18.28
2012-03-12,20.20,20.36,20.00,20.29,762200,17.97
2012-03-09,20.16,20.42,20.09,20.28,628400,17.96
2012-03-08,20.08,20.46,20.01,20.36,819300,18.03
2012-03-07,19.69,19.87,19.58,19.83,887900,17.56
2012-03-06,19.61,19.67,19.45,19.58,1217100,17.34
2012-03-05,20.72,20.76,20.51,20.61,427100,18.25
2012-03-02,20.83,20.91,20.70,20.88,442800,18.49
2012-03-01,20.80,21.16,20.78,21.07,2354100,18.66
2012-02-29,21.28,21.37,20.96,20.98,1642200,18.58
2012-02-28,20.86,21.18,20.83,21.18,2283400,18.75
2012-02-27,20.96,21.29,20.92,21.17,1941500,18.75
2012-02-24,21.31,21.39,21.22,21.26,1329100,18.82
2012-02-23,20.92,21.17,20.74,21.15,623500,18.73
2012-02-22,20.92,21.04,20.73,20.80,689500,18.42
2012-02-21,21.61,21.65,21.28,21.36,1111700,18.91
2012-02-17,21.20,21.23,21.06,21.17,729100,18.75
2012-02-16,20.27,20.77,20.22,20.73,533200,18.36
2012-02-15,20.52,20.53,20.22,20.24,629000,17.92
2012-02-14,20.29,20.36,20.14,20.34,1070100,18.01
2012-02-13,20.63,20.75,20.55,20.68,360500,18.31
2012-02-10,20.43,20.53,20.31,20.44,611600,18.10
2012-02-09,21.17,21.21,20.99,21.15,484000,18.73
2012-02-08,20.95,21.00,20.73,20.93,375200,18.53
2012-02-07,20.77,21.00,20.60,20.94,681200,18.54
2012-02-06,20.74,20.90,20.67,20.83,413000,18.44
2012-02-03,20.35,20.85,20.32,20.78,678100,18.40
2012-02-02,20.51,20.52,20.32,20.36,1033300,18.03
2012-02-01,20.57,20.84,20.53,20.57,1294300,18.21
2012-01-31,20.30,20.31,20.02,20.26,1028100,17.94
2012-01-30,19.80,20.13,19.73,20.03,998000,17.74
2012-01-27,20.18,20.52,20.18,20.37,1168000,18.04
2012-01-26,20.67,20.68,20.28,20.33,1168500,18.00
2012-01-25,19.91,20.26,19.78,20.20,1882100,17.89
2012-01-24,19.59,19.86,19.51,19.85,527000,17.58
2012-01-23,19.73,19.90,19.55,19.68,599000,17.43
2012-01-20,19.71,19.78,19.56,19.77,2387600,17.51
2012-01-19,19.31,19.48,19.17,19.43,2328300,17.20
2012-01-18,19.02,19.23,18.91,19.18,1833300,16.98
2012-01-17,18.74,18.87,18.63,18.67,1452900,16.53
2012-01-13,18.32,18.44,18.07,18.34,1620200,16.24
2012-01-12,18.64,18.66,18.43,18.57,2702700,16.44
2012-01-11,18.55,18.67,18.45,18.55,3835600,16.43
2012-01-10,19.27,19.40,18.96,19.05,2638800,16.87
2012-01-09,20.06,20.16,19.86,20.15,1328900,17.84
2012-01-06,20.11,20.13,19.73,19.85,1004900,17.58
2012-01-05,20.00,20.11,19.74,20.06,1876700,17.76
2012-01-04,20.82,20.94,20.65,20.87,893600,18.48
2012-01-03,21.30,21.77,21.30,21.47,1440000,19.01
2011-12-30,21.00,21.14,20.92,20.95,1821400,18.55
2011-12-29,20.44,20.93,20.39,20.92,1497300,18.52
2011-12-28,20.55,20.64,20.17,20.30,677700,17.97
2011-12-27,20.79,20.83,20.65,20.72,795500,18.35
2011-12-23,20.40,20.47,20.32,20.47,393000,18.13
2011-12-22,20.12,20.45,20.08,20.40,705400,18.06
2011-12-21,19.98,20.05,19.65,19.89,1037100,17.61
2011-12-20,19.85,20.22,19.83,20.15,1311500,17.84
2011-12-19,19.35,19.39,18.86,18.90,804400,16.74
2011-12-16,19.31,19.43,19.02,19.08,1568200,16.89
2011-12-15,19.51,19.51,19.12,19.35,1858700,17.13
2011-12-14,19.00,19.28,18.92,19.17,1893100,16.97
2011-12-13,19.98,20.18,19.31,19.46,1592200,17.23
2011-12-12,20.33,20.33,19.88,20.02,3069100,17.73
2011-12-09,20.91,21.24,20.85,20.89,2263700,18.50
2011-12-08,20.27,20.38,20.08,20.14,1866700,17.83
2011-12-07,20.43,20.94,20.27,20.81,2573100,18.43
2011-12-06,20.04,20.38,19.95,20.28,838700,17.96
2011-12-05,20.75,20.77,20.34,20.48,2088400,18.13
2011-12-02,20.59,20.60,20.13,20.20,823900,17.89
2011-12-01,20.25,20.50,20.03,20.11,1502900,17.81
2011-11-30,20.17,20.40,20.09,20.33,1558100,18.00
2011-11-29,18.90,19.30,18.85,19.12,1220600,16.93
2011-11-28,18.69,18.71,18.46,18.63,888200,16.50
2011-11-25,17.60,17.91,17.58,17.59,550500,15.58
2011-11-23,18.26,18.26,17.89,17.91,2802200,15.86
2011-11-22,18.46,18.62,18.35,18.44,1468500,16.33
2011-11-21,18.34,18.50,18.20,18.42,781100,16.31
2011-11-18,19.06,19.08,18.77,18.82,844600,16.66
2011-11-17,19.16,19.19,18.61,18.79,1030600,16.64
2011-11-16,18.90,19.38,18.86,18.98,1556300,16.81
2011-11-15,19.01,19.31,18.93,19.16,1122400,16.97
2011-11-14,19.60,19.65,19.31,19.46,616500,17.23
2011-11-11,19.78,20.03,19.74,19.88,676700,17.60
2011-11-10,19.53,19.63,19.21,19.47,1512300,17.24
2011-11-09,19.62,19.64,18.93,19.02,3860300,16.84
2011-11-08,20.65,20.89,20.36,20.86,1368700,18.47
2011-11-07,20.31,20.54,20.10,20.41,4538000,18.07
2011-11-04,20.77,20.85,20.41,20.64,2594300,18.28
2011-11-03,21.29,21.49,20.84,21.35,1919300,18.90
2011-11-02,20.69,20.98,20.51,20.72,2746100,18.35
2011-11-01,20.01,20.62,19.98,20.31,3892300,17.98
2011-10-31,21.47,21.52,20.84,20.85,1697100,18.46
2011-10-28,21.91,22.14,21.77,21.95,1403600,19.44
2011-10-27,22.35,22.78,22.05,22.54,3387700,19.96
2011-10-26,21.18,21.28,20.34,20.89,3703100,18.50
2011-10-25,20.90,21.01,20.48,20.72,4243700,18.35
2011-10-24,21.03,21.61,21.03,21.50,1077000,19.04
2011-10-21,20.95,21.33,20.94,21.32,2265200,18.88
2011-10-20,20.61,20.76,20.30,20.71,2309300,18.34
2011-10-19,20.59,20.82,20.11,20.19,3048800,17.88
2011-10-18,19.98,20.64,19.71,20.46,1712300,18.12
2011-10-17,20.65,20.67,19.79,19.90,1531400,17.62
2011-10-14,20.77,20.92,20.43,20.79,2151900,18.41
2011-10-13,20.28,20.32,19.87,20.09,1522500,17.79
2011-10-12,20.65,20.82,20.49,20.55,2043600,18.20
2011-10-11,19.39,19.59,19.18,19.48,1335700,17.25
2011-10-10,19.10,19.73,19.06,19.66,1624600,17.41
2011-10-07,18.52,18.75,18.30,18.38,1454100,16.27
2011-10-06,17.62,18.45,17.58,18.32,1518900,16.22
2011-10-05,17.43,17.78,17.33,17.77,1545400,15.73
2011-10-04,16.75,17.23,16.56,17.22,2700000,15.25
2011-10-03,17.58,17.92,17.25,17.26,1123400,15.28
2011-09-30,18.05,18.28,17.91,17.94,1466300,15.89
2011-09-29,19.13,19.33,18.80,19.09,1892500,16.90
2011-09-28,18.62,18.73,18.01,18.01,1254900,15.95
2011-09-27,18.69,18.90,18.39,18.48,2568500,16.36
2011-09-26,17.58,18.05,17.42,18.03,1836900,15.96
2011-09-23,16.30,17.00,16.26,16.96,1784100,15.02
2011-09-22,16.79,16.95,16.52,16.87,2616600,14.94
2011-09-21,17.87,18.09,17.56,17.60,2849300,15.58
2011-09-20,17.97,18.12,17.71,17.80,1175400,15.76
2011-09-19,17.55,17.91,17.42,17.79,1229800,15.75
2011-09-16,18.27,18.47,17.95,18.10,1993800,16.03
2011-09-15,18.49,18.57,18.29,18.48,1377500,16.36
2011-09-14,17.77,18.32,17.44,18.15,1989000,16.07
2011-09-13,17.23,17.88,17.12,17.77,5511300,15.73
2011-09-12,16.61,16.98,16.52,16.97,3101900,15.03
2011-09-09,17.39,17.65,17.16,17.23,3522200,15.26
2011-09-08,18.32,18.67,18.28,18.31,1626700,16.21
2011-09-07,18.21,18.63,18.15,18.62,2676400,16.49
2011-09-06,18.17,18.34,17.80,18.16,2350100,16.08
2011-09-02,19.77,19.92,19.60,19.64,1133000,17.39
2011-09-01,20.67,20.94,20.44,20.58,1647300,18.22
2011-08-31,20.98,21.40,20.94,21.17,2002100,18.75
2011-08-30,20.26,20.57,20.12,20.56,2117900,18.21
2011-08-29,20.37,20.51,20.30,20.51,674900,18.16
2011-08-26,19.54,20.12,19.31,20.07,926200,17.77
2011-08-25,20.16,20.31,19.60,19.70,1096000,17.44
2011-08-24,19.79,20.19,19.73,20.12,1048900,17.82
2011-08-23,19.47,19.98,19.30,19.98,2053900,17.69
2011-08-22,19.85,19.85,19.27,19.28,1421000,17.07
2011-08-19,19.08,19.59,18.89,18.94,1767900,16.77
2011-08-18,19.72,19.77,19.06,19.28,2867800,17.07
2011-08-17,20.93,21.10,20.59,20.69,1388200,18.32
2011-08-16,21.06,21.29,20.76,20.86,2104800,18.47
2011-08-15,21.13,21.43,21.11,21.39,1041500,18.94
2011-08-12,20.61,20.83,20.26,20.66,1229400,18.29
2011-08-11,18.95,20.63,18.95,20.41,2668100,18.07
2011-08-10,20.17,20.19,19.27,19.28,4710400,17.07
2011-08-09,20.69,21.15,19.90,21.15,3252800,18.73
2011-08-08,20.89,21.16,19.96,19.98,3781200,17.69
2011-08-05,22.03,22.34,21.15,22.05,4132900,19.52
2011-08-04,22.29,22.41,21.56,21.60,2761100,19.13
2011-08-03,23.47,23.49,22.93,23.41,1430700,20.73
2011-08-02,23.77,23.97,23.38,23.40,1164200,20.72
2011-08-01,25.10,25.13,24.02,24.20,1247900,21.43
2011-07-29,24.68,25.12,24.54,24.77,917900,21.93
2011-07-28,24.73,25.04,24.66,24.71,791000,21.88
2011-07-27,25.40,25.43,24.95,24.97,1678800,22.11
2011-07-26,25.42,25.66,25.33,25.52,1946300,22.60
