Date,Open,High,Low,Close,Volume,Adj Close
2011-04-06,14.01,14.14,13.95,14.05,696900,14.05
2011-04-05,13.55,13.65,13.48,13.57,289300,13.57
2011-04-04,13.60,13.64,13.50,13.56,207900,13.56
2011-04-01,13.57,13.67,13.50,13.59,402500,13.59
2011-03-31,13.30,13.40,13.13,13.18,627500,13.18
2011-03-30,13.16,13.30,13.06,13.30,458200,13.30
2011-03-29,13.45,13.56,13.36,13.51,221200,13.51
2011-03-28,13.54,13.66,13.51,13.51,601700,13.51
2011-03-25,13.59,13.63,13.45,13.45,205000,13.45
2011-03-24,13.60,13.60,13.47,13.58,146100,13.58
2011-03-23,13.36,13.53,13.31,13.48,364700,13.48
2011-03-22,13.70,13.78,13.56,13.58,421300,13.58
2011-03-21,13.43,13.56,13.39,13.56,299400,13.56
2011-03-18,13.28,13.31,13.13,13.24,252600,13.24
2011-03-17,13.32,13.33,13.08,13.16,241800,13.16
2011-03-16,13.45,13.52,12.78,12.95,916100,12.95
2011-03-15,13.07,13.47,13.00,13.42,588500,13.42
2011-03-14,13.69,13.75,13.50,13.69,475700,13.69
2011-03-11,13.77,13.89,13.67,13.82,247700,13.82
2011-03-10,13.85,13.87,13.74,13.74,513600,13.74
2011-03-09,14.25,14.37,14.19,14.29,184900,14.29
2011-03-08,14.13,14.40,13.97,14.36,378800,14.36
2011-03-07,14.41,14.46,14.04,14.09,271400,14.09
2011-03-04,14.42,14.46,14.19,14.34,251800,14.34
2011-03-03,14.58,14.65,14.40,14.64,170800,14.64
2011-03-02,14.47,14.63,14.31,14.39,393800,14.39
2011-03-01,14.71,14.74,14.25,14.29,425500,14.29
2011-02-28,14.73,14.80,14.61,14.67,163800,14.67
2011-02-25,14.59,14.75,14.57,14.69,175800,14.69
2011-02-24,14.91,14.96,14.49,14.69,476100,14.69
2011-02-23,15.55,15.57,15.03,15.10,620800,15.10
2011-02-22,15.39,15.58,15.10,15.24,490500,15.24
2011-02-18,15.79,15.82,15.65,15.69,379000,15.69
2011-02-17,15.46,15.83,15.45,15.83,534600,15.83
2011-02-16,14.84,15.19,14.84,15.16,663600,15.16
2011-02-15,14.57,14.66,14.49,14.50,552400,14.50
2011-02-14,14.24,14.26,14.11,14.19,166000,14.19
2011-02-11,13.98,14.22,13.94,14.18,267200,14.18
2011-02-10,14.10,14.32,14.04,14.26,159700,14.26
2011-02-09,14.37,14.48,14.23,14.32,313800,14.32
2011-02-08,14.22,14.36,14.17,14.36,232100,14.36
2011-02-07,14.27,14.36,14.24,14.27,319100,14.27
2011-02-04,14.03,14.13,13.96,14.13,209400,14.13
2011-02-03,14.19,14.22,13.96,14.13,725400,14.13
2011-02-02,13.78,13.86,13.73,13.77,596500,13.77
2011-02-01,13.50,13.80,13.49,13.73,333400,13.73
2011-01-31,13.36,13.48,13.32,13.37,284000,13.37
2011-01-28,13.65,13.68,13.35,13.42,339300,13.42
2011-01-27,13.75,13.84,13.69,13.76,212500,13.76
2011-01-26,13.79,13.82,13.66,13.74,376100,13.74
2011-01-25,13.70,13.82,13.61,13.79,459100,13.79
2011-01-24,13.89,14.17,13.88,14.12,531700,14.12
2011-01-21,14.43,14.54,14.23,14.31,1267400,14.31
2011-01-20,13.49,13.53,13.25,13.48,550300,13.48
2011-01-19,13.70,13.74,13.43,13.47,439300,13.47
2011-01-18,13.66,13.76,13.63,13.68,338600,13.68
2011-01-14,13.60,13.65,13.55,13.61,348700,13.61
2011-01-13,13.53,13.57,13.39,13.42,634900,13.42
2011-01-12,12.80,13.09,12.75,13.06,695400,13.06
2011-01-11,12.69,12.69,12.46,12.57,293900,12.57
2011-01-10,12.31,12.41,12.27,12.40,151500,12.40
2011-01-07,12.53,12.58,12.38,12.46,329000,12.46
2011-01-06,12.80,12.80,12.44,12.48,346500,12.48
2011-01-05,12.57,12.76,12.57,12.74,298600,12.74
2011-01-04,12.82,12.85,12.65,12.75,358100,12.75
2011-01-03,12.44,12.65,12.36,12.57,393300,12.57
2010-12-31,12.15,12.37,12.11,12.32,217800,12.32
2010-12-30,12.32,12.38,12.19,12.26,569000,12.26
2010-12-29,12.33,12.42,12.29,12.38,281600,12.38
2010-12-28,12.46,12.46,12.31,12.42,141000,12.42
2010-12-27,12.40,12.48,12.29,12.41,156000,12.41
2010-12-23,12.58,12.59,12.45,12.59,273000,12.59
2010-12-22,12.56,12.64,12.51,12.59,216000,12.59
2010-12-21,12.41,12.52,12.40,12.49,373500,12.49
2010-12-20,12.07,12.08,11.90,11.97,386500,11.97
