Date,Open,High,Low,Close,Volume,Adj Close
2012-06-07,6.07,6.10,5.93,5.94,9126800,4.60
2012-06-06,5.75,5.95,5.74,5.93,9902900,4.59
2012-06-05,5.69,5.78,5.64,5.69,5832700,4.41
2012-06-04,5.63,5.67,5.58,5.63,8508100,4.36
2012-06-01,5.31,5.40,5.25,5.33,8182500,4.13
2012-05-31,5.26,5.36,5.19,5.32,7104900,4.12
2012-05-30,5.34,5.34,5.22,5.25,11455400,4.07
2012-05-29,5.42,5.43,5.34,5.39,14217300,4.17
2012-05-25,5.63,5.70,5.62,5.66,7176300,4.38
2012-05-24,5.73,5.77,5.61,5.67,5075000,4.39
2012-05-23,5.70,5.73,5.57,5.72,6246700,4.43
2012-05-22,5.81,5.89,5.73,5.79,6737700,4.48
2012-05-21,5.67,5.78,5.66,5.74,6652700,4.44
2012-05-18,5.82,5.84,5.71,5.76,9132600,4.46
2012-05-17,5.62,5.65,5.52,5.56,8508000,4.31
2012-05-16,5.87,5.90,5.66,5.67,53014200,4.39
2012-05-15,5.96,5.97,5.79,5.81,10475000,4.50
2012-05-14,6.07,6.09,6.01,6.02,4927200,4.66
2012-05-11,6.14,6.35,6.12,6.23,8820000,4.82
2012-05-10,6.37,6.44,6.32,6.33,9804300,4.90
2012-05-09,5.96,6.07,5.92,6.01,12909100,4.65
2012-05-08,6.36,6.40,6.26,6.37,6772100,4.93
2012-05-07,6.29,6.43,6.27,6.39,10971700,4.95
2012-05-04,6.16,6.22,6.06,6.17,11679900,4.78
2012-05-03,6.03,6.08,6.00,6.04,7828900,4.68
2012-05-02,5.98,6.08,5.94,6.03,22652000,4.67
2012-05-01,6.34,6.45,6.31,6.39,7770200,4.95
2012-04-30,6.39,6.40,6.26,6.33,9461900,4.90
2012-04-27,6.42,6.50,6.32,6.47,9635900,5.01
2012-04-26,6.23,6.38,6.22,6.35,17204700,4.92
2012-04-25,6.58,6.62,6.43,6.52,16140300,5.05
2012-04-24,6.21,6.42,6.21,6.35,9981300,4.92
2012-04-23,6.16,6.26,6.11,6.24,10948700,4.83
2012-04-20,6.23,6.36,6.21,6.27,9268200,4.86
2012-04-19,6.16,6.23,6.08,6.10,28443000,4.72
2012-04-18,6.35,6.46,6.32,6.34,11501900,4.91
2012-04-17,6.46,6.63,6.45,6.55,14447300,5.07
2012-04-16,6.44,6.48,6.30,6.43,10410900,4.98
2012-04-13,6.59,6.59,6.38,6.40,21629700,4.96
2012-04-12,6.61,6.72,6.56,6.70,6791300,5.19
2012-04-11,6.79,6.81,6.64,6.70,12588700,5.19
2012-04-10,6.73,6.76,6.50,6.51,19914900,5.04
2012-04-09,6.97,7.10,6.96,7.00,7944600,5.19
2012-04-05,7.00,7.12,6.97,7.04,9884200,5.22
2012-04-04,7.18,7.25,7.08,7.17,14552000,5.32
2012-04-03,7.57,7.59,7.31,7.36,15653100,5.46
2012-04-02,7.47,7.78,7.45,7.74,8786000,5.74
2012-03-30,7.65,7.71,7.52,7.67,5425700,5.69
2012-03-29,7.54,7.61,7.50,7.59,8782100,5.63
2012-03-28,7.80,7.81,7.57,7.67,17084700,5.69
2012-03-27,7.97,7.98,7.83,7.85,6228000,5.82
2012-03-26,7.99,8.05,7.93,8.02,5918000,5.95
2012-03-23,7.95,8.05,7.86,8.01,5402600,5.94
2012-03-22,8.01,8.05,7.96,8.01,5339100,5.94
2012-03-21,8.33,8.35,8.14,8.16,13919400,6.05
2012-03-20,8.42,8.51,8.36,8.45,5502100,6.27
2012-03-19,8.41,8.62,8.39,8.52,5595200,6.32
2012-03-16,8.23,8.37,8.23,8.33,5346700,6.18
2012-03-15,8.12,8.23,8.03,8.22,4864800,6.10
2012-03-14,8.18,8.20,8.04,8.10,5052800,6.01
2012-03-13,7.96,8.21,7.92,8.17,11755900,6.06
2012-03-12,7.97,7.98,7.83,7.92,5015500,5.88
2012-03-09,8.03,8.11,8.00,8.05,4104400,5.97
2012-03-08,8.00,8.27,7.96,8.20,4980200,6.08
2012-03-07,7.79,7.91,7.72,7.88,3937400,5.85
2012-03-06,7.89,7.93,7.73,7.80,8059000,5.79
2012-03-05,8.31,8.33,8.18,8.22,4332200,6.10
2012-03-02,8.40,8.45,8.34,8.40,2778200,6.23
2012-03-01,8.41,8.47,8.36,8.45,5969800,6.27
2012-02-29,8.48,8.54,8.25,8.30,4660700,6.16
2012-02-28,8.34,8.46,8.29,8.43,2795200,6.25
