Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,41.46,42.02,41.38,41.77,12300,25.74
2011-07-28,42.77,42.98,42.24,42.60,13600,26.25
2011-07-27,43.64,43.64,43.14,43.23,15600,26.64
2011-07-26,44.46,44.52,44.09,44.29,10500,27.29
2011-07-25,43.71,43.85,43.67,43.67,3900,26.91
2011-07-22,44.29,44.29,44.00,44.26,8100,27.27
2011-07-21,44.35,44.78,44.35,44.52,5200,27.43
2011-07-20,44.21,44.43,44.01,44.43,13300,27.37
2011-07-19,43.46,44.03,43.46,44.03,14200,27.13
2011-07-18,43.30,43.30,42.76,43.02,22800,26.51
2011-07-15,44.49,44.79,44.01,44.79,20200,27.60
2011-07-14,44.79,44.79,44.22,44.55,12000,27.45
2011-07-13,43.97,44.27,43.77,44.27,22300,27.28
2011-07-12,42.67,42.79,42.40,42.52,26100,26.20
2011-07-11,44.85,44.85,44.10,44.33,24700,27.31
2011-07-08,44.91,45.24,44.82,45.24,13300,27.87
2011-07-07,45.00,45.12,44.90,45.12,24700,27.80
2011-07-06,44.70,44.83,44.50,44.78,17800,27.59
2011-07-05,44.85,44.97,44.32,44.59,11400,27.47
2011-07-01,44.02,45.05,43.98,45.05,65500,27.76
2011-06-30,43.21,44.04,43.21,44.00,56700,27.11
2011-06-29,42.50,43.01,42.20,42.89,54600,26.43
2011-06-28,44.39,44.90,44.12,44.86,49600,26.69
2011-06-27,45.05,45.62,45.01,45.60,35700,27.13
2011-06-24,43.31,43.52,42.88,43.04,32200,25.60
2011-06-23,41.61,42.38,41.38,42.38,30600,25.21
2011-06-22,40.96,41.40,40.96,41.12,12000,24.46
2011-06-21,40.98,41.24,40.89,41.24,17500,24.53
2011-06-20,41.07,41.08,40.68,40.94,33900,24.35
2011-06-17,41.33,41.61,41.20,41.20,23500,24.51
2011-06-16,41.13,41.14,40.53,40.90,17400,24.33
2011-06-15,42.09,42.19,41.50,41.50,18700,24.69
2011-06-14,42.38,42.86,42.38,42.76,34000,25.44
2011-06-13,42.60,42.67,42.11,42.15,64500,25.07
2011-06-10,43.17,43.44,42.63,43.32,48600,25.77
2011-06-09,42.95,43.23,42.81,43.16,21100,25.68
2011-06-08,44.00,44.12,43.52,43.52,39700,25.89
2011-06-07,45.12,45.18,44.76,44.86,21700,26.69
2011-06-06,45.91,46.09,45.43,45.43,20400,27.03
2011-06-03,45.74,46.33,45.66,45.66,22600,27.16
2011-06-02,46.56,46.87,46.40,46.67,41400,27.76
2011-06-01,47.37,47.49,46.74,46.79,62200,27.83
2011-05-31,47.39,47.39,46.72,47.13,45900,28.04
2011-05-27,45.18,45.21,44.85,45.06,13900,26.81
2011-05-26,45.05,45.17,44.71,45.08,28200,26.82
2011-05-25,44.97,45.53,44.97,45.48,5800,27.06
2011-05-24,45.62,45.89,45.32,45.42,20100,27.02
2011-05-23,45.10,45.50,45.06,45.29,23700,26.94
2011-05-20,46.21,46.39,45.59,45.98,24100,27.35
