Date,Open,High,Low,Close,Volume,Adj Close
2011-04-01,31.82,32.09,31.59,31.87,1290800,31.87
2011-03-31,32.00,32.11,31.75,31.83,732900,31.83
2011-03-30,32.25,32.30,32.08,32.28,529400,32.28
2011-03-29,31.71,31.98,31.65,31.91,527700,31.91
2011-03-28,32.01,32.02,31.65,31.65,1003900,31.65
2011-03-25,32.50,32.59,32.20,32.21,1471700,32.21
2011-03-24,32.10,32.55,31.87,32.38,1339800,32.38
2011-03-23,32.32,32.32,31.62,32.15,1074700,32.15
2011-03-22,32.36,32.43,32.10,32.28,1219400,32.28
2011-03-21,32.49,32.58,32.09,32.42,1537000,32.42
2011-03-18,31.06,31.54,30.83,31.54,1205900,31.54
2011-03-17,32.00,32.00,31.29,31.40,1799300,31.40
2011-03-16,31.10,31.11,29.50,29.88,3163400,29.88
2011-03-15,29.16,31.25,28.95,30.90,5065300,30.90
2011-03-14,30.95,31.30,30.75,31.08,4886900,31.08
2011-03-11,33.49,33.61,33.07,33.45,1109600,33.45
2011-03-10,34.54,34.63,34.20,34.26,541800,34.26
2011-03-09,34.99,35.08,34.72,34.99,515800,34.99
2011-03-08,35.20,35.45,34.98,35.32,527200,35.32
2011-03-07,35.90,36.00,35.14,35.16,611200,35.16
2011-03-04,36.03,36.07,35.63,35.95,423800,35.95
2011-03-03,36.10,36.43,36.01,36.36,516100,36.36
2011-03-02,36.24,36.32,36.01,36.19,413800,36.19
2011-03-01,36.72,36.81,36.26,36.27,742300,36.27
2011-02-28,36.76,36.97,36.71,36.84,575600,36.84
2011-02-25,36.10,36.52,36.08,36.48,444900,36.48
2011-02-24,35.62,35.90,35.46,35.74,781200,35.74
2011-02-23,36.31,36.31,35.58,35.83,790800,35.83
2011-02-22,36.45,36.78,36.06,36.16,1205100,36.16
2011-02-18,36.28,36.46,36.14,36.41,500000,36.41
2011-02-17,35.96,36.47,35.96,36.34,586500,36.34
2011-02-16,35.64,35.93,35.53,35.82,911600,35.82
2011-02-15,34.84,34.88,34.62,34.67,370800,34.67
2011-02-14,34.94,35.13,34.92,35.00,378300,35.00
2011-02-11,34.84,35.03,34.65,34.90,341800,34.90
2011-02-10,34.71,34.91,34.51,34.83,353500,34.83
2011-02-09,35.10,35.10,34.79,35.05,497700,35.05
2011-02-08,35.10,35.38,34.95,35.24,655900,35.24
2011-02-07,34.79,35.09,34.67,34.97,1753800,34.97
2011-02-04,35.84,36.06,35.49,35.63,2184400,35.63
2011-02-03,35.00,36.69,35.00,36.46,2209000,36.46
2011-02-02,34.79,34.96,34.64,34.79,1243300,34.79
2011-02-01,34.61,34.86,34.49,34.74,568800,34.74
2011-01-31,34.61,34.63,34.34,34.34,601200,34.34
2011-01-28,35.34,35.50,34.62,34.78,843900,34.78
2011-01-27,35.29,35.50,35.13,35.37,1202900,35.37
2011-01-26,35.10,35.20,34.87,34.93,713200,34.93
2011-01-25,35.16,35.28,34.80,35.15,1223700,35.15
2011-01-24,34.39,34.97,34.32,34.85,636500,34.85
2011-01-21,34.35,34.56,34.06,34.22,943200,34.22
2011-01-20,35.62,35.66,35.06,35.43,912800,35.43
2011-01-19,36.00,36.20,35.89,35.94,1203200,35.94
2011-01-18,35.76,36.03,35.69,35.87,587100,35.87
2011-01-14,35.40,35.93,35.33,35.88,945800,35.88
2011-01-13,36.05,36.06,35.50,35.62,1439000,35.62
2011-01-12,36.31,36.43,36.11,36.40,490200,36.40
2011-01-11,36.28,36.41,36.03,36.36,520100,36.36
2011-01-10,35.93,36.17,35.75,36.16,384900,36.16
2011-01-07,36.13,36.31,35.72,36.04,899500,36.04
2011-01-06,36.27,36.30,35.89,36.01,361100,36.01
2011-01-05,35.81,36.34,35.75,36.21,471800,36.21
2011-01-04,36.36,36.49,35.96,36.16,650900,36.16
2011-01-03,36.17,36.40,35.98,36.38,474500,36.38
2010-12-31,35.52,35.92,35.45,35.71,324800,35.71
2010-12-30,35.87,35.90,35.50,35.57,247100,35.57
2010-12-29,36.05,36.07,35.80,35.87,272700,35.87
2010-12-28,35.99,35.99,35.64,35.84,285700,35.84
2010-12-27,35.46,35.64,35.42,35.61,221800,35.61
2010-12-23,35.40,35.72,35.28,35.57,366100,35.57
2010-12-22,35.68,35.79,35.32,35.48,475000,35.48
2010-12-21,35.70,36.36,35.66,36.24,1260700,36.24
2010-12-20,35.23,35.40,35.07,35.19,851700,35.19
2010-12-17,35.24,35.48,35.17,35.39,588100,35.39
2010-12-16,35.39,35.68,35.16,35.59,613800,35.59
2010-12-15,35.57,35.90,35.52,35.65,551300,35.65
2010-12-14,35.74,35.77,35.49,35.63,1065200,35.63
2010-12-13,36.13,36.13,35.77,35.88,702800,35.88
2010-12-10,35.81,35.83,35.48,35.83,887300,35.83
2010-12-09,36.36,36.36,35.97,36.20,434900,36.20
2010-12-08,36.31,36.47,35.92,36.36,508100,36.36
2010-12-07,36.35,36.45,36.04,36.10,1120500,36.10
2010-12-06,36.36,36.62,36.25,36.57,446400,36.57
2010-12-03,36.25,36.40,36.09,36.32,814000,36.32
2010-12-02,36.16,36.88,36.03,36.56,684900,36.56
2010-12-01,36.21,36.72,36.21,36.47,1021300,36.47
2010-11-30,35.10,35.66,35.01,35.48,1055300,35.48
2010-11-29,34.87,35.09,34.61,35.00,1642500,35.00
2010-11-26,34.42,34.75,34.40,34.58,591600,34.58
2010-11-24,34.61,35.00,34.50,35.00,921200,35.00
2010-11-23,34.52,34.79,34.39,34.45,1288000,34.45
2010-11-22,35.13,35.43,34.76,35.37,1021100,35.37
2010-11-19,35.17,35.50,35.00,35.40,1204300,35.40
2010-11-18,35.33,35.57,35.27,35.41,1289500,35.41
2010-11-17,34.46,34.63,34.38,34.47,1020400,34.47
2010-11-16,34.03,34.11,33.46,33.67,1309900,33.67
2010-11-15,33.85,33.93,33.64,33.64,959800,33.64
2010-11-12,33.04,33.25,32.77,32.95,451800,32.95
2010-11-11,33.32,33.38,33.10,33.32,354100,33.32
2010-11-10,33.59,33.65,33.09,33.56,862700,33.56
2010-11-09,33.77,33.79,33.19,33.31,485800,33.31
2010-11-08,33.52,33.67,33.40,33.67,363200,33.67
2010-11-05,33.41,33.56,33.09,33.40,685500,33.40
2010-11-04,33.00,33.21,32.93,33.21,632100,33.21
2010-11-03,32.62,32.88,32.37,32.86,704300,32.86
2010-11-02,32.79,32.83,32.61,32.71,951700,32.71
2010-11-01,32.93,33.05,32.45,32.70,1429900,32.70
2010-10-29,33.88,34.26,33.56,33.84,1162400,33.84
2010-10-28,33.68,33.97,33.63,33.82,1116400,33.82
2010-10-27,33.76,33.90,33.39,33.85,709300,33.85
2010-10-26,33.82,34.02,33.63,33.91,1042800,33.91
2010-10-25,33.69,34.00,33.50,33.56,579800,33.56
2010-10-22,33.58,33.62,33.33,33.43,724800,33.43
2010-10-21,33.54,33.68,33.10,33.40,778400,33.40
2010-10-20,32.91,33.34,32.88,33.21,804900,33.21
2010-10-19,32.76,33.12,32.61,32.87,1007900,32.87
2010-10-18,32.60,33.05,32.60,32.95,817200,32.95
2010-10-15,32.35,32.35,31.86,32.13,669600,32.13
2010-10-14,32.35,32.35,32.04,32.22,746400,32.22
2010-10-13,31.89,32.18,31.85,31.95,782700,31.95
2010-10-12,31.62,31.93,31.50,31.89,619300,31.89
2010-10-11,32.20,32.33,32.15,32.24,527000,32.24
2010-10-08,32.08,32.39,31.95,32.26,1534300,32.26
2010-10-07,31.75,31.78,31.34,31.48,1578900,31.48
2010-10-06,31.50,31.60,31.36,31.49,710600,31.49
2010-10-05,31.26,31.60,31.16,31.47,1545600,31.47
2010-10-04,30.67,30.68,30.23,30.48,602600,30.48
2010-10-01,30.80,30.80,30.40,30.54,944900,30.54
2010-09-30,31.16,31.39,30.73,30.92,1376400,30.92
2010-09-29,31.35,31.63,31.32,31.45,857900,31.45
2010-09-28,30.77,30.87,30.45,30.77,809700,30.77
2010-09-27,31.02,31.18,30.82,30.86,712300,30.86
2010-09-24,30.74,31.10,30.65,31.00,493200,31.00
2010-09-23,30.08,30.33,29.87,30.06,824200,30.06
2010-09-22,30.53,30.73,30.22,30.28,613000,30.28
2010-09-21,30.87,31.14,30.74,30.96,717400,30.96
2010-09-20,30.97,31.63,30.85,31.53,587700,31.53
2010-09-17,31.17,31.17,30.78,30.92,775700,30.92
2010-09-16,30.81,31.02,30.74,30.97,852500,30.97
2010-09-15,30.28,30.73,30.20,30.69,874000,30.69
