Date,Open,High,Low,Close,Volume,Adj Close
2010-05-03,79.30,80.19,79.30,80.04,281700,50.26
2010-04-30,81.00,81.49,80.15,80.26,374900,50.40
2010-04-29,80.34,81.06,80.09,80.87,485000,50.78
2010-04-28,80.57,81.56,79.76,80.99,333500,50.86
2010-04-27,82.12,82.48,80.06,80.32,455900,50.44
2010-04-26,83.81,83.94,83.20,83.21,179000,52.25
2010-04-23,82.91,83.59,82.53,83.48,227600,52.42
2010-04-22,82.35,83.39,81.77,83.23,249200,52.27
2010-04-21,83.67,83.67,82.20,82.62,251800,51.88
2010-04-20,82.82,84.02,82.63,83.86,387000,52.66
2010-04-19,81.90,82.43,80.96,82.27,399600,51.66
2010-04-16,84.87,85.17,82.55,82.73,781000,51.95
2010-04-15,85.59,86.53,85.36,86.26,469600,54.17
2010-04-14,86.43,87.69,86.43,87.40,256700,54.88
2010-04-13,86.45,87.30,86.24,87.09,529100,54.69
2010-04-12,84.69,85.35,84.59,84.93,349900,53.33
2010-04-09,84.91,85.86,84.20,85.86,473500,53.92
2010-04-08,82.88,83.58,82.38,83.40,433200,52.37
2010-04-07,85.02,85.03,83.60,83.92,409200,52.70
2010-04-06,84.96,86.10,84.96,85.80,324800,53.88
2010-04-05,85.12,86.56,85.06,86.45,338200,54.29
2010-04-01,84.33,85.05,84.29,85.01,357400,53.38
2010-03-31,81.92,82.52,81.60,82.24,176000,51.64
2010-03-30,81.63,82.18,81.33,82.03,275900,51.51
2010-03-29,81.90,82.40,81.59,81.86,278300,51.41
2010-03-26,81.59,82.40,81.18,82.34,684800,51.71
2010-03-25,80.40,80.85,79.19,79.39,423000,49.85
2010-03-24,81.32,81.33,80.22,80.61,270500,50.62
2010-03-23,81.06,81.62,80.22,81.34,342800,51.08
2010-03-22,80.17,81.07,79.55,80.98,252500,50.85
2010-03-19,80.36,82.08,80.36,80.36,292600,50.46
2010-03-18,81.27,81.54,80.66,81.16,190900,50.97
2010-03-17,81.36,82.61,81.23,82.27,291800,51.66
2010-03-16,80.00,80.67,79.56,80.53,191600,50.57
2010-03-15,79.49,79.73,78.75,79.57,187900,49.97
2010-03-12,80.13,80.29,79.55,79.87,197200,50.16
2010-03-11,79.76,80.05,78.87,79.88,340900,50.16
2010-03-10,78.93,79.97,78.93,79.90,584800,50.17
2010-03-09,80.12,80.82,79.44,80.17,222600,50.34
2010-03-08,80.14,80.95,80.05,80.40,215400,50.49
2010-03-05,79.94,80.64,79.66,80.60,313900,50.61
2010-03-04,79.04,79.58,78.12,78.72,372000,49.43
2010-03-03,79.21,80.60,79.21,80.23,577300,50.38
2010-03-02,79.08,79.76,78.42,79.08,477300,49.66
2010-03-01,79.20,79.57,78.72,79.29,492700,49.79
2010-02-26,78.13,79.24,77.59,79.18,625000,49.72
2010-02-25,74.45,75.93,74.02,75.62,354600,47.49
2010-02-24,75.27,76.19,75.11,75.90,230700,47.66
2010-02-23,76.23,76.31,74.88,75.02,316500,47.11
2010-02-22,75.92,76.57,75.51,75.62,266700,47.49
