Date,Open,High,Low,Close,Volume,Adj Close
2011-04-06,29.53,29.59,29.19,29.26,1890400,24.25
2011-04-05,28.83,29.28,28.78,29.14,2002700,24.16
2011-04-04,28.96,29.09,28.91,28.97,2002200,24.01
2011-04-01,28.18,28.64,28.08,28.46,2399700,23.59
2011-03-31,27.74,27.91,27.60,27.64,1331500,22.91
2011-03-30,27.26,27.55,27.11,27.41,2696900,22.72
2011-03-29,26.83,27.26,26.80,27.24,4166600,22.58
2011-03-28,27.47,27.60,27.23,27.24,4379900,22.58
2011-03-25,27.71,27.85,27.53,27.57,2504300,22.85
2011-03-24,27.68,28.00,27.52,27.96,2386800,23.18
2011-03-23,27.30,27.71,27.24,27.64,1715800,22.91
2011-03-22,27.46,27.49,27.31,27.43,2060100,22.74
2011-03-21,27.79,27.88,27.58,27.83,1616000,23.07
2011-03-18,27.25,27.45,27.00,27.10,2755400,22.46
2011-03-17,26.74,27.01,26.65,26.91,2697300,22.31
2011-03-16,26.28,26.46,25.55,25.94,5701100,21.50
2011-03-15,24.99,25.60,24.86,25.53,3086200,21.16
2011-03-14,26.21,26.39,25.99,26.38,3124800,21.87
2011-03-11,26.07,26.51,26.04,26.43,2591900,21.91
2011-03-10,26.35,26.37,25.93,26.00,2360800,21.55
2011-03-09,27.16,27.20,26.73,26.87,3668700,22.27
2011-03-08,27.16,27.27,27.00,27.10,2059300,22.46
2011-03-07,27.99,28.01,27.32,27.45,2314100,22.75
2011-03-04,27.47,27.82,27.43,27.67,2656300,22.94
2011-03-03,27.20,27.24,26.80,27.04,3576400,22.41
2011-03-02,26.49,26.67,26.44,26.63,1609700,22.07
2011-03-01,26.78,26.91,26.38,26.43,2225600,21.91
2011-02-28,26.61,26.66,26.25,26.39,1628600,21.88
2011-02-25,25.90,26.14,25.80,26.11,2371700,21.64
2011-02-24,26.47,26.53,26.08,26.13,3110600,21.66
2011-02-23,25.62,26.05,25.60,25.79,3788300,21.38
2011-02-22,25.32,25.47,24.87,24.89,2676300,20.63
2011-02-18,24.60,24.71,24.54,24.64,977800,20.43
2011-02-17,24.34,24.65,24.33,24.63,1000100,20.42
2011-02-16,24.04,24.50,24.02,24.49,1982000,20.30
2011-02-15,23.87,23.91,23.69,23.83,1117400,19.75
2011-02-14,23.91,24.03,23.76,23.97,1453800,19.87
2011-02-11,23.41,23.72,23.37,23.70,1602600,19.65
2011-02-10,23.40,23.51,23.19,23.45,2492300,19.44
2011-02-09,24.03,24.04,23.60,23.86,3280000,19.78
2011-02-08,24.67,24.78,24.45,24.77,1725900,20.53
2011-02-07,24.73,24.81,24.51,24.62,2232700,20.41
2011-02-04,25.17,25.21,24.94,25.03,1223800,20.75
2011-02-03,25.24,25.88,24.95,25.29,2848300,20.96
2011-02-02,25.47,25.85,25.46,25.55,3015200,21.18
2011-02-01,25.54,26.27,25.52,26.22,3988600,21.73
2011-01-31,24.35,24.47,24.26,24.42,2604900,20.24
2011-01-28,24.28,24.33,24.01,24.18,2582500,20.04
2011-01-27,24.48,24.51,24.37,24.48,1455500,20.29
2011-01-26,24.36,24.52,24.29,24.49,1616700,20.30
