Date,Open,High,Low,Close,Volume,Adj Close
2013-10-09,24.83,25.01,24.46,24.67,8126900,24.01
2013-10-08,24.51,24.99,24.41,24.74,8380500,24.08
2013-10-07,24.56,25.10,24.42,24.82,5417200,24.16
2013-10-04,24.37,24.92,24.30,24.84,5881400,24.18
2013-10-03,24.40,24.54,24.16,24.27,3793300,23.62
2013-10-02,24.52,24.70,24.38,24.52,4818300,23.87
2013-10-01,24.27,24.79,24.25,24.65,7715700,23.99
2013-09-30,24.53,24.79,24.41,24.75,5487600,24.09
2013-09-27,24.47,25.00,24.40,24.73,5974400,24.07
2013-09-26,24.83,25.20,24.80,25.06,4350500,24.39
2013-09-25,24.77,24.86,24.46,24.85,6244300,24.19
2013-09-24,24.74,24.87,24.39,24.69,4762700,24.03
2013-09-23,25.09,25.13,24.70,24.74,4454700,24.08
2013-09-20,25.35,25.40,25.09,25.14,5364900,24.47
2013-09-19,25.40,25.67,25.13,25.21,6647400,24.54
2013-09-18,25.26,25.43,25.19,25.36,6332900,24.68
2013-09-17,25.41,25.57,25.25,25.30,3733700,24.63
2013-09-16,25.24,25.58,25.24,25.38,4345900,24.70
2013-09-13,25.09,25.22,24.75,25.07,6344000,24.40
2013-09-12,24.47,25.18,24.36,24.97,8530700,24.30
2013-09-11,25.26,25.48,25.14,25.26,6763500,24.59
2013-09-10,25.61,25.70,25.21,25.23,7081300,24.56
2013-09-09,25.50,25.63,25.38,25.39,4030700,24.71
2013-09-06,25.46,25.58,24.98,25.35,4082700,24.67
2013-09-05,25.26,25.61,25.26,25.45,4600600,24.77
2013-09-04,25.92,25.99,25.24,25.32,9326600,24.65
2013-09-03,25.93,26.34,25.81,26.08,4674200,25.39
2013-08-30,26.00,26.14,25.53,25.61,4174400,24.93
2013-08-29,25.59,26.14,25.49,26.05,3413800,25.36
2013-08-28,25.50,25.81,25.28,25.69,5225200,25.01
2013-08-27,25.74,25.90,25.40,25.46,4709300,24.78
2013-08-26,26.28,26.40,26.02,26.03,3289300,25.34
2013-08-23,26.30,26.48,26.18,26.33,3568200,25.63
2013-08-22,26.01,26.46,25.86,26.34,2755300,25.64
2013-08-21,26.09,26.29,25.95,26.04,4067800,25.20
2013-08-20,26.13,26.38,26.04,26.26,3596700,25.41
2013-08-19,26.11,26.57,26.11,26.19,4138300,25.35
2013-08-16,26.30,26.47,26.17,26.24,5682900,25.39
2013-08-15,26.53,26.73,26.34,26.44,5462000,25.59
2013-08-14,27.01,27.03,26.75,26.78,4462500,25.92
2013-08-13,26.89,27.05,26.63,26.96,4536500,26.09
