Date,Open,High,Low,Close,Volume,Adj Close
2012-08-10,37.18,37.50,37.04,37.49,16589500,33.88
2012-08-09,37.32,37.39,37.05,37.23,21159700,33.64
2012-08-08,37.33,37.51,37.03,37.43,22446800,33.82
2012-08-07,37.72,37.80,37.41,37.44,21769500,33.83
2012-08-06,37.58,37.97,37.57,37.61,16362500,33.98
2012-08-03,37.87,38.00,37.47,37.58,24292000,33.96
2012-08-02,37.52,37.76,37.33,37.54,24657600,33.92
2012-08-01,38.14,38.28,37.64,37.64,28003600,34.01
2012-07-31,37.30,38.11,37.30,37.92,36692300,34.26
2012-07-30,37.08,37.69,37.03,37.43,24892300,33.82
2012-07-27,36.47,37.35,36.44,37.14,45572900,33.56
2012-07-26,35.84,36.43,35.83,36.30,34751200,32.80
2012-07-25,34.84,35.52,34.73,35.33,31936700,31.92
2012-07-24,35.46,35.65,34.24,34.63,38629700,31.29
2012-07-23,35.00,35.50,34.89,35.38,27252700,31.97
2012-07-20,35.34,35.50,35.10,35.29,26677300,31.89
2012-07-19,35.85,35.87,35.20,35.48,30349500,32.06
2012-07-18,35.74,36.19,35.63,36.19,25449900,32.70
2012-07-17,35.34,35.90,35.25,35.82,21328400,32.37
2012-07-16,35.22,35.56,35.19,35.42,17691300,32.01
2012-07-13,34.93,35.35,34.85,35.35,19190100,31.94
2012-07-12,35.04,35.10,34.65,34.87,24143600,31.51
2012-07-11,35.42,35.48,35.10,35.26,20684700,31.86
2012-07-10,35.70,35.73,35.39,35.44,21606900,32.02
2012-07-09,35.38,35.54,35.23,35.54,17414000,32.11
2012-07-06,35.04,35.50,34.90,35.44,22049600,32.02
2012-07-05,35.96,35.97,35.53,35.77,22817200,31.92
2012-07-03,36.21,36.21,35.79,36.00,15479800,32.13
2012-07-02,35.70,36.20,35.64,36.20,24801600,32.31
2012-06-29,35.70,35.73,35.44,35.66,30458800,31.83
2012-06-28,35.03,35.40,34.95,35.39,21426600,31.59
2012-06-27,35.05,35.28,35.02,35.19,16185100,31.41
2012-06-26,34.93,35.12,34.85,34.98,20488400,31.22
2012-06-25,34.96,35.05,34.77,34.95,87787000,31.19
2012-06-22,35.21,35.33,34.99,35.17,87136400,31.39
2012-06-21,35.44,35.65,34.98,35.03,28404000,31.26
2012-06-20,35.38,35.63,35.20,35.41,23353100,31.60
2012-06-19,35.78,35.80,35.19,35.47,26838900,31.66
2012-06-18,35.66,35.98,35.60,35.63,22627200,31.80
2012-06-15,35.93,36.00,35.61,35.71,41585800,31.87
2012-06-14,34.92,35.92,34.88,35.69,31612200,31.85
2012-06-13,34.94,35.06,34.72,34.98,26546000,31.22
2012-06-12,34.63,34.99,34.42,34.98,27812900,31.22
2012-06-11,34.72,35.00,34.56,34.59,26192000,30.87
2012-06-08,34.13,34.66,34.11,34.55,27959400,30.84
2012-06-07,34.72,34.74,34.16,34.16,42417600,30.49
2012-06-06,34.19,34.56,34.05,34.56,27729800,30.84
2012-06-05,34.09,34.26,33.95,34.06,24424900,30.40
2012-06-04,33.91,34.27,33.85,34.15,26700400,30.48
2012-06-01,34.10,34.21,33.78,33.90,29091800,30.26
2012-05-31,33.82,34.41,33.79,34.17,32259000,30.50
2012-05-30,33.72,34.11,33.70,33.84,30160800,30.20
2012-05-29,33.89,33.98,33.70,33.94,22911100,30.29
2012-05-25,33.66,33.85,33.52,33.69,22284100,30.07
2012-05-24,33.38,33.70,33.36,33.64,24082600,30.02
2012-05-23,33.34,33.65,33.08,33.36,25725200,29.77
2012-05-22,33.56,33.81,33.44,33.54,28027300,29.93
2012-05-21,33.71,33.94,33.56,33.63,24667800,30.01
