Date,Open,High,Low,Close,Volume,Adj Close
2011-05-06,79.93,79.99,78.68,79.10,598900,79.10
2011-05-05,79.55,80.16,79.24,79.56,687700,79.56
2011-05-04,79.79,80.20,79.54,79.76,455500,79.76
2011-05-03,80.33,80.37,79.20,79.69,640200,79.69
2011-05-02,80.77,80.77,79.99,80.16,692200,80.16
2011-04-29,79.60,80.19,79.58,79.68,558000,79.68
2011-04-28,78.89,79.66,78.65,79.50,503900,79.50
2011-04-27,78.09,78.43,77.65,78.29,714300,78.29
2011-04-26,78.77,78.79,78.20,78.66,776700,78.66
2011-04-25,79.29,79.53,78.89,79.51,936300,79.51
2011-04-21,77.92,78.31,77.67,77.80,476700,77.80
2011-04-20,77.28,77.43,76.92,77.26,525200,77.26
2011-04-19,76.30,76.41,75.85,76.12,939400,76.12
2011-04-18,76.98,77.36,76.84,77.25,825400,77.25
2011-04-15,77.74,78.09,77.47,77.64,513600,77.64
2011-04-14,77.77,78.09,77.32,77.88,713600,77.88
2011-04-13,78.34,78.39,77.60,77.98,723100,77.98
2011-04-12,76.65,77.56,76.63,77.20,1038800,77.20
2011-04-11,77.01,77.11,76.26,76.50,1058500,76.50
2011-04-08,78.56,78.64,77.68,77.88,1188400,77.88
2011-04-07,77.86,77.86,75.95,77.21,1641600,77.21
2011-04-06,77.14,77.87,76.92,77.35,1959300,77.35
2011-04-05,77.51,78.33,77.22,77.63,2072100,77.63
2011-04-04,80.21,80.21,79.41,79.48,961600,79.48
2011-04-01,80.53,81.00,79.80,80.51,744300,80.51
2011-03-31,80.73,80.77,80.20,80.25,532800,80.25
2011-03-30,80.52,81.52,80.26,80.96,846200,80.96
2011-03-29,79.57,80.07,79.42,79.71,1137200,79.71
2011-03-28,80.85,81.23,80.50,80.55,711000,80.55
2011-03-25,80.99,81.09,80.52,80.76,1007000,80.76
2011-03-24,80.28,81.79,80.20,81.19,1509300,81.19
2011-03-23,81.86,82.72,80.95,82.14,937200,82.14
2011-03-22,82.98,83.23,82.52,83.00,1217500,83.00
2011-03-21,83.50,84.28,82.43,83.75,1708500,83.75
2011-03-18,79.90,81.58,79.79,81.56,1465800,81.56
2011-03-17,82.26,82.69,81.24,82.06,1528000,82.06
2011-03-16,82.11,82.78,79.10,80.41,2980100,80.41
2011-03-15,77.50,82.06,77.36,81.39,5117600,81.39
2011-03-14,80.58,81.97,80.23,81.73,3626600,81.73
2011-03-11,85.30,86.09,84.76,85.65,1792900,85.65
2011-03-10,88.07,88.49,87.35,87.52,587900,87.52
2011-03-09,89.65,90.00,89.36,89.54,454800,89.54
2011-03-08,89.67,90.33,89.11,89.99,426600,89.99
2011-03-07,90.32,90.58,88.87,89.02,578000,89.02
2011-03-04,91.61,91.85,90.20,90.99,440400,90.99
2011-03-03,91.80,92.20,91.50,92.19,541400,92.19
2011-03-02,91.91,92.16,91.11,91.53,643000,91.53
2011-03-01,93.72,93.90,92.55,92.84,993100,92.84
