Date,Open,High,Low,Close,Volume,Adj Close
2012-06-15,43.92,44.36,43.78,44.34,3864500,39.67
2012-06-14,43.02,43.55,42.89,43.39,2608000,38.82
2012-06-13,42.96,43.34,42.69,42.82,2282000,38.31
2012-06-12,43.56,43.66,42.94,43.60,3027500,38.32
2012-06-11,44.14,44.14,43.21,43.22,2684300,37.99
2012-06-08,43.23,43.56,42.99,43.55,2580800,38.28
2012-06-07,44.36,44.45,43.55,43.64,2907300,38.36
2012-06-06,43.31,43.89,43.26,43.87,2946800,38.56
2012-06-05,42.92,43.07,42.62,42.89,2618000,37.70
2012-06-04,42.90,42.98,42.30,42.60,3311800,37.44
2012-06-01,42.20,42.45,41.83,42.17,6982000,37.07
2012-05-31,43.04,43.32,42.31,43.07,4115300,37.86
2012-05-30,43.23,43.26,42.65,42.83,4543600,37.65
2012-05-29,44.14,44.46,43.77,43.98,3985000,38.66
2012-05-25,43.85,44.23,43.70,43.89,4026700,38.58
2012-05-24,44.36,44.44,43.64,43.76,6817200,38.46
2012-05-23,43.94,44.04,43.21,44.03,5580600,38.70
2012-05-22,44.83,45.10,44.15,44.39,4068700,39.02
2012-05-21,44.08,44.60,43.95,44.53,3519400,39.14
2012-05-18,44.23,44.34,43.69,43.83,4903500,38.53
2012-05-17,44.19,44.35,43.71,43.71,4086500,38.42
2012-05-16,44.92,45.08,44.31,44.31,5027200,38.95
2012-05-15,43.93,44.21,43.49,43.63,5826900,38.35
2012-05-14,43.97,44.50,43.89,44.16,4395800,38.82
2012-05-11,44.79,45.55,44.75,44.99,2968300,39.55
2012-05-10,45.71,45.74,45.37,45.44,3970200,39.94
2012-05-09,44.48,45.02,44.23,44.65,7991400,39.25
2012-05-08,45.90,46.03,45.07,45.83,6423700,40.28
2012-05-07,46.44,47.15,46.40,47.05,3449900,41.36
2012-05-04,47.16,47.26,46.31,46.51,4298200,40.88
2012-05-03,47.76,47.95,47.32,47.39,2917500,41.65
2012-05-02,47.66,47.79,47.35,47.62,6236600,41.86
2012-05-01,48.15,48.64,48.06,48.42,3947200,42.56
2012-04-30,47.91,48.18,47.72,48.11,4331900,42.29
2012-04-27,48.45,48.56,48.00,48.37,2334000,42.52
2012-04-26,47.96,48.59,47.81,48.37,3216900,42.52
2012-04-25,48.31,48.41,47.65,48.02,2749900,42.21
2012-04-24,47.00,47.60,46.94,47.18,3866700,41.47
2012-04-23,46.74,47.09,46.51,46.91,9688600,41.23
2012-04-20,47.82,48.29,47.80,48.15,5050100,42.32
2012-04-19,48.17,48.33,47.60,47.72,9205200,41.94
2012-04-18,48.69,49.35,48.58,48.98,5650300,43.05
2012-04-17,49.04,49.37,48.70,49.22,2512900,43.26
2012-04-16,48.71,48.80,48.18,48.59,3711400,42.71
2012-04-13,48.28,48.30,47.55,47.77,7094000,41.99
2012-04-12,48.44,49.22,48.40,49.04,4713000,43.11
2012-04-11,49.27,49.31,48.43,48.52,5365100,42.65
2012-04-10,49.28,49.46,48.36,48.39,10255500,42.53
2012-04-09,49.66,50.12,49.53,49.84,2879400,43.81
2012-04-05,49.63,50.18,49.62,49.87,5209700,43.83
2012-04-04,50.01,50.40,49.81,50.27,7290200,44.19
2012-04-03,51.77,51.88,50.81,51.00,6532500,44.83
2012-04-02,51.92,52.50,51.50,52.36,5092700,46.02
2012-03-30,50.88,51.34,50.51,51.12,6821700,44.93
2012-03-29,49.74,50.59,49.70,50.52,10387000,44.41
2012-03-28,50.96,51.47,50.49,51.14,11188300,44.95
2012-03-27,51.21,51.75,50.87,50.90,27055300,44.74
2012-03-26,54.47,54.87,54.29,54.79,2098000,48.16
2012-03-23,53.64,54.14,53.37,54.06,2863300,47.52
2012-03-22,53.68,54.36,53.64,54.05,2541800,47.51
2012-03-21,55.10,55.16,54.68,54.94,2550100,48.29
2012-03-20,55.23,55.58,55.02,55.32,2061000,48.63
2012-03-19,55.50,56.16,55.40,55.97,2230500,49.20
2012-03-16,55.04,55.45,54.98,55.35,1922500,48.65
2012-03-15,54.72,55.03,54.55,54.81,2124800,48.18
2012-03-14,55.16,55.23,54.48,54.63,2894600,48.02
2012-03-13,55.50,56.00,55.27,56.00,1879200,48.56
2012-03-12,55.10,55.44,54.83,55.37,3010800,48.02
2012-03-09,55.41,55.73,55.30,55.38,2110800,48.03
2012-03-08,55.33,56.14,55.20,55.94,2328800,48.51
2012-03-07,54.17,54.70,53.98,54.51,5137200,47.27
2012-03-06,54.91,55.12,54.33,54.59,3216300,47.34
2012-03-05,56.21,56.40,55.80,56.30,1984600,48.82
2012-03-02,56.06,56.29,55.94,56.24,3220900,48.77
2012-03-01,56.40,56.89,56.27,56.81,2641400,49.27
2012-02-29,56.95,57.06,55.96,56.07,2903000,48.62
2012-02-28,56.22,56.60,56.01,56.49,2548700,48.99
2012-02-27,55.91,56.43,55.85,56.23,2666100,48.76
2012-02-24,56.45,56.72,56.38,56.46,2329400,48.96
2012-02-23,55.70,56.13,55.47,56.12,3401800,48.67
2012-02-22,55.20,55.48,55.00,55.25,3276900,47.91
2012-02-21,54.97,55.51,54.94,55.24,4212700,47.90
2012-02-17,54.90,55.13,54.70,55.08,4734300,47.77
2012-02-16,53.40,54.54,53.28,54.46,2280700,47.23
2012-02-15,53.62,53.73,53.29,53.42,2155600,46.33
2012-02-14,54.08,54.16,53.43,53.96,2136300,46.79
2012-02-13,54.37,54.40,53.86,54.16,2113800,46.97
2012-02-10,53.68,53.75,53.35,53.65,2105500,46.53
2012-02-09,55.00,55.14,54.46,54.53,2325300,47.29
2012-02-08,54.09,54.50,54.03,54.46,1981500,47.23
2012-02-07,53.78,54.49,53.54,54.35,2157100,47.13
2012-02-06,53.30,53.95,53.27,53.94,2426500,46.78
2012-02-03,53.34,54.30,53.26,54.22,3063500,47.02
2012-02-02,53.58,54.02,53.39,53.79,3126900,46.65
2012-02-01,53.31,53.68,53.01,53.30,2304800,46.22
2012-01-31,53.28,53.29,52.58,52.97,3533900,45.94
2012-01-30,52.43,52.64,52.17,52.64,2126400,45.65
2012-01-27,52.86,53.19,52.66,52.90,2173700,45.88
2012-01-26,53.32,53.41,52.79,52.92,2119600,45.89
2012-01-25,52.16,53.28,51.86,53.20,2696400,46.14
2012-01-24,52.17,52.56,52.08,52.56,2017500,45.58
2012-01-23,51.96,52.23,51.88,52.11,2031100,45.19
2012-01-20,51.36,51.86,51.25,51.86,3791600,44.97
2012-01-19,52.10,52.19,51.72,52.16,2892100,45.23
2012-01-18,51.34,51.77,51.12,51.67,2932400,44.81
2012-01-17,50.78,51.43,50.72,51.01,2894800,44.24
2012-01-13,49.65,49.70,48.82,49.63,3921300,43.04
2012-01-12,50.44,50.62,49.89,50.17,3505900,43.51
2012-01-11,50.51,50.87,50.28,50.84,2572900,44.09
2012-01-10,51.77,51.88,51.44,51.51,2274100,44.67
2012-01-09,51.11,51.37,50.56,51.25,2471200,44.44
2012-01-06,51.36,51.39,50.60,50.75,2166700,44.01
2012-01-05,51.36,51.39,50.94,51.21,2800000,44.41
2012-01-04,52.28,52.42,51.60,52.27,3252500,45.33
2012-01-03,52.11,52.75,52.07,52.47,3566000,45.50
2011-12-30,51.09,51.55,50.90,51.11,2680800,44.32
2011-12-29,50.04,50.87,49.97,50.81,2378500,44.06
2011-12-28,50.55,50.55,49.57,49.77,1935500,43.16
2011-12-27,50.50,50.89,50.47,50.66,1590900,43.93
2011-12-23,50.34,50.49,50.03,50.48,2377000,43.78
2011-12-22,49.63,49.78,49.30,49.62,1983100,43.03
2011-12-21,48.51,49.18,48.36,48.99,2781700,42.48
2011-12-20,48.30,48.68,48.22,48.46,2662100,42.02
2011-12-19,47.69,47.82,47.00,47.09,3294500,40.84
2011-12-16,47.56,47.87,47.07,47.26,3342100,40.98
2011-12-15,48.50,48.66,47.76,47.86,2928300,41.50
