Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,17.37,17.83,17.27,17.56,4442800,16.99
2011-07-28,17.63,17.77,17.51,17.51,2934900,16.94
2011-07-27,18.06,18.07,17.56,17.61,5183700,17.04
2011-07-26,18.00,18.25,17.93,18.15,2975200,17.56
2011-07-25,18.18,18.24,18.01,18.01,3571000,17.43
2011-07-22,18.55,18.57,18.20,18.25,3270300,17.66
2011-07-21,18.43,18.69,18.28,18.67,3254700,18.06
2011-07-20,18.43,18.43,18.20,18.30,2261700,17.71
2011-07-19,18.29,18.42,18.15,18.37,3254700,17.77
2011-07-18,18.37,18.42,18.01,18.16,3536600,17.57
2011-07-15,18.46,18.52,18.26,18.43,2992700,17.83
2011-07-14,18.65,18.83,18.42,18.46,2389200,17.86
2011-07-13,18.68,18.73,18.52,18.57,2800400,17.97
2011-07-12,18.34,18.78,18.34,18.63,2773000,18.02
2011-07-11,18.53,18.60,18.30,18.42,3840000,17.82
2011-07-08,18.93,18.98,18.56,18.65,6184000,18.04
2011-07-07,19.36,19.43,19.03,19.03,5648000,18.41
2011-07-06,19.25,19.46,19.08,19.24,3641600,18.62
2011-07-05,19.55,19.58,19.18,19.24,4577000,18.62
2011-07-01,19.50,19.70,19.39,19.53,5232100,18.90
2011-06-30,19.42,19.63,19.32,19.42,6929000,18.79
2011-06-29,19.21,19.45,18.99,19.34,7413900,18.71
2011-06-28,18.93,19.16,18.77,19.16,6777200,18.54
2011-06-27,18.90,19.03,18.88,18.95,5078600,18.33
2011-06-24,18.61,19.04,18.61,18.90,6683200,18.29
2011-06-23,18.15,18.76,18.03,18.74,13075600,18.13
2011-06-22,18.39,18.52,18.28,18.29,3204800,17.70
2011-06-21,18.41,18.50,18.25,18.42,5333000,17.82
2011-06-20,18.12,18.32,18.03,18.28,2729100,17.69
2011-06-17,18.17,18.37,18.04,18.18,4993900,17.59
2011-06-16,17.77,18.14,17.66,18.08,4636600,17.49
2011-06-15,17.96,17.96,17.52,17.59,4329000,17.02
2011-06-14,17.81,18.14,17.75,18.10,5784900,17.51
2011-06-13,17.19,17.76,17.09,17.63,4942400,17.06
2011-06-10,17.41,17.55,17.10,17.12,4287600,16.56
2011-06-09,17.60,17.64,17.38,17.47,5157300,16.90
2011-06-08,17.37,17.63,17.33,17.62,5281200,17.05
2011-06-07,17.64,17.64,17.42,17.43,3997500,16.86
2011-06-06,17.70,17.80,17.53,17.53,3671600,16.96
2011-06-03,17.98,18.06,17.75,17.76,4273700,17.18
2011-06-02,18.83,18.83,18.11,18.11,4965900,17.52
2011-06-01,18.95,19.05,18.74,18.90,4777300,18.29
2011-05-31,18.78,19.02,18.66,19.02,4251800,18.40
2011-05-27,18.55,18.59,18.51,18.54,2649100,17.94
2011-05-26,18.26,18.54,18.25,18.49,3824200,17.85
2011-05-25,18.47,18.51,18.16,18.30,3224300,17.67
2011-05-24,18.62,18.77,18.52,18.55,2882100,17.91
2011-05-23,18.56,18.70,18.46,18.64,3127000,18.00
2011-05-20,18.67,18.87,18.54,18.76,4185100,18.11
2011-05-19,18.41,18.56,18.24,18.56,3840000,17.92
2011-05-18,18.47,18.55,18.08,18.42,4366400,17.78
2011-05-17,18.42,18.60,18.40,18.56,3959800,17.92
2011-05-16,18.52,18.58,18.38,18.51,3610200,17.87
2011-05-13,18.88,18.88,18.40,18.53,5416300,17.89
2011-05-12,18.23,18.98,18.22,18.84,9486300,18.19
2011-05-11,17.90,18.25,17.82,18.01,9765800,17.39
2011-05-10,17.69,18.43,17.63,17.95,8042300,17.33
2011-05-09,18.77,18.77,17.62,17.75,12282600,17.14
2011-05-06,19.40,19.47,18.73,18.89,4870000,18.24
2011-05-05,19.33,19.43,19.16,19.22,3612500,18.56
2011-05-04,19.85,19.98,19.26,19.37,5371400,18.70
2011-05-03,19.90,20.12,19.75,19.78,7720100,19.10
2011-05-02,19.96,19.96,19.80,19.92,3912700,19.23
2011-04-29,19.75,19.95,19.67,19.90,3500000,19.21
2011-04-28,19.70,19.80,19.47,19.77,3357000,19.09
2011-04-27,19.60,19.75,19.60,19.70,2946600,19.02
2011-04-26,19.35,19.54,19.25,19.54,2403400,18.86
2011-04-25,19.41,19.45,19.17,19.24,2256800,18.57
2011-04-21,19.52,19.59,19.41,19.49,1326600,18.82
2011-04-20,19.43,19.51,19.24,19.38,2539100,18.71
2011-04-19,19.45,19.54,19.18,19.24,2819000,18.57
2011-04-18,19.43,19.63,19.40,19.48,3212300,18.81
2011-04-15,19.45,19.73,19.36,19.63,3349800,18.95
2011-04-14,19.35,19.44,19.18,19.40,2340800,18.73
2011-04-13,19.49,19.61,19.35,19.44,2508200,18.77
2011-04-12,19.16,19.51,19.05,19.50,3358300,18.83
2011-04-11,19.30,19.42,19.15,19.18,2236700,18.52
2011-04-08,19.41,19.53,19.25,19.31,3097300,18.64
2011-04-07,19.24,19.46,19.13,19.31,4322200,18.64
2011-04-06,19.01,19.39,19.00,19.30,5608500,18.63
2011-04-05,18.94,19.09,18.88,18.90,2533300,18.25
2011-04-04,19.33,19.44,19.00,19.02,2577400,18.36
2011-04-01,19.30,19.65,19.30,19.32,3516000,18.65
2011-03-31,19.66,19.70,19.13,19.19,4473800,18.53
2011-03-30,19.75,19.79,19.55,19.71,2795100,19.03
2011-03-29,19.79,19.85,19.43,19.60,2826100,18.92
2011-03-28,19.85,19.99,19.77,19.77,2362700,19.09
2011-03-25,19.70,19.96,19.67,19.82,3210800,19.13
2011-03-24,19.39,19.80,19.37,19.61,4786300,18.93
2011-03-23,19.08,19.10,18.85,19.00,2372200,18.34
2011-03-22,19.08,19.12,18.78,19.04,2461100,18.38
2011-03-21,19.26,19.34,19.09,19.10,2848700,18.44
2011-03-18,18.72,19.11,18.65,19.06,3864000,18.40
2011-03-17,18.68,18.88,18.41,18.49,2353600,17.85
2011-03-16,18.91,18.94,18.24,18.46,5119100,17.82
2011-03-15,18.61,19.02,18.40,18.90,3008200,18.25
2011-03-14,19.39,19.39,18.85,18.89,4002700,18.24
2011-03-11,19.39,19.57,19.20,19.49,2597000,18.82
2011-03-10,19.47,19.74,19.32,19.36,6855300,18.69
2011-03-09,19.02,19.68,19.02,19.61,7043800,18.93
2011-03-08,18.39,18.81,18.30,18.80,3167500,18.15
2011-03-07,18.50,18.64,18.28,18.40,2398200,17.76
2011-03-04,18.75,18.89,18.28,18.42,2500300,17.78
2011-03-03,18.57,18.86,18.44,18.74,2691200,18.09
2011-03-02,18.45,18.54,18.27,18.49,2668200,17.85
2011-03-01,18.84,18.87,18.44,18.47,3177700,17.83
2011-02-28,18.91,19.14,18.61,18.63,4249400,17.99
2011-02-25,18.38,18.95,18.31,18.87,5944600,18.22
2011-02-24,18.42,18.73,18.06,18.29,6332700,17.62
2011-02-23,18.65,18.75,18.33,18.48,4631100,17.80
2011-02-22,18.46,18.94,18.37,18.69,4139300,18.00
2011-02-18,18.78,18.80,18.51,18.63,2425000,17.95
2011-02-17,18.47,18.77,18.26,18.74,3011600,18.05
2011-02-16,18.26,18.63,18.26,18.53,1839700,17.85
2011-02-15,18.20,18.41,18.11,18.24,2592500,17.57
2011-02-14,18.45,18.50,18.22,18.26,3388400,17.59
2011-02-11,18.36,18.65,18.35,18.49,3607700,17.81
2011-02-10,18.49,18.57,18.24,18.44,3920100,17.76
2011-02-09,18.68,18.74,18.45,18.59,4241600,17.91
2011-02-08,18.04,18.81,18.01,18.77,7600800,18.08
2011-02-07,18.53,18.55,17.98,17.99,6474700,17.33
2011-02-04,18.50,18.98,18.17,18.56,12745700,17.88
2011-02-03,17.10,17.60,17.06,17.56,5596200,16.92
2011-02-02,17.14,17.14,16.84,17.09,3372300,16.46
2011-02-01,16.56,17.17,16.50,17.15,4091000,16.52
2011-01-31,16.53,16.80,16.43,16.45,3771300,15.85
2011-01-28,16.85,16.93,16.47,16.55,2546100,15.94
2011-01-27,17.06,17.07,16.81,16.81,3157200,16.19
2011-01-26,16.82,17.09,16.73,17.07,3859400,16.44
2011-01-25,16.94,17.00,16.65,16.77,4620300,16.15
2011-01-24,17.00,17.11,16.78,17.01,3473300,16.39
2011-01-21,17.45,17.50,17.23,17.25,3581000,16.62
2011-01-20,16.82,17.32,16.76,17.30,4097700,16.67
2011-01-19,17.23,17.27,16.83,16.85,2755300,16.23
2011-01-18,17.01,17.24,17.00,17.24,2844400,16.61
2011-01-14,16.80,17.08,16.75,17.01,3044800,16.39
2011-01-13,16.60,16.95,16.56,16.81,4190400,16.19
2011-01-12,16.93,16.93,16.41,16.83,6663600,16.21
2011-01-11,16.98,17.00,16.77,16.87,2606800,16.25
2011-01-10,16.88,17.04,16.75,16.92,3485500,16.30
2011-01-07,16.55,16.94,16.53,16.93,4515400,16.31
2011-01-06,16.50,16.98,16.38,16.56,5844500,15.95
2011-01-05,16.25,16.58,16.24,16.45,4497000,15.85
2011-01-04,16.42,16.49,16.17,16.25,5314300,15.65
2011-01-03,17.21,17.21,16.30,16.42,8878300,15.82
2010-12-31,17.56,17.56,17.17,17.22,2329100,16.59
2010-12-30,17.42,17.62,17.37,17.54,1700600,16.90
2010-12-29,17.45,17.70,17.45,17.48,1764100,16.84
2010-12-28,17.51,17.58,17.38,17.39,1423700,16.75
2010-12-27,17.46,17.52,17.32,17.43,1396100,16.79
2010-12-23,17.62,17.70,17.34,17.47,1954900,16.83
2010-12-22,17.49,17.69,17.47,17.65,3345700,17.00
2010-12-21,17.36,17.58,17.16,17.51,2545400,16.87
2010-12-20,17.19,17.44,17.13,17.28,2503700,16.65
2010-12-17,17.45,17.55,17.12,17.18,4034700,16.55
2010-12-16,17.08,17.49,17.06,17.48,4254000,16.84
2010-12-15,17.15,17.32,16.73,16.95,6012300,16.33
2010-12-14,17.19,17.36,16.98,17.14,4567800,16.51
2010-12-13,17.81,17.81,17.10,17.11,3977100,16.48
2010-12-10,17.40,17.76,17.30,17.74,3142500,17.09
2010-12-09,17.31,17.71,17.30,17.36,7621700,16.72
2010-12-08,17.17,17.29,16.91,17.12,3475000,16.49
2010-12-07,17.05,17.36,17.04,17.19,5758100,16.56
2010-12-06,16.88,16.98,16.76,16.92,3924700,16.30
2010-12-03,16.84,16.96,16.69,16.90,4013600,16.28
2010-12-02,16.51,16.91,16.41,16.85,4912700,16.23
2010-12-01,16.09,16.53,16.05,16.50,6015100,15.89
2010-11-30,16.04,16.09,15.67,15.83,8774100,15.25
2010-11-29,16.06,16.28,15.81,16.19,4172300,15.60
2010-11-26,16.28,16.38,16.10,16.18,1479500,15.55
2010-11-24,16.23,16.40,16.01,16.35,3319500,15.71
2010-11-23,16.46,16.48,16.10,16.19,4453600,15.56
2010-11-22,16.22,16.66,16.03,16.60,8784300,15.95
2010-11-19,15.53,15.77,15.46,15.64,5399700,15.03
2010-11-18,15.43,15.67,15.41,15.58,5075500,14.97
2010-11-17,15.21,15.38,15.15,15.36,4532000,14.76
2010-11-16,14.98,15.24,14.96,15.24,4886600,14.64
2010-11-15,15.07,15.30,15.01,15.01,2888500,14.42
2010-11-12,14.89,15.14,14.87,14.99,3527800,14.40
2010-11-11,15.09,15.14,14.79,15.00,4340900,14.41
2010-11-10,15.00,15.28,14.83,15.27,3925200,14.67
2010-11-09,15.49,15.50,14.98,15.03,6853900,14.44
2010-11-08,15.14,15.58,15.07,15.54,4049300,14.93
2010-11-05,15.45,15.45,15.04,15.10,4344300,14.51
2010-11-04,15.47,15.57,15.19,15.41,5075000,14.81
2010-11-03,15.24,15.73,15.05,15.38,4569000,14.78
2010-11-02,15.55,15.58,15.21,15.27,3982000,14.67
2010-11-01,15.62,15.75,15.35,15.52,3097100,14.91
2010-10-29,15.56,15.65,15.42,15.55,2547800,14.94
2010-10-28,15.81,15.95,15.40,15.55,3047200,14.94
2010-10-27,15.67,15.75,15.56,15.72,3418500,15.11
2010-10-26,15.65,15.84,15.40,15.80,4081100,15.18
2010-10-25,15.76,15.98,15.61,15.74,3494600,15.13
2010-10-22,15.65,15.77,15.54,15.63,2369900,15.02
2010-10-21,15.45,15.80,15.40,15.63,3809000,15.02
2010-10-20,15.44,15.54,15.26,15.43,3887800,14.83
2010-10-19,15.57,15.75,15.37,15.37,5794500,14.77
2010-10-18,15.40,15.78,15.35,15.67,5713700,15.06
2010-10-15,15.40,15.46,15.24,15.36,4461100,14.76
2010-10-14,15.15,15.48,15.05,15.31,6362200,14.71
2010-10-13,14.92,15.32,14.89,15.07,6451500,14.48
2010-10-12,14.81,14.90,14.59,14.84,8752600,14.26
2010-10-11,15.05,15.06,14.71,14.84,9212300,14.26
2010-10-08,16.12,16.12,14.82,15.01,16604900,14.42
2010-10-07,16.13,16.27,16.02,16.27,3776700,15.63
2010-10-06,16.07,16.23,15.98,16.04,3363800,15.41
2010-10-05,15.91,16.19,15.91,16.13,5323200,15.50
2010-10-04,16.19,16.26,15.72,15.77,4552500,15.15
2010-10-01,16.19,16.33,15.92,16.26,6623700,15.62
2010-09-30,15.44,16.09,15.44,16.02,8977800,15.39
2010-09-29,15.27,15.59,15.26,15.42,3781100,14.82
2010-09-28,15.38,15.38,15.14,15.27,5254400,14.67
2010-09-27,15.55,15.55,15.04,15.22,6073500,14.63
2010-09-24,15.84,15.84,15.37,15.65,4153800,15.04
2010-09-23,15.44,15.98,15.39,15.73,3618200,15.12
2010-09-22,15.72,15.80,15.48,15.48,5902800,14.88
2010-09-21,16.25,16.34,15.66,15.72,5537300,15.11
2010-09-20,16.00,16.27,15.71,16.23,5622000,15.60
2010-09-17,17.02,17.04,15.68,15.85,16040100,15.23
2010-09-16,17.07,17.11,16.91,17.02,2535800,16.36
2010-09-15,16.90,17.11,16.86,17.10,2515800,16.43
2010-09-14,17.15,17.21,16.91,16.95,2712600,16.29
2010-09-13,16.99,17.19,16.96,17.16,3072200,16.49
2010-09-10,17.02,17.08,16.77,16.84,3861200,16.18
2010-09-09,16.91,17.06,16.77,17.02,4034000,16.36
2010-09-08,16.34,16.89,16.34,16.75,5275800,16.10
2010-09-07,16.17,16.45,16.01,16.37,5640300,15.73
2010-09-03,16.03,16.31,16.03,16.21,5427100,15.58
2010-09-02,16.71,16.74,15.89,16.04,10520700,15.41
2010-09-01,16.51,16.78,16.44,16.59,3313200,15.94
2010-08-31,16.38,16.52,16.25,16.38,3882000,15.74
2010-08-30,16.57,16.60,16.37,16.40,2690400,15.76
