Date,Open,High,Low,Close,Volume,Adj Close
2011-07-01,100.03,100.34,98.10,99.90,2416200,99.90
2011-06-30,97.25,101.10,97.02,100.23,2388300,100.23
2011-06-29,97.55,97.67,95.90,96.82,1751600,96.82
2011-06-28,97.53,99.99,96.75,97.18,2134500,97.18
2011-06-27,94.06,97.99,93.08,97.60,1843800,97.60
2011-06-24,95.35,95.91,93.65,94.24,1632700,94.24
2011-06-23,92.79,96.02,92.33,95.96,2206100,95.96
2011-06-22,94.30,96.34,94.03,94.27,1446900,94.27
2011-06-21,91.80,94.63,91.22,94.52,1373700,94.52
2011-06-20,90.37,91.74,90.07,91.05,1051900,91.05
2011-06-17,91.77,92.52,90.42,90.79,1604700,90.79
2011-06-16,91.31,91.84,88.76,90.46,2071800,90.46
2011-06-15,93.81,95.17,91.16,91.31,2244000,91.31
2011-06-14,93.90,96.52,93.65,94.91,1687100,94.91
2011-06-13,93.37,94.77,92.26,92.82,1270200,92.82
2011-06-10,94.24,95.41,93.00,93.46,1631400,93.46
2011-06-09,92.85,95.06,92.72,94.60,1868200,94.60
2011-06-08,93.64,94.04,91.26,92.31,2052600,92.31
2011-06-07,93.44,95.00,92.08,94.14,1732600,94.14
2011-06-06,94.50,95.90,92.82,93.15,1660600,93.15
2011-06-03,96.00,97.81,94.26,94.99,2262200,94.99
2011-06-02,96.18,98.49,95.46,97.71,2351200,97.71
2011-06-01,97.09,102.74,95.75,95.92,6024200,95.92
2011-05-31,98.36,98.71,96.20,97.32,1812500,97.32
2011-05-27,98.44,98.55,96.29,97.30,1535100,97.30
2011-05-26,96.90,98.68,96.15,97.87,1787000,97.87
2011-05-25,94.31,97.46,93.88,96.96,2136400,96.96
2011-05-24,94.85,95.73,94.11,94.65,1678800,94.65
2011-05-23,93.78,94.48,92.66,93.85,1428700,93.85
2011-05-20,95.09,96.86,94.50,95.57,2769400,95.57
2011-05-19,93.07,94.14,92.09,93.89,1444800,93.89
2011-05-18,90.92,93.79,90.25,92.83,1743800,92.83
2011-05-17,89.07,91.64,88.67,90.76,1746300,90.76
2011-05-16,92.97,93.50,89.14,89.45,2145800,89.45
2011-05-13,94.75,96.00,93.75,93.94,1419600,93.94
2011-05-12,92.43,95.10,91.75,94.91,1973600,94.91
2011-05-11,93.10,93.74,91.66,92.64,1373300,92.64
2011-05-10,93.84,94.13,92.50,93.09,1339300,93.09
2011-05-09,92.77,94.04,92.00,93.47,1526700,93.47
2011-05-06,92.52,94.05,91.86,92.98,1387900,92.98
2011-05-05,90.86,93.90,90.86,91.64,1744800,91.64
2011-05-04,91.36,93.04,89.23,91.81,2457600,91.81
2011-05-03,93.30,93.48,90.13,91.48,2592500,91.48
2011-05-02,95.75,96.39,92.72,93.31,2229600,93.31
2011-04-29,95.79,96.10,95.01,95.43,1600000,95.43
2011-04-28,95.26,96.91,94.15,95.77,1950500,95.77
2011-04-27,95.68,96.13,93.30,95.67,2184100,95.67
2011-04-26,98.00,98.28,94.25,95.26,2500000,95.26
2011-04-25,96.22,99.19,96.00,97.85,2986200,97.85
2011-04-21,95.89,97.79,95.43,96.81,4409600,96.81
2011-04-20,95.04,98.85,92.00,97.90,13585700,97.90
2011-04-19,86.58,86.95,84.06,85.97,4053500,85.97
2011-04-18,84.56,86.76,84.33,86.50,2695600,86.50
2011-04-15,86.05,87.09,85.50,85.99,2103900,85.99
2011-04-14,86.57,87.35,85.42,86.35,2452400,86.35
2011-04-13,85.64,87.80,85.31,87.29,3841600,87.29
2011-04-12,82.51,84.95,81.30,84.91,3366300,84.91
2011-04-11,82.82,84.07,82.41,82.90,2213900,82.90
2011-04-08,80.95,83.38,80.60,82.77,4222900,82.77
