Date,Open,High,Low,Close,Volume,Adj Close
2012-10-16,132.85,134.00,131.98,133.07,900,128.68
2012-10-15,133.00,133.50,131.88,133.10,1000,128.71
2012-10-12,134.70,135.45,133.50,133.50,400,129.10
2012-10-11,133.50,135.33,133.50,134.48,800,130.04
2012-10-10,132.80,134.80,132.80,133.40,400,129.00
2012-10-09,133.00,133.98,132.85,133.58,600,129.17
2012-10-08,134.00,134.00,132.52,132.52,300,128.15
2012-10-05,133.25,134.98,133.25,134.70,400,130.26
2012-10-04,131.80,133.35,131.80,133.25,400,128.85
2012-10-03,131.80,131.80,130.45,130.45,200,126.15
2012-10-02,130.40,132.18,130.40,132.05,300,127.69
2012-10-01,129.06,131.05,129.06,130.55,1000,126.24
2012-09-28,131.10,131.40,129.71,130.25,400,125.95
2012-09-27,132.00,132.35,129.29,131.00,1500,126.68
2012-09-26,135.35,135.35,130.71,130.84,1700,126.53
2012-09-25,136.03,136.10,134.00,135.91,700,131.42
2012-09-24,136.13,137.50,136.13,136.96,1200,132.45
2012-09-21,134.33,136.96,134.33,136.57,400,132.06
2012-09-20,134.50,134.71,132.92,134.15,300,129.72
2012-09-19,134.20,135.31,134.00,134.42,1000,129.98
2012-09-18,136.90,136.90,133.42,133.42,1500,129.02
2012-09-17,137.10,138.40,136.75,136.75,1600,132.24
2012-09-14,134.18,139.62,134.18,137.55,8400,133.02
2012-09-13,132.73,134.00,132.43,134.00,2600,129.58
2012-09-12,130.75,134.35,130.75,132.40,3700,128.03
2012-09-11,128.00,131.07,127.87,130.79,1400,126.48
2012-09-10,128.73,130.15,128.43,128.90,1500,124.65
2012-09-07,128.78,130.50,128.20,128.60,3000,124.36
2012-09-06,125.00,128.80,124.28,128.65,1700,124.41
2012-09-05,123.66,124.49,122.70,124.39,2200,120.29
2012-09-04,127.57,127.57,123.10,123.90,2900,119.81
2012-09-03,129.27,129.50,126.50,127.44,1500,123.24
2012-08-31,128.92,130.20,128.15,129.40,1100,125.13
2012-08-30,132.90,132.90,128.10,128.85,1000,124.60
2012-08-29,132.55,133.29,132.10,133.29,1700,128.89
2012-08-28,131.30,132.73,130.90,132.60,1100,128.22
2012-08-27,130.30,131.82,129.98,131.75,500,127.40
2012-08-24,132.87,132.87,129.23,130.40,2800,126.10
2012-08-23,134.60,134.85,132.62,133.00,1200,128.61
2012-08-22,134.15,134.15,133.00,133.90,2200,129.48
2012-08-21,133.95,135.55,133.95,134.45,2000,130.01
2012-08-20,133.66,135.55,133.57,133.95,2900,129.53
2012-08-17,133.09,134.60,133.05,134.20,1700,129.77
2012-08-16,133.60,133.85,132.68,132.96,1000,128.57
2012-08-15,134.10,134.10,133.20,133.50,300,129.10
2012-08-14,133.57,134.55,133.55,134.40,2700,129.97
2012-08-13,134.60,134.60,132.65,133.30,1800,128.90
2012-08-10,133.67,134.60,133.54,134.60,1400,130.16
2012-08-09,133.21,134.93,131.85,133.80,3000,129.39
2012-08-08,134.78,135.14,132.82,132.95,4000,128.56
2012-08-07,131.60,135.12,131.47,134.65,2200,130.21
2012-08-06,131.27,133.65,131.00,132.33,3000,127.96
2012-08-03,127.30,132.40,127.30,131.40,3800,127.07
2012-08-02,129.32,130.62,127.12,127.35,1200,123.15
2012-08-01,128.66,129.62,128.66,129.45,1300,125.18
2012-07-31,127.87,130.43,127.60,128.79,4200,124.54
2012-07-30,126.40,128.75,126.26,128.00,1100,123.78
2012-07-27,124.70,125.32,121.93,125.32,2300,121.19
2012-07-26,129.59,129.59,122.72,124.35,3400,120.25
2012-07-25,126.21,129.93,126.09,129.59,3800,125.32
2012-07-24,128.07,128.45,125.90,126.09,1400,121.93
2012-07-23,130.00,130.13,127.88,128.20,2500,123.97
2012-07-20,132.00,133.20,129.98,131.45,2400,127.11
2012-07-19,132.04,133.27,131.52,132.50,1500,128.13
2012-07-18,131.00,132.05,129.73,131.95,2500,127.60
2012-07-17,131.70,132.80,130.43,130.74,1300,126.43
