Date,Open,High,Low,Close,Volume,Adj Close
2011-03-03,21.86,22.03,21.79,21.89,6114600,20.02
2011-03-02,21.48,21.77,21.35,21.64,3854400,19.80
2011-03-01,21.94,22.03,21.46,21.50,5706800,19.67
2011-02-28,21.67,22.00,21.63,21.99,6792200,20.12
2011-02-25,21.09,21.79,21.06,21.72,5078100,19.87
2011-02-24,21.00,21.11,20.89,21.00,9091200,19.21
2011-02-23,21.09,21.21,20.78,20.95,6918800,19.16
2011-02-22,21.39,21.60,21.11,21.11,5131500,19.31
2011-02-18,21.53,21.70,21.42,21.66,4388900,19.81
2011-02-17,21.36,21.66,21.26,21.50,4210000,19.67
2011-02-16,21.34,21.50,21.23,21.48,2980200,19.65
2011-02-15,21.35,21.43,21.24,21.31,3769800,19.49
2011-02-14,21.41,21.52,21.36,21.47,2950500,19.64
2011-02-11,21.19,21.45,21.03,21.40,4121400,19.58
2011-02-10,20.94,21.33,20.87,21.24,5669600,19.43
2011-02-09,21.37,21.58,20.98,21.01,5687100,19.22
2011-02-08,21.12,21.40,21.10,21.38,6982800,19.56
2011-02-07,20.96,21.52,20.94,21.17,11767100,19.37
2011-02-04,20.69,21.00,20.68,20.96,5072400,19.17
2011-02-03,20.69,20.74,20.46,20.68,8134500,18.92
2011-02-02,20.29,20.81,20.18,20.77,10971700,19.00
2011-02-01,20.44,20.50,20.20,20.29,7929900,18.56
2011-01-31,19.77,20.29,19.43,20.28,10924800,18.55
2011-01-28,20.34,20.53,19.73,19.75,8038400,18.07
2011-01-27,20.10,20.35,20.00,20.34,5987300,18.61
2011-01-26,19.71,20.20,19.71,20.14,7469700,18.42
2011-01-25,19.66,19.72,19.49,19.70,4534700,18.02
2011-01-24,19.25,19.96,19.15,19.70,10278100,18.02
2011-01-21,19.31,19.42,19.18,19.31,3459200,17.66
2011-01-20,19.13,19.22,18.97,19.18,6738900,17.55
2011-01-19,19.26,19.35,19.06,19.09,3922800,17.46
2011-01-18,19.28,19.39,19.24,19.29,3512400,17.65
2011-01-14,19.12,19.26,19.03,19.26,4307500,17.62
2011-01-13,19.17,19.17,18.95,19.11,3308200,17.48
2011-01-12,19.34,19.36,19.10,19.15,5701700,17.52
2011-01-11,19.09,19.31,19.03,19.24,3171800,17.60
2011-01-10,19.08,19.20,18.83,19.02,4707200,17.40
2011-01-07,19.36,19.48,19.06,19.19,4319400,17.55
2011-01-06,18.85,19.41,18.82,19.37,6778200,17.72
2011-01-05,18.51,18.96,18.39,18.94,8205800,17.33
2011-01-04,18.75,18.91,18.59,18.61,4418000,17.02
2011-01-03,18.67,18.88,18.59,18.74,6270000,17.14
2010-12-31,18.53,18.71,18.47,18.57,2496800,16.99
2010-12-30,18.42,18.65,18.37,18.55,2644000,16.97
2010-12-29,18.33,18.51,18.28,18.40,3001500,16.83
2010-12-28,18.55,18.59,18.27,18.28,3152700,16.72
2010-12-27,18.20,18.50,18.20,18.48,1627500,16.91
2010-12-23,18.42,18.49,18.20,18.26,1990700,16.70
2010-12-22,18.40,18.47,18.24,18.47,4301600,16.90
2010-12-21,18.45,18.45,18.26,18.39,4234200,16.82
2010-12-20,18.36,18.42,18.17,18.35,3712600,16.79
2010-12-17,18.28,18.42,18.20,18.28,4248400,16.72
2010-12-16,18.61,18.64,18.27,18.29,7573900,16.73
2010-12-15,18.69,18.76,18.50,18.55,6508700,16.91
2010-12-14,18.80,18.97,18.75,18.81,3681900,17.14
2010-12-13,18.70,18.89,18.69,18.76,3507300,17.10
2010-12-10,18.67,18.80,18.63,18.71,2813400,17.05
2010-12-09,18.71,18.86,18.54,18.60,4518500,16.95
2010-12-08,18.39,18.66,18.25,18.65,8358600,17.00
2010-12-07,18.54,18.59,18.31,18.34,4667100,16.71
2010-12-06,18.24,18.41,18.17,18.36,4549600,16.73
2010-12-03,18.13,18.32,18.11,18.25,6861400,16.63
2010-12-02,18.03,18.23,18.01,18.23,4564500,16.61
2010-12-01,17.82,18.14,17.82,18.03,4703700,16.43
2010-11-30,17.61,17.77,17.60,17.64,4707300,16.08
2010-11-29,17.98,18.04,17.56,17.86,4562100,16.28
2010-11-26,18.12,18.23,18.04,18.15,2251200,16.54
2010-11-24,18.05,18.28,18.00,18.27,3847400,16.65
2010-11-23,17.97,18.10,17.85,17.95,5456500,16.36
2010-11-22,17.97,18.23,17.92,18.22,5668800,16.60
2010-11-19,17.91,18.14,17.73,18.09,5540700,16.49
2010-11-18,17.68,18.03,17.62,17.83,8520400,16.25
2010-11-17,17.67,17.72,17.44,17.51,4121800,15.96
2010-11-16,17.85,17.97,17.52,17.62,7854700,16.06
2010-11-15,18.19,18.38,18.07,18.09,5281300,16.49
2010-11-12,18.53,18.57,18.04,18.11,5747600,16.50
2010-11-11,18.55,18.70,18.37,18.62,7774600,16.97
2010-11-10,18.47,18.79,18.32,18.77,8299700,17.11
2010-11-09,18.22,18.57,18.19,18.50,8475600,16.86
2010-11-08,18.12,18.26,18.05,18.20,6551100,16.59
2010-11-05,18.21,18.26,17.98,18.24,9604200,16.62
2010-11-04,17.62,18.18,17.57,18.18,20028100,16.57
2010-11-03,17.50,17.69,17.33,17.44,13773500,15.89
2010-11-02,17.83,17.98,17.44,17.45,12232300,15.90
2010-11-01,17.81,18.00,17.59,17.61,10225300,16.05
2010-10-29,18.25,18.26,17.58,17.59,12777900,16.03
2010-10-28,18.38,18.60,18.26,18.26,7297100,16.64
2010-10-27,17.96,18.45,17.86,18.27,10837200,16.65
2010-10-26,18.00,18.11,17.86,17.91,5288600,16.32
2010-10-25,17.99,18.20,17.96,18.11,3127100,16.50
2010-10-22,17.94,17.99,17.81,17.90,2877700,16.31
2010-10-21,17.97,18.18,17.83,17.96,3060900,16.37
2010-10-20,17.69,18.00,17.69,17.96,3345900,16.37
2010-10-19,17.78,17.90,17.59,17.68,4088700,16.11
2010-10-18,17.85,18.02,17.81,18.02,3821300,16.42
2010-10-15,17.95,17.96,17.73,17.89,3760600,16.30
2010-10-14,17.70,17.90,17.66,17.76,3526200,16.19
2010-10-13,17.82,17.84,17.36,17.65,9548700,16.09
2010-10-12,17.78,17.82,17.42,17.74,5249000,16.17
2010-10-11,17.84,17.94,17.73,17.86,2294200,16.28
2010-10-08,17.62,17.78,17.50,17.74,2555000,16.17
2010-10-07,17.77,17.82,17.54,17.58,3350700,16.02
2010-10-06,17.99,18.00,17.57,17.67,3727100,16.10
2010-10-05,17.56,17.99,17.40,17.97,5896300,16.38
2010-10-04,17.62,17.79,17.36,17.41,4813200,15.87
2010-10-01,17.84,18.13,17.56,17.68,5874000,16.11
2010-09-30,17.55,17.73,17.41,17.67,8354600,16.10
2010-09-29,17.37,17.49,17.30,17.40,7285900,15.80
2010-09-28,17.63,17.75,17.36,17.36,8262800,15.77
2010-09-27,17.58,17.86,17.53,17.65,7370200,16.03
2010-09-24,17.16,17.59,17.16,17.55,6173600,15.94
2010-09-23,17.07,17.27,16.94,16.95,7742100,15.39
2010-09-22,17.31,17.46,17.13,17.13,5802700,15.56
2010-09-21,17.47,17.54,17.22,17.31,4690400,15.72
2010-09-20,17.00,17.50,17.00,17.48,5397900,15.88
2010-09-17,17.19,17.20,16.85,16.98,5787700,15.42
2010-09-16,17.11,17.17,16.93,17.15,4115000,15.58
2010-09-15,17.03,17.15,16.95,17.13,6243500,15.56
2010-09-14,16.68,17.13,16.57,17.08,9407500,15.51
2010-09-13,16.51,16.75,16.41,16.75,5341400,15.21
2010-09-10,16.37,16.43,16.17,16.36,3213400,14.86
2010-09-09,16.45,16.47,16.19,16.31,3948100,14.81
2010-09-08,16.19,16.36,16.17,16.23,3122600,14.74
2010-09-07,16.48,16.48,16.17,16.18,3392300,14.69
2010-09-03,16.59,16.69,16.36,16.48,4252600,14.97
2010-09-02,16.31,16.49,16.17,16.46,3313900,14.95
2010-09-01,15.85,16.26,15.73,16.24,5809700,14.75
2010-08-31,15.93,16.05,15.57,15.68,5902200,14.24
2010-08-30,15.99,16.16,15.93,15.97,4808200,14.50
2010-08-27,15.90,16.03,15.58,16.03,3727200,14.56
2010-08-26,15.95,16.01,15.75,15.77,3333000,14.32
2010-08-25,15.47,15.93,15.41,15.85,4018600,14.39
2010-08-24,15.61,15.81,15.52,15.57,4454500,14.14
2010-08-23,15.99,16.08,15.84,15.84,2581100,14.39
2010-08-20,15.95,16.10,15.88,15.94,3587200,14.48
2010-08-19,16.15,16.21,15.95,16.06,4740400,14.59
2010-08-18,16.15,16.39,16.06,16.26,2763100,14.77
2010-08-17,16.24,16.44,16.16,16.18,3869900,14.69
2010-08-16,15.88,16.23,15.82,16.10,2885800,14.62
2010-08-13,15.98,16.17,15.95,15.98,3544700,14.51
2010-08-12,15.82,16.16,15.78,16.06,5210000,14.59
2010-08-11,16.23,16.23,15.99,16.05,4773000,14.58
2010-08-10,16.30,16.66,16.29,16.50,4863700,14.99
2010-08-09,16.37,16.58,16.33,16.54,4273800,15.02
2010-08-06,16.04,16.32,15.97,16.29,4800900,14.79
2010-08-05,16.06,16.29,16.06,16.22,2993500,14.73
2010-08-04,16.04,16.15,15.83,16.13,5083900,14.65
2010-08-03,16.25,16.27,15.99,16.03,6126000,14.56
2010-08-02,16.44,16.59,16.07,16.28,8121700,14.79
2010-07-30,15.82,16.44,15.82,16.23,7422500,14.74
2010-07-29,16.56,16.67,16.15,16.41,8388200,14.90
2010-07-28,16.62,16.64,16.43,16.47,5636100,14.96
2010-07-27,17.00,17.21,16.57,16.69,9606300,15.16
2010-07-26,16.37,16.71,16.30,16.68,9118500,15.15
2010-07-23,16.03,16.34,15.93,16.31,4787700,14.81
2010-07-22,15.61,16.18,15.59,16.04,10053700,14.57
2010-07-21,15.79,15.81,15.35,15.44,5623200,14.02
2010-07-20,15.14,15.70,15.14,15.69,4150800,14.25
2010-07-19,15.36,15.50,15.23,15.37,5167500,13.96
2010-07-16,15.83,15.84,15.22,15.34,9662100,13.93
2010-07-15,15.94,16.03,15.68,15.98,6341700,14.51
2010-07-14,16.03,16.03,15.81,15.96,3785500,14.49
2010-07-13,16.00,16.08,15.79,16.00,8550000,14.53
2010-07-12,15.79,15.97,15.72,15.90,3624900,14.44
2010-07-09,15.67,15.88,15.55,15.87,4157000,14.41
2010-07-08,15.86,15.95,15.49,15.63,8551200,14.20
2010-07-07,15.14,15.85,15.14,15.79,9701900,14.34
2010-07-06,15.17,15.44,14.93,15.06,4962800,13.68
2010-07-02,15.15,15.22,14.83,14.90,5878900,13.53
2010-07-01,14.91,15.11,14.65,15.03,8920700,13.65
2010-06-30,15.01,15.12,14.87,14.91,8062000,13.54
2010-06-29,15.53,15.53,14.83,14.94,11026500,13.57
2010-06-28,16.09,16.10,15.74,15.74,4645900,14.30
2010-06-25,15.60,16.04,15.42,16.00,12492200,14.53
2010-06-24,15.73,15.80,15.48,15.53,7002200,14.10
2010-06-23,15.71,15.89,15.51,15.80,4536000,14.35
2010-06-22,16.00,16.08,15.76,15.78,4789200,14.33
2010-06-21,16.40,16.50,15.92,16.00,4443300,14.53
2010-06-18,16.23,16.35,16.15,16.20,4736500,14.71
2010-06-17,16.31,16.34,16.11,16.27,3056400,14.78
2010-06-16,16.26,16.35,16.10,16.23,4842600,14.74
2010-06-15,16.10,16.38,16.07,16.38,8854800,14.82
2010-06-14,16.24,16.31,15.91,15.93,5244500,14.41
2010-06-11,15.87,16.10,15.87,16.09,5209200,14.56
2010-06-10,15.72,16.08,15.72,16.07,6589200,14.54
2010-06-09,15.50,15.79,15.35,15.51,6681500,14.03
2010-06-08,15.39,15.44,15.10,15.44,8890500,13.97
2010-06-07,15.73,15.82,15.27,15.31,9292000,13.85
2010-06-04,15.76,16.00,15.59,15.63,10025100,14.14
2010-06-03,15.82,16.16,15.79,16.15,6867200,14.61
2010-06-02,15.80,15.86,15.66,15.76,8887600,14.26
2010-06-01,15.86,16.10,15.68,15.69,8407600,14.20
2010-05-28,16.27,16.32,15.90,15.96,5441800,14.44
2010-05-27,15.91,16.28,15.82,16.26,7301900,14.71
2010-05-26,15.74,16.07,15.60,15.66,10637400,14.17
2010-05-25,15.25,15.70,15.15,15.69,9238400,14.20
2010-05-24,15.80,15.89,15.58,15.58,5774600,14.10
2010-05-21,15.20,15.92,15.20,15.90,11210300,14.39
2010-05-20,15.74,15.95,15.38,15.47,11139000,14.00
2010-05-19,16.26,16.37,16.02,16.05,14244400,14.52
2010-05-18,16.79,16.90,16.15,16.19,9670500,14.65
2010-05-17,16.67,16.92,16.35,16.62,9021300,15.04
2010-05-14,16.94,17.01,16.53,16.64,11157600,15.06
2010-05-13,16.98,17.26,16.98,17.01,8497100,15.39
2010-05-12,16.84,17.13,16.75,17.06,7515700,15.44
2010-05-11,17.16,17.16,16.60,16.79,9176000,15.19
2010-05-10,17.24,17.38,17.09,17.24,11335900,15.60
2010-05-07,17.15,17.26,16.35,16.55,15320700,14.98
2010-05-06,17.46,17.65,16.30,17.22,15012300,15.58
2010-05-05,17.60,17.89,17.46,17.58,5456200,15.91
2010-05-04,18.03,18.03,17.61,17.78,11105400,16.09
2010-05-03,18.40,18.46,18.18,18.22,7609800,16.49
2010-04-30,18.67,18.79,18.21,18.25,11664200,16.51
2010-04-29,18.70,18.94,18.45,18.68,8554400,16.90
2010-04-28,19.02,19.09,18.36,18.62,15051500,16.85
2010-04-27,18.85,19.57,18.85,19.00,32835800,17.19
2010-04-26,17.87,18.23,17.81,17.91,14884800,16.21
2010-04-23,17.42,17.78,17.37,17.78,5103100,16.09
2010-04-22,17.25,17.50,17.23,17.45,8236200,15.79
2010-04-21,17.37,17.46,17.30,17.44,6088000,15.78
2010-04-20,17.40,17.46,17.27,17.40,5264100,15.74
2010-04-19,17.17,17.43,17.17,17.30,6909400,15.65
2010-04-16,17.48,17.58,17.15,17.24,5843500,15.60
2010-04-15,17.61,17.73,17.50,17.53,5581700,15.86
2010-04-14,17.58,17.73,17.44,17.64,5907000,15.96
2010-04-13,17.37,17.54,17.30,17.49,4556900,15.83
2010-04-12,17.51,17.76,17.43,17.47,5273900,15.81
2010-04-09,17.40,17.55,17.34,17.49,5384000,15.83
2010-04-08,17.21,17.51,17.12,17.41,6274300,15.75
2010-04-07,17.41,17.58,17.18,17.24,6621700,15.60
2010-04-06,17.35,17.65,17.35,17.50,7567600,15.84
2010-04-05,17.13,17.46,17.08,17.37,6680700,15.72
2010-04-01,17.10,17.40,16.94,17.06,6969000,15.44
2010-03-31,16.98,17.09,16.90,16.96,7401800,15.35
2010-03-30,17.25,17.27,16.91,17.00,5273800,15.38
2010-03-29,17.16,17.26,17.10,17.19,3781400,15.55
2010-03-26,17.08,17.08,16.92,17.05,5075900,15.43
2010-03-25,17.04,17.23,16.94,16.97,12780900,15.36
2010-03-24,17.02,17.04,16.80,16.88,5866000,15.27
2010-03-23,16.92,17.17,16.90,17.06,6867700,15.44
2010-03-22,16.58,16.96,16.58,16.91,6188800,15.30
2010-03-19,16.66,16.93,16.57,16.66,7976000,15.08
2010-03-18,16.84,16.87,16.65,16.80,6454200,15.20
2010-03-17,16.30,16.85,16.25,16.80,10028200,15.20
2010-03-16,16.44,16.81,16.17,16.24,15668000,14.64
2010-03-15,16.86,16.89,16.59,16.71,8710300,15.06
2010-03-12,16.86,16.92,16.69,16.91,5575800,15.24
2010-03-11,16.48,16.83,16.40,16.77,7827000,15.12
2010-03-10,16.35,16.54,16.15,16.51,9640700,14.88
2010-03-09,16.18,16.37,16.04,16.33,9019600,14.72
2010-03-08,16.34,16.37,16.18,16.22,5737000,14.62
2010-03-05,16.16,16.34,16.02,16.31,6846600,14.70
2010-03-04,15.77,16.10,15.68,16.02,9927800,14.44
2010-03-03,15.91,15.99,15.71,15.71,7149800,14.16
