Date,Open,High,Low,Close,Volume,Adj Close
2013-09-09,505.00,507.92,464.81,472.69,149164400,66.37
2013-09-03,493.10,502.24,487.35,498.22,79553400,69.95
2013-08-26,500.75,510.20,486.00,487.22,78735800,68.41
2013-08-19,504.34,513.74,498.20,501.02,83601200,70.34
2013-08-12,456.86,504.25,456.63,502.33,142767300,70.53
2013-08-05,464.69,471.89,453.65,454.45,73760600,63.80
2013-07-29,440.80,462.85,440.20,462.54,68073600,64.51
2013-07-22,429.46,444.59,418.71,440.99,79938700,61.51
2013-07-15,425.01,434.87,424.17,424.95,57252300,59.27
2013-07-08,420.11,429.79,410.38,426.51,76899200,59.49
2013-07-01,402.69,423.29,401.22,417.42,85992000,58.22
2013-06-24,407.40,408.66,388.87,396.53,103919700,55.31
2013-06-17,431.44,435.70,408.10,413.50,80190400,57.67
2013-06-10,444.73,449.08,428.50,430.05,77959500,59.98
2013-06-03,450.73,454.43,432.77,441.81,88857000,61.62
2013-05-28,449.90,457.10,439.40,449.73,90909000,62.73
2013-05-20,431.91,448.35,430.10,445.15,98991300,62.09
2013-05-13,451.51,457.90,418.90,433.26,126839400,60.43
2013-05-06,455.71,465.75,450.48,452.97,109316600,63.18
2013-04-29,420.45,453.23,420.00,449.98,131095100,62.35
2013-04-22,392.64,418.77,391.27,417.20,160637200,57.81
2013-04-15,427.00,427.89,385.10,390.53,142196000,54.11
2013-04-08,424.85,437.99,422.49,429.80,77517400,59.55
2013-04-01,441.90,443.70,419.68,423.20,101230500,58.64
2013-03-25,464.69,469.95,441.62,442.66,98094100,61.34
2013-03-18,441.45,462.10,441.20,461.91,110999700,64.00
2013-03-11,429.75,444.23,425.14,443.66,114676600,61.47
2013-03-04,427.80,435.43,419.00,431.72,127069700,59.82
2013-02-25,453.85,455.12,429.98,430.47,116819600,59.65
2013-02-19,461.10,462.73,442.82,450.81,105620200,62.46
2013-02-11,476.50,484.94,459.92,460.16,117438500,63.76
2013-02-04,453.91,478.81,442.00,474.98,149095500,65.81
2013-01-28,437.83,462.60,435.86,453.62,131632400,62.49
2013-01-22,504.56,514.99,435.00,439.88,249495900,60.60
2013-01-14,502.68,510.75,483.38,500.00,161419300,68.88
2013-01-07,522.00,531.89,515.20,520.30,115106000,71.68
2012-12-31,510.53,555.00,509.00,527.00,135456800,72.60
2012-12-24,520.35,524.25,504.66,509.59,80474200,70.20
2012-12-17,508.93,534.90,501.23,519.33,145530900,71.54
2012-12-10,525.00,549.56,505.58,509.79,167240600,70.23
