Date,Open,High,Low,Close,Volume,Adj Close
2013-09-09,41.83,42.42,41.77,42.10,3767100,40.63
2013-09-03,41.39,41.92,41.08,41.82,3043600,40.36
2013-08-26,41.54,42.22,41.25,41.30,3704600,39.86
2013-08-19,41.29,41.54,40.51,41.51,3846500,40.06
2013-08-12,41.25,41.71,41.01,41.32,4453000,39.88
2013-08-05,41.91,42.04,41.11,41.27,4377400,39.83
2013-07-29,43.38,43.41,41.26,41.93,7602200,39.94
2013-07-22,43.08,43.75,43.06,43.58,3825400,41.52
2013-07-15,42.21,43.09,42.12,43.01,4800500,40.97
2013-07-08,41.28,42.56,41.18,42.19,7211800,40.19
2013-07-01,41.98,42.04,40.68,41.17,6808000,39.22
2013-06-24,41.27,42.04,41.16,41.74,4470800,39.76
2013-06-17,43.20,43.41,41.22,41.72,6302700,39.74
2013-06-10,43.06,43.45,42.64,42.84,3980100,40.81
2013-06-03,43.08,43.47,42.71,42.95,4386100,40.92
2013-05-28,43.94,43.98,42.90,42.91,4131300,40.88
2013-05-20,43.02,44.03,42.96,43.52,5349100,41.46
2013-05-13,43.04,43.18,42.63,42.96,4500900,40.93
2013-05-06,44.08,44.27,42.85,43.18,4931000,41.14
2013-04-29,42.22,44.25,42.21,43.96,7059200,41.37
2013-04-22,40.92,42.77,40.77,42.20,5818800,39.71
2013-04-15,40.99,41.38,40.12,40.99,9104500,38.57
2013-04-08,41.24,41.96,41.06,41.57,4987400,39.12
2013-04-01,42.35,42.40,41.00,41.52,5519300,39.07
2013-03-25,42.10,42.41,41.72,42.35,5522000,39.85
2013-03-18,40.76,42.15,40.52,42.00,6103500,39.52
2013-03-11,40.53,41.08,40.10,41.08,6297200,38.66
2013-03-04,40.43,40.83,40.01,40.39,7128500,38.01
2013-02-25,41.17,41.46,39.99,40.33,8333000,37.95
2013-02-19,41.43,42.19,40.16,41.83,12531800,39.36
2013-02-11,42.96,43.45,41.80,41.95,10479100,39.47
2013-02-04,43.88,44.44,42.96,43.17,7392100,40.12
2013-01-28,44.22,45.45,44.03,44.77,5181800,41.60
2013-01-22,43.71,44.37,43.41,43.93,5540200,40.82
2013-01-14,44.33,44.54,43.93,44.04,5038200,40.92
2013-01-07,43.37,45.06,43.19,44.48,6799500,41.33
2012-12-31,41.24,43.84,41.01,43.66,7886400,40.57
2012-12-24,41.88,41.99,41.14,41.22,3523800,38.30
2012-12-17,41.24,42.31,41.21,42.12,5756500,39.14
2012-12-10,41.16,41.89,40.97,41.39,4079900,38.46
2012-12-03,41.71,41.78,40.81,41.07,4701800,38.16
2012-11-26,41.71,41.80,40.59,41.76,5075200,38.81
2012-11-19,40.91,42.05,40.75,42.02,4273900,39.05
2012-11-12,41.11,41.11,39.58,40.03,5351600,37.20
2012-11-05,42.15,43.15,40.71,40.84,7316500,37.95
2012-10-31,43.33,43.45,42.48,42.54,6740700,39.04
2012-10-22,43.35,43.36,41.28,41.73,6452700,38.29
2012-10-15,41.62,43.90,41.27,43.10,8185800,39.55
2012-10-08,41.96,42.47,41.57,41.84,3374100,38.39
2012-10-01,42.42,42.85,41.93,42.15,4696400,38.68
2012-09-24,42.99,43.60,42.22,42.36,3879600,38.87
2012-09-17,43.85,44.16,42.62,43.00,5832200,39.46
2012-09-10,42.02,43.95,41.90,43.86,7301000,40.25
2012-09-04,42.11,42.15,40.33,41.93,5286700,38.48
2012-08-27,42.19,42.55,41.72,42.06,2775400,38.59
2012-08-20,42.63,42.80,41.86,42.19,3186900,38.71
2012-08-13,42.17,42.87,42.03,42.72,3406100,39.20
2012-08-06,41.07,42.62,41.07,42.40,5234400,38.91
2012-07-30,41.82,42.05,39.50,41.03,7998900,37.22
2012-07-23,40.02,41.67,39.42,41.55,5867100,37.70
2012-07-16,41.38,41.99,41.05,41.55,5832700,37.70
2012-07-09,39.47,41.05,39.13,40.95,4959800,37.15
2012-07-02,40.57,40.89,39.54,39.63,4753000,35.95
2012-06-25,37.77,40.59,37.46,40.54,6156000,36.78
2012-06-18,39.58,40.47,37.87,38.37,6216400,34.81
2012-06-11,39.07,40.21,38.25,40.21,7162000,36.48
2012-06-04,37.08,39.29,36.25,38.10,5716700,34.57
2012-05-29,38.20,38.39,36.25,36.76,8770600,33.35
2012-05-21,37.58,38.65,37.23,38.36,6476300,34.80
2012-05-14,39.08,39.28,37.00,37.10,7463200,33.66
2012-05-07,40.99,41.48,38.83,39.65,7077200,35.97
2012-04-30,43.31,43.49,40.95,40.96,6369900,36.72
2012-04-23,41.52,43.64,41.34,43.53,6580400,39.02
2012-04-16,42.63,43.44,41.99,41.99,5362400,37.64
2012-04-09,43.05,43.49,41.99,42.15,5832100,37.79
2012-04-02,44.64,45.60,42.74,43.37,7513800,38.88
2012-03-26,46.09,46.26,43.65,45.00,6904100,40.34
2012-03-19,46.88,47.17,45.14,45.59,6285500,40.87
2012-03-12,46.54,47.39,46.22,46.83,7230800,41.98
2012-03-05,48.18,48.34,45.94,46.69,10606900,41.86
2012-02-27,47.93,48.00,47.02,47.50,8495200,42.58
2012-02-21,47.45,47.75,46.67,46.99,11185800,42.13
2012-02-13,47.06,47.67,45.84,47.62,9426500,42.69
2012-02-06,46.12,47.28,45.69,46.35,10354900,41.12
2012-01-30,42.91,46.76,42.84,46.57,13127100,41.32
2012-01-23,44.46,45.11,43.66,43.70,6779600,38.77
2012-01-17,44.68,44.89,43.52,44.02,7026500,39.06
2012-01-09,44.02,44.75,43.36,43.77,5470900,38.83
2012-01-03,43.79,44.77,43.74,44.08,6436600,39.11
2011-12-27,43.07,43.46,42.25,42.74,2614200,37.92
2011-12-19,40.72,43.30,40.40,43.28,5410400,38.40
2011-12-12,42.05,42.79,40.75,41.39,5983200,36.72
2011-12-05,44.18,44.26,41.97,42.71,5709000,37.89
2011-11-28,40.74,43.89,40.60,43.29,6604400,38.41
2011-11-21,41.76,41.89,39.41,39.41,6425800,34.97
2011-11-14,43.92,44.31,42.32,42.48,5037000,37.69
2011-11-07,43.45,44.89,42.24,44.01,7180100,39.05
2011-10-31,44.85,45.28,41.72,43.85,9071300,38.90
2011-10-24,41.32,45.84,41.32,45.50,13266000,39.97
2011-10-17,40.82,42.47,39.91,42.35,9484100,37.20
2011-10-10,37.80,39.90,37.60,39.88,6696300,35.03
2011-10-03,35.89,37.49,33.62,37.11,11886800,32.60
2011-09-26,36.23,38.46,35.65,36.07,8670300,31.69
2011-09-19,38.57,39.39,35.10,35.86,8578300,31.50
2011-09-12,35.24,39.72,35.21,39.69,13159100,34.87
2011-09-06,35.19,37.65,35.15,36.00,9196500,31.63
2011-08-29,38.78,39.72,35.91,36.53,12701400,32.09
2011-08-22,39.77,39.95,36.80,38.19,11296400,33.55
2011-08-15,40.63,41.65,38.41,38.46,10532600,33.79
2011-08-08,39.78,40.36,37.84,40.17,17462200,35.29
2011-08-01,45.95,46.03,39.66,40.93,12403000,35.96
2011-07-25,46.24,47.09,44.52,45.44,12290800,39.53
2011-07-18,43.99,46.30,43.85,46.20,7017000,40.20
2011-07-11,43.57,44.97,43.31,44.33,10174700,38.57
2011-07-05,44.66,44.82,43.31,44.51,7046100,38.73
2011-06-27,41.81,44.67,41.72,44.62,6552000,38.82
2011-06-20,41.85,43.50,41.69,41.90,8871500,36.45
2011-06-13,43.05,43.58,41.26,42.16,7531500,36.68
2011-06-06,44.75,44.91,42.88,43.08,5823100,37.48
2011-05-31,46.46,46.53,44.05,44.63,6209700,38.83
2011-05-23,44.15,45.76,43.66,45.54,7133700,39.62
2011-05-16,42.75,45.10,42.26,45.00,9139700,39.15
2011-05-09,44.52,45.00,42.75,42.93,7191700,37.35
2011-05-02,46.33,46.35,43.25,44.28,11302600,38.17
2011-04-25,46.34,46.85,45.75,46.14,8588900,39.77
2011-04-18,44.27,46.41,44.04,46.03,7467900,39.67
2011-04-11,46.87,47.18,44.68,44.96,8265200,38.75
