Date,Open,High,Low,Close,Volume,Adj Close
2013-09-09,50.76,52.50,50.53,51.18,4341400,50.85
2013-09-03,47.40,50.09,47.01,49.68,3095800,49.36
2013-08-26,48.80,48.85,46.63,46.76,2702200,46.46
2013-08-19,47.20,51.31,45.69,48.84,4248600,48.38
2013-08-12,50.61,50.85,47.19,47.39,3250200,46.94
2013-08-05,48.35,52.17,48.01,50.68,5460900,50.20
2013-07-29,47.98,48.22,45.75,48.17,6760300,47.71
2013-07-22,64.93,65.95,47.09,47.20,9252200,46.75
2013-07-15,63.75,66.14,63.23,64.43,1925100,63.82
2013-07-08,63.02,63.99,62.00,63.75,1769700,63.14
2013-07-01,60.32,62.92,60.08,62.88,1567700,62.28
2013-06-24,58.42,60.72,56.06,60.15,2565000,59.58
2013-06-17,58.34,61.08,58.08,58.83,2529000,58.27
2013-06-10,55.86,58.76,55.72,58.01,1959100,57.46
2013-06-03,57.52,58.15,54.39,55.84,2235700,55.31
2013-05-28,59.69,60.10,57.25,57.51,2128900,56.96
2013-05-20,58.66,59.12,56.91,59.04,3367900,58.35
2013-05-13,58.48,61.51,57.36,58.10,3589000,57.42
2013-05-06,58.96,59.43,55.50,58.87,3902400,58.18
2013-04-29,58.73,59.38,54.65,59.00,4213500,58.31
2013-04-22,61.77,65.22,58.08,58.56,3961900,57.88
2013-04-15,63.89,64.31,60.16,61.67,1993200,60.95
2013-04-08,61.47,65.39,61.15,64.43,1443600,63.68
2013-04-01,60.49,62.37,59.71,61.62,2298400,60.90
2013-03-25,63.19,63.65,59.50,60.02,2150900,59.32
2013-03-18,65.32,65.61,61.43,62.94,1992400,62.20
2013-03-11,64.42,66.83,63.93,66.22,1600600,65.45
2013-03-04,63.20,66.22,63.12,64.72,2021500,63.96
2013-02-25,64.66,64.92,61.49,63.74,2190700,62.87
2013-02-19,64.90,65.13,62.69,64.49,2170900,63.61
2013-02-11,65.24,65.92,64.23,64.58,2240100,63.70
2013-02-04,66.49,68.09,63.11,65.65,4835700,64.75
2013-01-28,66.59,68.09,64.40,67.27,2143600,66.35
2013-01-22,62.50,66.86,61.22,66.49,1558200,65.58
2013-01-14,62.61,64.20,61.99,62.24,1437400,61.39
2013-01-07,63.90,64.81,62.25,62.61,1873000,61.75
2012-12-31,59.27,64.69,58.90,64.46,2127800,63.58
2012-12-24,59.16,60.73,57.84,59.36,1324800,58.55
2012-12-17,59.29,61.97,59.00,59.59,2129600,58.78
2012-12-10,59.81,60.71,57.34,58.99,3050700,58.18
2012-12-03,61.93,61.95,59.32,59.88,1986300,59.06
2012-11-26,60.34,62.80,60.00,61.86,1840000,61.01
2012-11-19,59.04,60.65,58.03,60.59,1519900,59.76
2012-11-12,57.91,58.58,54.96,58.23,1823100,57.43
2012-11-05,58.82,60.99,56.00,57.74,2217600,56.82
2012-10-31,58.31,61.38,57.88,59.07,2728000,58.13
2012-10-22,52.23,60.00,50.71,59.06,5605700,58.12
2012-10-15,54.49,55.72,51.41,52.10,2609000,51.27
2012-10-08,57.80,58.06,53.31,54.25,2840500,53.39
2012-10-01,57.87,59.90,56.17,57.60,2098300,56.68
2012-09-24,58.76,59.00,57.03,57.84,2215500,56.92
2012-09-17,55.63,60.29,54.41,59.37,2917000,58.43
2012-09-10,53.89,57.00,52.03,55.88,2873900,54.99
2012-09-04,51.36,54.35,51.05,54.11,2183300,53.25
2012-08-27,53.07,53.36,50.47,51.36,1990900,50.54
2012-08-20,51.50,53.68,50.66,53.06,2867600,52.22
2012-08-13,55.02,55.03,51.53,51.62,3053000,50.67
2012-08-06,57.77,59.50,53.56,54.44,4101700,53.44
2012-07-30,54.90,58.80,54.67,57.45,3391100,56.40
2012-07-23,46.19,58.40,43.56,54.90,7021100,53.89
2012-07-16,45.37,48.79,44.51,47.10,2834000,46.24
2012-07-09,47.76,48.58,43.44,45.67,3267100,44.83
2012-07-02,48.22,49.52,47.02,47.72,2328400,46.84
2012-06-25,47.86,48.52,44.64,48.07,2779400,47.19
2012-06-18,49.95,50.66,46.62,48.03,4716500,47.15
2012-06-11,48.50,50.23,46.54,50.05,4695700,49.13
2012-06-04,44.64,48.06,43.91,47.85,3195700,46.97
2012-05-29,45.57,46.49,43.95,44.65,4410700,43.83
2012-05-21,40.83,46.07,40.53,44.89,4447500,44.07
2012-05-14,40.83,43.22,40.57,40.72,4388500,39.89
2012-05-07,41.07,41.74,39.95,41.11,3891300,40.28
2012-04-30,40.08,43.92,39.90,40.98,6967000,40.15
2012-04-23,31.77,43.00,30.99,40.31,7705800,39.49
2012-04-16,31.95,31.98,30.97,31.94,3140400,31.29
2012-04-09,32.43,32.85,31.63,31.81,2995900,31.16
2012-04-02,33.25,33.63,31.98,32.90,3083100,32.23
2012-03-26,34.45,35.57,32.26,33.44,6703200,32.76
2012-03-19,33.50,34.38,33.36,34.14,1760300,33.45
2012-03-12,31.96,33.74,31.77,33.61,3034900,32.93
2012-03-05,33.38,33.54,31.43,31.71,4318900,31.07
2012-02-27,32.81,34.47,32.76,33.64,3365900,32.87
2012-02-21,33.18,33.56,32.83,32.97,2380400,32.21
2012-02-13,33.80,34.75,32.87,33.07,3432400,32.31
2012-02-06,34.01,34.23,31.86,33.54,5304200,32.77
2012-01-30,31.58,34.25,31.30,34.22,3621900,33.43
2012-01-23,31.15,32.16,30.33,31.80,3240100,31.07
2012-01-17,28.88,31.43,28.87,31.04,4852300,30.33
2012-01-09,29.58,29.75,28.02,28.67,3550900,28.01
2012-01-03,29.75,30.19,28.26,29.25,3933000,28.58
2011-12-27,29.97,30.42,28.88,29.02,2805600,28.35
2011-12-19,28.17,30.08,27.28,30.04,3343600,29.35
2011-12-12,28.30,28.82,26.88,27.98,2143900,40.19
2011-12-05,28.53,29.54,27.71,28.50,1958400,40.94
2011-11-28,26.77,28.88,26.15,28.10,1869100,40.36
2011-11-21,27.10,27.20,25.69,26.11,2179700,37.51
2011-11-14,27.82,28.65,26.62,27.46,1585600,39.44
2011-11-07,28.11,28.94,26.71,27.98,1901700,40.09
2011-10-31,27.00,28.42,25.44,28.37,2411500,40.65
2011-10-24,27.82,29.40,26.81,27.28,3059500,39.09
2011-10-17,27.75,28.17,26.68,27.82,1671500,39.86
2011-10-10,27.39,28.73,27.37,28.01,1993400,40.13
