Date,Open,High,Low,Close,Volume,Adj Close
2013-09-09,87.34,88.85,87.28,87.98,10809600,86.19
2013-09-03,87.70,88.30,86.80,87.25,11264900,85.47
2013-08-26,87.50,88.99,86.58,87.16,13248300,85.38
2013-08-19,87.82,87.87,86.39,87.52,12083500,85.74
2013-08-12,90.43,90.43,87.65,87.91,10793900,86.12
2013-08-05,91.42,91.97,90.43,90.72,10695200,88.87
2013-07-29,94.51,94.60,91.25,91.95,14248500,89.46
2013-07-22,94.87,95.49,93.84,94.79,8982200,92.22
2013-07-15,93.19,95.25,92.77,95.17,10810000,92.59
2013-07-08,91.96,93.81,91.90,93.40,13002300,90.87
2013-07-01,90.39,91.61,89.96,91.57,10023700,89.09
2013-06-24,88.95,90.75,88.02,90.35,16644200,87.90
2013-06-17,90.97,92.27,88.79,89.48,16693100,87.05
2013-06-10,91.93,91.94,89.59,90.58,11527100,88.12
2013-06-03,90.53,91.51,89.00,91.45,13488900,88.97
2013-05-28,92.94,93.18,90.46,90.47,13603200,88.02
2013-05-20,91.61,93.50,91.00,91.53,14464000,89.05
2013-05-13,89.80,91.88,89.43,91.76,10658100,89.27
2013-05-06,90.25,91.85,89.79,90.14,12017500,87.70
2013-04-29,88.26,90.19,87.48,90.02,12329700,86.98
2013-04-22,87.61,89.89,87.29,88.00,13395800,85.03
2013-04-15,88.29,88.67,85.02,87.45,16933900,84.49
2013-04-08,89.11,89.34,88.15,88.99,12615200,85.98
2013-04-01,90.13,90.99,88.40,89.01,11191300,86.00
2013-03-25,89.50,90.98,88.66,90.11,13766600,87.06
2013-03-18,88.74,89.39,87.90,89.29,11818900,86.27
2013-03-11,89.01,89.91,88.54,89.37,15496000,86.35
2013-03-04,89.13,90.15,88.35,88.97,12420500,85.96
2013-02-25,89.88,90.19,87.70,89.43,13484900,86.41
2013-02-19,88.54,89.82,88.36,89.20,11823800,86.18
2013-02-11,88.35,88.81,87.80,88.36,11278500,85.37
2013-02-04,89.41,90.19,87.61,88.61,12334200,85.61
2013-01-28,91.67,91.93,89.36,90.04,14130800,86.44
2013-01-22,90.27,91.80,90.21,91.73,11248700,88.07
2013-01-14,89.46,90.94,89.00,90.80,11808600,87.17
